	TCGA.OL.A66H.01A.11R.A29R.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.AN.A041.01A.11R.A034.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.DS.A7WH.01A.22R.A352.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PIGZ	156.59	256.78	226.54	89.51	256.78	71.0	127.89	35.76	0.0	0.43
PITHD1	1111.82	1277.29	1844.76	909.17	1594.73	909.17	1519.15	651.58	848.22	353.59
PLA2G12A	808.0	1135.2	1175.27	961.07	1540.37	540.19	723.08	414.87	743.43	209.84
POLR2G	2855.44	2485.67	3280.18	1733.13	2591.27	3039.3	2133.97	1051.79	0.0	0.56
PTS	934.76	1044.52	1340.84	698.41	1135.2	447.82	808.0	819.3	0.0	0.77
PYURF	2319.15	2287.2	2777.33	1477.58	2573.36	1104.13	785.88	791.35	0.0	0.83
RDH14	688.78	854.13	1037.29	748.61	921.88	587.13	476.71	603.67	0.0	0.6
RNASEK	8658.09	9740.98	10733.74	5329.3	12853.63	4181.07	4671.57	3564.78	0.0	1.0
RP11-410N8.4	2.01	5.06	2.05	0.0	3.41	0.0	0.0	0.0	0.0	0.0
RP11-683L23.1	12.93	9.85	19.11	11.64	11.47	5.36	9.56	0.0	0.0	0.0
RP11-770J1.5	500.46	323.03	620.67	187.71	435.55	166.73	267.73	158.79	0.0	0.61
RP4-758J18.2	426.57	384.34	476.71	172.65	432.53	314.17	301.33	271.48	0.0	0.14
SAMD13	769.69	1286.18	928.3	3.56	2209.26	25.54	25.91	3.92	0.0	0.0
SDHB	3395.89	2520.38	3716.2	2895.31	3372.43	1519.15	1781.89	1697.45	0.0	0.54
SMAP2	688.78	698.41	842.36	723.08	896.64	579.04	575.03	540.19	0.0	0.42
STK32C	423.61	493.56	376.41	91.41	323.03	139.07	131.51	85.22	0.0	0.58
TIMM8B	1295.13	1259.69	1457.23	890.44	1572.76	748.61	733.19	665.29	0.0	0.35
TRAPPC4	2163.77	3190.46	2319.15	1583.71	2609.3	1051.79	1407.55	1008.9	0.0	0.85
TUFM	4639.29	4239.45	4152.18	3235.01	5292.48	3372.43	2739.08	3280.18	0.0	0.67
UBIAD1	320.8	409.15	379.04	197.09	325.29	262.2	224.97	111.21	176.29	87.65
USF2	3443.31	5076.84	6935.54	4575.41	6699.25	3146.52	3372.43	2627.46	0.0	1.04
VWA5B2	1.62	88.26	46.84	2.14	72.52	1.6	26.86	2.46	0.0	0.26
WDR25	264.03	389.72	336.79	208.38	400.71	187.71	309.83	120.1	0.0	0.35
WFS1	1159.07	1331.57	1508.65	947.83	1498.22	1030.12	575.03	123.5	187.71	108.14
ZNF358	1388.16	1572.76	1561.89	961.07	1651.0	629.35	723.08	297.17	0.0	0.67
ZNF688	525.39	579.04	476.71	297.17	679.29	406.31	395.18	128.79	0.0	0.21
