	GTEX.Y8LW.1226.SM.4WWDP	GTEX.ZLV1.1326.SM.4WWER	GTEX.11P7K.1826.SM.5HL5A	GTEX.11DXX.1926.SM.5EGJK	GTEX.V955.1626.SM.4JBHJ	GTEX.XOTO.2126.SM.4B64U	GTEX.11TUW.1326.SM.5EQKV	GTEX.11GSP.1826.SM.5N9DQ	GTEX.1212Z.2126.SM.5FQTM	GTEX.X4XY.1726.SM.46MVO	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12KS4.0726.SM.5FQSX
ATP5J	16727.26	9540.5	12160.22	8658.09	8718.32	3742.05	2434.5	3325.99	4671.57	1662.49	0.99	4639.29
ATP5L	18304.63	9945.68	12415.75	10296.45	9808.75	4736.79	4450.27	4769.75	6745.86	2224.63	0.99	15607.02
BECN1	2502.97	2163.77	2335.28	2335.28	2163.77	1023.0	1208.34	764.36	1208.34	878.17	0.79	1561.89
C15orf52	1044.52	1151.06	1331.57	954.43	1044.52	332.14	379.04	285.03	409.15	629.35	303.44	148.09
C3orf70	309.83	158.79	444.72	177.53	215.77	48.52	36.01	25.54	50.27	11.73	0.21	33.54
C4orf50	0.25	0.73	2.84	0.93	0.92	0.0	0.0	0.0	0.0	0.0	0.0	0.1
CALM2	25005.23	18819.27	30999.42	16269.83	18178.19	7180.15	5594.3	7485.11	9540.5	4671.57	825.0	22380.2
CAMK2G	2193.99	1806.78	2224.63	1896.65	2004.85	397.93	638.15	473.41	796.86	444.72	0.55	299.25
CAPZB	10154.69	9409.14	11992.79	9025.81	8718.32	4736.79	4358.66	4038.61	4802.93	3491.39	8078.22	8363.13
CASQ2	1008.9	775.05	1709.26	684.02	295.11	117.6	47.84	72.01	202.66	7.06	0.16	50.98
CDKN2AIPNL	759.08	595.34	521.76	543.96	536.45	217.27	228.13	264.03	309.83	162.14	0.28	457.25
CFL2	3614.55	1909.85	4607.24	1745.2	2090.03	363.56	460.44	244.57	599.49	164.42	0.52	2133.97
CHCHD2	13492.72	9673.69	12415.75	7642.41	7180.15	5995.9	4972.34	5219.6	6250.56	3716.2	1.35	11267.44
CHMP4A	4543.8	4736.79	3639.7	3794.3	3103.19	1551.09	1617.0	1583.71	1909.85	1923.14	728.11	2555.58
CHRM2	190.34	198.47	251.48	147.06	211.31	0.68	3.14	3.41	5.77	0.72	102.25	5.92
CNN1	48307.85	22380.2	94628.34	18052.61	21026.65	4937.99	3103.19	3614.55	7642.41	320.8	0.43	1709.26
COPS5	2178.83	1769.57	2047.0	1457.23	1583.71	780.44	651.58	796.86	1081.39	748.61	0.77	1143.1
COQ3	412.0	205.5	435.55	267.73	307.69	146.03	173.85	173.85	255.0	195.72	0.13	152.28
COQ9	2855.44	1733.13	2255.7	2090.03	1991.0	981.29	1088.92	1350.18	1651.0	1208.34	0.1	854.13
COX14	3716.2	3515.68	3018.3	2555.58	2255.7	954.43	866.07	934.76	1233.75	656.11	0.75	1950.0
COX7A2	13586.57	8598.28	10225.32	9876.98	7230.1	6561.36	5076.84	6121.9	6652.97	4152.18	0.99	9945.68
COX7B	13033.07	5633.22	9151.82	5555.65	4268.94	3564.78	3280.18	4239.45	3874.05	1628.26	191.67	5594.3
COX7C	46986.85	28723.62	33224.42	24490.61	26067.14	10154.69	9876.98	11664.82	13776.25	4937.99	1.23	21768.19
CPXM2	878.17	896.64	1037.29	890.44	703.28	108.14	150.17	191.67	253.23	71.0	0.29	132.44
CSRP1	53230.77	33922.56	69271.73	26800.01	29943.43	10659.59	7642.41	8598.28	11424.74	3081.75	291.04	13681.08
CUL1	981.29	1044.52	1008.9	961.07	934.76	473.41	525.39	387.02	575.03	320.8	0.69	620.67
DDX1	1697.45	1583.71	1857.6	1583.71	1594.73	836.53	764.36	780.44	1066.48	525.39	0.35	1159.07
DLD	2682.69	2104.58	2520.38	2119.22	2209.26	896.64	1135.2	733.19	1437.15	866.07	229.72	1216.75
DLGAP4	1250.98	1286.18	1340.84	1208.34	1233.75	947.83	872.1	1259.69	1073.91	866.07	0.6	1208.34
DNAJC15	571.05	947.83	854.13	688.78	567.1	194.36	142.01	193.01	130.6	130.6	0.46	902.89
DNTTIP1	1745.2	1015.93	1051.79	819.3	836.53	616.37	723.08	543.96	540.19	444.72	0.85	559.28
DSTN	36106.23	33922.56	38966.94	29531.18	28328.16	6887.62	4736.79	5672.41	9876.98	3515.68	253.23	13776.25
DTNA	444.72	454.09	791.35	457.25	277.2	134.3	115.16	74.06	229.72	53.19	0.74	162.14
DUSP3	1551.09	1437.15	2240.11	1844.76	1427.22	967.76	961.07	995.0	1295.13	1757.34	0.71	1870.53
ECE1	2287.2	3039.3	2451.44	2895.31	2209.26	866.07	1135.2	808.0	860.08	616.37	0.95	1104.13
EIF2S1	2720.15	3124.78	2816.11	2018.8	2555.58	1427.22	866.07	1467.37	1191.69	967.76	1733.13	1857.6
EMC2	1277.29	1417.35	1216.75	1167.14	1127.35	743.43	723.08	423.61	848.22	616.37	0.83	1183.45
FAM47E	314.17	185.11	190.34	228.13	228.13	28.04	60.39	22.92	66.65	21.32	0.41	447.82
FGF2	170.25	173.85	158.79	132.44	206.94	49.56	92.7	38.95	75.64	23.93	0.32	329.84
FGFR2	1909.85	1037.29	1519.15	1119.56	1487.87	212.78	638.15	202.66	555.41	54.33	0.08	249.73
FH	2209.26	1936.53	2400.97	2075.59	1662.49	967.76	941.27	1151.06	1268.46	444.72	0.29	1304.15
FLNC	2777.33	1529.73	6381.92	2148.82	1628.26	323.03	211.31	450.94	780.44	47.5	0.41	323.03
FUNDC2	4388.98	3491.39	4066.71	3901.01	2777.33	1359.57	1397.83	1331.57	1572.76	1037.29	1.01	4123.49
GHITM	6037.61	4639.29	5751.61	4268.94	4607.24	1781.89	2090.03	1781.89	2609.3	1909.85	0.73	3419.52
GNB1	4903.87	5329.3	6652.97	5791.62	5329.3	2816.11	2485.67	2255.7	2835.7	2555.58	575.03	5913.33
GNG5	4095.0	4010.71	4095.0	4210.15	4358.66	3982.99	2664.15	2915.45	2915.45	3955.48	1.03	7081.29
GRSF1	1583.71	1662.49	1477.58	1519.15	1662.49	1199.98	981.29	1119.56	1407.55	1104.13	193.01	1340.84
GTPBP8	248.0	323.03	264.03	260.38	248.0	144.01	132.44	117.6	202.66	154.42	0.36	232.94
H2AFZ	9474.59	8963.45	6426.31	10808.41	7857.29	4066.71	5831.91	5403.7	6121.9	2255.7	1.25	9673.69
HSPB6	8363.13	5479.15	10733.74	7695.57	5441.3	2224.63	3257.52	1397.83	2875.3	1295.13	0.69	3081.75
ICT1	1304.15	836.53	842.36	764.36	698.41	571.05	551.56	647.07	753.83	432.53	0.0	902.89
IMMT	1572.76	1467.37	1806.78	1529.73	1359.57	981.29	934.76	1015.93	1199.98	624.99	0.65	1286.18
ITIH5	753.83	703.28	1991.0	860.08	529.06	429.54	211.31	303.44	540.19	59.97	0.21	483.38
KARS	2627.46	2796.65	2701.35	2555.58	2627.46	1467.37	1378.57	1572.76	1540.37	854.13	0.8	2758.13
KCNMB1	1250.98	693.58	1268.46	571.05	679.29	139.07	91.41	78.89	183.82	13.22	0.42	76.71
KIAA0513	381.68	679.29	796.86	371.22	269.6	226.54	155.5	131.51	195.72	199.85	149.12	154.42
LBR	2178.83	1781.89	2520.38	1191.69	1832.01	521.76	497.0	444.72	738.29	409.15	0.82	490.14
LMOD1	9215.48	7803.01	9409.14	4937.99	5872.48	764.36	543.96	698.41	1662.49	162.14	0.49	234.57
MAGEA4	0.85	2.01	2.39	0.0	0.0	25.91	28.45	0.0	0.0	0.0	0.0	4.8191909177997E11
MDH1	7331.05	4607.24	6607.01	4239.45	4123.49	1977.24	1674.06	2271.4	3060.45	1628.26	0.61	4328.55
MFN2	2133.97	1977.24	2816.11	1662.49	1477.58	1268.46	1313.23	1477.58	1745.2	1051.79	0.72	1096.5
MINOS1	10014.87	6745.86	7911.95	9409.14	6935.54	4038.61	3168.41	3081.75	4481.23	2664.15	244.57	5555.65
MKKS	1369.04	688.78	947.83	860.08	748.61	435.55	447.82	490.14	647.07	414.87	0.39	941.27
MRPL16	1583.71	1233.75	1721.16	1216.75	1127.35	638.15	651.58	802.41	915.51	351.14	0.41	1008.9
MRPL20	5555.65	4298.64	5147.73	3665.02	3349.13	2739.08	2400.97	2400.97	2627.46	1745.2	0.71	3515.68
MRPS22	1208.34	1111.82	1111.82	1015.93	995.0	796.86	708.18	753.83	1096.5	642.59	392.44	890.44
MT3	547.75	616.37	1143.1	470.14	872.1	18.29	13.12	8.58	9.34	39.79	0.28	21.16
MXRA7	5006.93	4607.24	8191.0	4575.41	3690.52	1617.0	1167.14	1304.15	1844.76	426.57	0.78	3039.3
MYH11	97965.44	77396.54	136637.07	79022.82	49322.93	10154.69	7280.4	7032.37	18052.61	371.22	0.79	2061.24
MYL6	226632.25	123144.13	197294.7	128373.58	110983.6	40621.74	30361.44	34158.52	36610.26	19214.73	13968.57	131071.0
MYL9	106462.55	93325.55	133825.1	96616.71	67846.12	16611.71	9409.14	13215.02	22225.61	1697.45	0.89	31215.04
MYO1C	2367.9	2976.74	3060.45	3443.31	3081.75	2047.0	1806.78	2047.0	2148.82	1781.89	0.8	2303.12
MYT1L	4.86	2.32	15.22	2.84	5.82	0.0	0.36	0.0	0.33	1.11	0.0	0.0
NCKAP1L	988.12	348.71	429.54	366.09	275.28	162.14	334.46	42.71	68.55	9.7	0.56	703.28
NDUFA12	5403.7	4239.45	4836.35	3325.99	3081.75	1745.2	1529.73	1963.57	2119.22	1135.2	0.49	1936.53
NDUFA6	4802.93	2855.44	3303.0	2417.67	2384.37	1806.78	1977.24	1733.13	1721.16	1104.13	0.85	3614.55
NDUFAB1	5441.3	3639.7	4481.23	3303.0	3372.43	1896.65	1529.73	2178.83	2935.74	1295.13	0.62	3257.52
NDUFB1	20170.07	8598.28	13776.25	9606.86	7803.01	4181.07	4769.75	5183.54	6887.62	2796.65	0.95	10959.3
NDUFB3	3060.45	2193.99	2796.65	2047.0	2148.82	1662.49	1487.87	1662.49	1950.0	1359.57	0.24	2701.35
NDUFB4	7695.57	6164.49	8247.98	5006.93	6164.49	2835.7	2434.5	3235.01	3325.99	1832.01	1.28	3235.01
NDUFB8	11909.94	8305.36	10154.69	7589.61	7382.04	4358.66	4038.61	4038.61	4328.55	2384.37	1.1	6121.9
NDUFB9	12244.81	8247.98	10512.82	7382.04	6561.36	4671.57	4607.24	5292.48	4836.35	1991.0	0.83	5041.77
NDUFS5	23169.48	14262.1	20170.07	12589.08	10585.95	6471.02	6745.86	5954.47	8479.89	3235.01	1.07	10733.74
NIPSNAP3A	753.83	559.28	612.11	438.59	642.59	384.34	395.18	450.94	738.29	329.84	0.37	1073.91
NKAP	638.15	450.94	361.04	447.82	392.44	183.82	199.85	151.22	312.0	246.28	0.54	361.04
NNAT	514.56	599.49	813.63	412.0	674.59	65.72	39.22	40.64	73.54	13.52	0.42	74.58
NTSR1	195.72	244.57	198.47	189.02	176.29	0.28	1.48	0.0	0.62	0.0	0.25	0.04
NUDC	2664.15	2935.74	2701.35	2720.15	2303.12	1572.76	1331.57	1674.06	1508.65	825.0	0.66	2090.03
NUDCD2	660.68	723.08	371.22	543.96	595.34	234.57	361.04	279.14	336.79	105.89	0.46	409.15
OGDH	2075.59	2400.97	2895.31	2645.74	1923.14	1331.57	1051.79	1651.0	1617.0	1304.15	0.61	1883.54
PALLD	10808.41	9088.59	12160.22	7081.29	8247.98	1369.04	1508.65	1001.93	2104.58	819.3	0.51	1977.24
PARVA	3190.46	2367.9	3794.3	2209.26	2319.15	612.11	575.03	532.74	842.36	400.71	0.67	2796.65
PLA2G2C	33.3	33.3	21.32	11.38	31.67	4.86	4.78	3.82	5.15	0.17	0.04	0.8
PLGRKT	974.5	753.83	915.51	728.11	791.35	289.02	470.14	409.15	460.44	265.87	0.39	1111.82
PPP1R14A	5555.65	2627.46	5517.27	4802.93	2240.11	1096.5	366.09	733.19	1583.71	191.67	0.75	1923.14
PPP2CB	2758.13	2520.38	2935.74	2090.03	2895.31	1733.13	1745.2	1639.59	1617.0	2384.37	0.73	2976.74
PRKAG2	612.11	620.67	967.76	733.19	454.09	314.17	249.73	291.04	473.41	232.94	0.59	332.14
PRNP	3901.01	3280.18	4543.8	3257.52	3325.99	1015.93	1159.07	866.07	1388.16	743.43	0.91	3820.7
PRUNE2	3901.01	2875.3	4450.27	2032.85	2682.69	669.92	476.71	173.85	669.92	57.08	0.43	93.35
PSD	2090.03	2645.74	2720.15	1769.57	1963.57	49.91	68.07	163.28	50.27	55.89	0.39	31.22
PSME1	6607.01	4450.27	5913.33	4903.87	5147.73	4607.24	3564.78	4328.55	4769.75	1427.22	1331.57	11189.6
PTPLA	688.78	406.31	728.11	476.71	409.15	212.78	215.77	220.32	368.65	146.03	0.51	647.07
PYGB	6037.61	4328.55	5147.73	5292.48	1883.54	1721.16	2090.03	2061.24	1963.57	1936.53	0.79	1096.5
RASD2	1044.52	1991.0	1388.16	1277.29	738.29	8.78	26.86	15.45	22.26	20.26	0.39	31.67
RASSF3	2193.99	1628.26	2555.58	2209.26	1819.35	363.56	264.03	221.86	423.61	314.17	1457.23	1059.11
RPF1	1135.2	842.36	791.35	915.51	1135.2	599.49	412.0	507.46	651.58	381.68	0.51	723.08
RPS27L	4239.45	4869.99	2956.17	4095.0	7642.41	819.3	1250.98	1208.34	1697.45	775.05	0.73	3716.2
RTFDC1	2384.37	3146.52	3716.2	2468.49	2367.9	1242.34	1059.11	1183.45	1295.13	1119.56	583.07	2240.11
SAE1	2976.74	3372.43	3665.02	2915.45	2739.08	1044.52	1023.0	1135.2	1191.69	1030.12	0.71	2287.2
SAMD4A	275.28	283.05	480.04	397.93	305.55	120.94	132.44	148.09	138.1	56.28	129.69	486.75
SBDS	4704.07	4639.29	6887.62	3614.55	3060.45	1923.14	1769.57	1286.18	1819.35	1594.73	0.53	2895.31
SCMH1	896.64	1216.75	1295.13	1051.79	988.12	457.25	633.73	371.22	463.65	358.54	0.83	417.77
SDC2	2720.15	2133.97	3395.89	1721.16	1498.22	457.25	348.71	414.87	603.67	132.44	0.71	1143.1
SDC3	974.5	941.27	1685.71	808.0	902.89	236.21	295.11	231.32	356.05	111.99	660.68	1151.06
SDHB	4388.98	3614.55	4095.0	3467.27	3280.18	1819.35	1950.0	1832.01	1923.14	1037.29	0.54	2664.15
SEPT10	1572.76	1508.65	1561.89	1127.35	1369.04	1250.98	934.76	928.3	1250.98	1407.55	0.55	1457.23
SEPT7	2758.13	2758.13	3794.3	2855.44	2739.08	1457.23	1216.75	1233.75	1594.73	1519.15	358.54	2434.5
SEPW1	22380.2	18304.63	24321.43	17927.91	16157.44	7695.57	5076.84	7537.18	8479.89	4937.99	0.99	18950.18
SGCB	842.36	769.69	954.43	723.08	813.63	147.06	150.17	146.03	277.2	87.65	0.41	563.18
SLC25A23	3303.0	3060.45	4481.23	2645.74	2520.38	1639.59	1757.34	2335.28	1477.58	1561.89	1467.37	599.49
SMPX	318.57	267.73	718.08	307.69	177.53	0.0	5.32	3.96	1.97	1.19	0.27	7.17
SOX8	64.34	56.28	128.79	49.56	53.57	14.14	12.45	17.38	14.56	7.88	0.34	24.11
SRSF3	4481.23	3257.52	3515.68	2796.65	3212.66	2777.33	2224.63	2701.35	2758.13	1870.53	88.26	3564.78
SUCLA2	1286.18	1081.39	1498.22	1151.06	995.0	417.77	521.76	412.0	647.07	379.04	0.49	633.73
SYNM	8840.04	6164.49	9151.82	5183.54	4671.57	1119.56	603.67	796.86	1794.29	132.44	0.47	215.77
TAGLN	186652.11	104996.83	239554.43	125731.67	77934.88	19482.97	15607.02	17078.76	27363.16	2032.85	1.16	38430.46
TES	4239.45	2875.3	4607.24	2591.27	2720.15	848.22	995.0	825.0	878.17	1286.18	1023.0	928.3
TGFB1I1	4358.66	3103.19	4575.41	3419.52	3955.48	1175.27	775.05	896.64	1295.13	295.11	0.89	2271.4
THOC7	2178.83	2104.58	2485.67	1757.34	1794.29	1350.18	1159.07	1208.34	1745.2	688.78	0.62	1540.37
TLN1	7032.37	7382.04	8840.04	7485.11	6607.01	2855.44	2502.97	2758.13	3564.78	1322.37	63.89	6207.38
TMEM126A	1127.35	802.41	1167.14	854.13	921.88	579.04	387.02	607.87	775.05	473.41	0.4	954.43
TMEM50A	3716.2	2835.7	2720.15	2777.33	2796.65	1487.87	1745.2	1662.49	1467.37	1487.87	0.87	4010.71
TPM1	65990.84	35856.82	74760.09	40621.74	29531.18	6207.38	3820.7	4419.52	9088.59	743.43	5147.73	6840.04
TPM2	61146.25	36106.23	63742.91	32767.0	34396.12	7230.1	6607.01	7749.1	12076.21	988.12	1.2	5751.61
TSR2	1437.15	1427.22	2032.85	1685.71	1008.9	660.68	775.05	616.37	616.37	403.5	283.05	915.51
UBXN10	381.68	507.46	432.53	199.85	260.38	20.86	14.14	6.41	21.63	3.11	0.0	25.72
UQCRC1	8538.88	6037.61	7485.11	6652.97	6935.54	3820.7	3395.89	5255.91	4937.99	2240.11	0.77	4181.07
UQCRC2	7589.61	5292.48	6250.56	5112.16	6164.49	2520.38	2520.38	2855.44	3168.41	1151.06	1.11	3982.99
UQCRFS1	4298.64	3690.52	3768.09	3349.13	3325.99	1923.14	1104.13	1781.89	1697.45	1104.13	0.75	1896.65
UQCRH	14361.31	7642.41	12076.21	9606.86	8658.09	5366.37	4736.79	6699.25	5479.15	2758.13	1.22	11745.96
VAMP3	2133.97	1977.24	2224.63	1832.01	2047.0	1175.27	1119.56	896.64	1685.71	1242.34	197.09	2739.08
VCL	4123.49	2997.45	6792.79	3124.78	3443.31	1268.46	1066.48	1030.12	1350.18	703.28	1909.85	2193.99
VDAC3	4903.87	3395.89	4358.66	3303.0	3665.02	1498.22	1519.15	1487.87	2319.15	536.45	2400.97	2303.12
VPS29	6121.9	3280.18	5076.84	2758.13	4210.15	2271.4	2271.4	2133.97	2367.9	1350.18	0.85	4210.15
