	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.BT.A20Q.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.12WSL.1626.SM.5GCMU	GTEX.111CU.0826.SM.5EGIJ	GTEX.P4PP.0626.SM.3NM9X	GTEX.11EQ9.0726.SM.5A5K2	GTEX.139YR.1726.SM.5IFFK	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.V955.1326.SM.4JBHR
S100A7	0.0	0.0	1.38765328462E9	24.81	19.53	55877.28	24490.61	5441.3	46.18	1437.15
SBSN	3.59	1.81	1.66613263E7	9.48	16.27	18560.17	23986.58	47313.67	15.34	303.44
SC5D	420.68	432.53	3982.99	379.04	253.23	1191.69	1397.83	2255.7	603.67	1605.83
SCD	713.11	514.56	6079.61	255.0	161.02	1551.09	2935.74	5041.77	353.59	1277.29
SLURP1	0.0	0.0	66912.05	2.73	2.36	4671.57	14663.09	15285.81	53.19	239.52
SPRR2E	0.0	0.0	3.522264608E7	13.83	15.91	11112.3	43840.21	168220.2	5.82	305.55
SQLE	93.35	85.82	6037.61	129.69	90.77	1477.58	1350.18	3190.46	260.38	1199.98
SULT2B1	5.36	0.0	103551.29	25.72	22.92	3081.75	6426.31	7280.4	307.69	1477.58
SUSD4	20.11	3.17	59474.18	7.63	8.58	825.0	1397.83	2018.8	633.73	669.92
TCP11L2	142.01	190.34	629.35	271.48	205.5	642.59	656.11	941.27	571.05	463.65
TMEM63C	0.45	0.45	961.07	55.1	4.1	109.66	540.19	183.82	19.39	72.01
TMPRSS11F	0.0	0.0	74760.09	0.0	0.0	190.34	151.22	269.6	4.21	11.21
WFDC5	0.0	0.0	5041.77	0.96	1.11	46.5	1015.93	137.14	5.59	55.1
WIPI2	791.35	909.17	1487.87	1242.34	921.88	1073.91	1359.57	1259.69	988.12	1369.04
XG	33.78	85.22	5672.41	10.0	23.93	316.37	389.72	555.41	47.84	114.36
ZNF185	55.1	59.97	16843.62	66.65	41.81	5292.48	5672.41	5913.33	171.45	738.29
