	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.LN.A49K.01A.11R.A24K.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.2H.A9GM.01A.11R.A37I.31	TCGA.CN.5360.01A.01R.1436.07	TCGA.CV.7242.01A.11R.2016.07	TCGA.H7.A6C5.11A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZQUD.2126.SM.51MSY	GTEX.XGQ4.2626.SM.4AT6B	GTEX.11NV4.1926.SM.5N9D4	GTEX.13VXT.1726.SM.5IFF5	GTEX.14B4R.1426.SM.5Q5CG	GTEX.13OVL.2926.SM.5IFG3	GTEX.X3Y1.1926.SM.4PQZO
CBX8	101.54	140.04	145.02	138.1	253.23	127.89	264.03	144.01	0.0	0.04	35.0	43.94	41.81	61.68	52.82	47.84	91.41
CCDC109B	303.44	191.67	454.09	728.11	571.05	387.02	412.0	167.9	0.0	0.49	155.5	162.14	94.67	47.84	126.12	85.22	162.14
CCDC57	1806.78	2224.63	733.19	470.14	607.87	995.0	1199.98	1572.76	432.53	169.07	426.57	656.11	703.28	400.71	684.02	703.28	521.76
CDK9	1745.2	1870.53	2061.24	1977.24	1529.73	1096.5	1295.13	1066.48	0.0	0.64	587.13	974.5	1104.13	525.39	860.08	525.39	1051.79
CERKL	642.59	703.28	42.71	45.85	61.25	70.51	96.01	279.14	0.0	0.27	26.67	25.54	15.22	9.27	19.11	10.31	12.0
CHM	214.27	277.2	199.85	167.9	211.31	218.79	217.27	185.11	0.0	0.45	176.29	164.42	96.68	131.51	170.25	132.44	145.02
CHML	68.55	114.36	113.56	63.45	87.65	74.06	88.88	35.5	0.0	0.48	15.11	45.85	31.0	12.45	19.97	19.82	22.1
CHST8	87.03	172.65	4.24	5.63	3.59	3.99	28.45	3.89	0.0	0.2	2.12	1.77	4.13	1.62	0.0	0.52	5.96
CLEC2D	363.56	303.44	384.34	483.38	186.4	305.55	175.07	61.25	0.0	0.58	44.57	117.6	69.52	42.41	40.93	98.73	89.51
CNP	1487.87	1605.83	1572.76	1977.24	1883.54	1685.71	1286.18	842.36	1135.2	988.12	1119.56	1096.5	1216.75	723.08	902.89	780.44	872.1
CNTRL	151.22	241.19	255.0	231.32	169.07	351.14	287.01	348.71	0.0	0.59	84.04	137.14	64.34	76.71	118.43	111.21	118.43
CPT1A	660.68	579.04	551.56	392.44	967.76	583.07	567.1	460.44	417.77	220.32	162.14	616.37	185.11	417.77	381.68	267.73	249.73
CSGALNACT2	226.54	218.79	414.87	358.54	277.2	295.11	165.57	140.04	0.0	0.64	91.41	113.56	55.1	44.89	94.67	48.52	71.0
EHMT1	748.61	651.58	1066.48	878.17	954.43	1208.34	878.17	679.29	0.0	0.91	339.14	507.46	493.56	503.95	693.58	403.5	624.99
EID3	19.53	37.32	209.84	52.08	63.0	35.5	49.91	53.95	0.0	0.27	23.93	3.47	4.9	7.11	13.72	20.26	49.56
ELK4	165.57	220.32	511.0	514.56	305.55	395.18	232.94	141.02	130.6	41.22	109.66	146.03	112.77	105.15	140.04	120.1	84.04
F2RL2	13.83	13.93	78.89	90.77	262.2	332.14	115.97	24.63	0.0	0.3	13.93	11.3	6.31	1.66	28.86	5.96	29.48
FAM120AOS	974.5	1096.5	902.89	583.07	1023.0	1268.46	1023.0	878.17	540.19	246.28	915.51	890.44	426.57	432.53	961.07	633.73	769.69
FBXO11	551.56	780.44	1073.91	1037.29	791.35	718.08	591.22	660.68	0.0	0.73	438.59	529.06	423.61	389.72	420.68	647.07	435.55
FCHSD2	463.65	559.28	423.61	463.65	223.41	403.5	318.57	285.03	0.0	0.61	139.07	281.09	175.07	176.29	198.47	162.14	314.17
GAREML	38.95	43.63	260.38	71.0	94.01	38.4	92.7	22.43	0.0	0.48	8.51	17.25	12.18	4.39	16.03	6.01	9.48
GCGR	57.89	3.76	42.71	13.62	8.51	57.89	19.68	13.83	0.0	0.31	6.52	1.75	0.0	2.51	1.0	1.11	0.96
GFRA3	85.22	49.91	53.19	42.41	70.51	7.17	77.79	28.65	0.0	0.0	6.31	14.35	21.94	0.0	3.53	15.68	7.94
GPR82	4.98	6.57	5.87	14.67	12.45	8.06	14.14	7.34	0.0	0.0	8.65	4.39	0.82	2.84	6.31	2.61	12.36
HES2	2303.12	7180.15	293.07	854.13	329.84	291.04	444.72	164.42	0.0	0.13	78.89	85.82	53.19	38.12	76.17	30.56	40.93
HMGN4	1127.35	1350.18	1870.53	1909.85	1081.39	1250.98	1167.14	1030.12	0.0	0.71	764.36	961.07	674.59	587.13	941.27	547.75	791.35
HOXC5	3.35	0.0	15.0	1.62	2.48	1.11	4.39	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	1.79
HTRA3	2400.97	1437.15	1073.91	387.02	785.88	642.59	275.28	94.67	0.0	0.52	49.91	249.73	117.6	60.39	95.34	48.87	25.35
IDO2	21.78	7.63	3.69	38.12	2.63	10.39	5.02	0.77	0.0	0.22	0.43	0.0	0.0	1.27	0.0	0.39	4.13
IFI35	1407.55	723.08	1313.23	1359.57	1397.83	1498.22	1313.23	796.86	0.0	0.54	551.56	426.57	438.59	381.68	363.56	256.78	429.54
IFT140	995.0	1001.93	295.11	267.73	171.45	293.07	447.82	665.29	0.0	0.39	77.79	226.54	166.73	114.36	98.73	187.71	176.29
IL18R1	133.36	224.97	43.63	75.64	198.47	71.0	54.33	76.17	0.0	0.67	17.64	36.27	5.87	23.76	38.12	8.85	12.55
IL6R	154.42	130.6	129.69	212.78	249.73	236.21	293.07	86.43	92.05	66.65	125.24	153.34	36.01	43.94	130.6	24.46	90.14
INO80D	61.68	90.77	98.73	100.83	109.66	65.72	70.51	47.17	17.38	60.39	42.71	75.11	58.71	55.89	62.56	55.89	37.32
IQCJ-SCHIP1	86.43	69.52	2609.3	2104.58	802.41	909.17	651.58	279.14	0.0	0.55	77.25	108.14	69.03	50.63	51.35	82.87	52.08
ITPK1	2537.92	2777.33	1111.82	480.04	2032.85	1487.87	1183.45	624.99	0.0	0.52	409.15	698.41	366.09	289.02	540.19	251.48	543.96
JAG1	1819.35	1295.13	1268.46	1733.13	1487.87	3103.19	2004.85	738.29	0.0	1.0	373.81	543.96	447.82	271.48	351.14	234.57	470.14
KCNAB2	162.14	208.38	336.79	563.18	854.13	540.19	381.68	130.6	0.0	0.55	71.0	114.36	81.14	47.84	89.51	31.22	110.43
KIFAP3	397.93	591.22	463.65	599.49	583.07	323.03	665.29	660.68	0.0	0.48	293.07	366.09	228.13	224.97	248.0	307.69	348.71
LGALS8	1073.91	1175.27	1175.27	1857.6	2061.24	967.76	703.28	981.29	738.29	73.54	397.93	775.05	575.03	417.77	718.08	595.34	409.15
LPP	239.52	262.2	3955.48	1508.65	389.72	460.44	218.79	189.02	180.02	74.06	112.77	123.5	78.89	78.89	152.28	130.6	95.34
LRRC8C	54.72	54.72	82.29	69.52	105.89	122.64	177.53	34.75	0.0	0.32	34.51	69.52	40.93	15.56	26.28	16.15	50.27
MAPK10	336.79	358.54	65.72	59.13	32.13	271.48	303.44	536.45	0.0	0.37	29.27	50.98	189.02	43.63	25.54	17.0	75.11
MC5R	0.0	0.0	0.3	11.3	6.16	2.46	14.78	1.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MED25	1417.35	1397.83	941.27	1001.93	1008.9	921.88	890.44	1037.29	0.0	0.71	679.29	638.15	684.02	540.19	665.29	387.02	587.13
NAT8	15.8	15.34	3.59	2.36	3.59	3.23	5.32	3.41	0.0	0.04	0.0	1.23	0.52	1.22	2.03	3.66	3.2
PCSK5	232.94	183.82	99.43	84.04	376.41	329.84	500.46	86.43	0.0	0.49	44.25	98.04	41.22	17.38	27.25	7.57	29.27
PDE5A	928.3	884.29	1073.91	218.79	275.28	113.56	118.43	63.0	0.0	0.26	56.28	121.79	130.6	59.13	40.36	21.01	70.51
PEPD	1369.04	1322.37	1242.34	1008.9	2104.58	1313.23	1781.89	988.12	0.0	0.56	1313.23	1167.14	759.08	1151.06	1135.2	642.59	961.07
PGBD1	55.49	76.17	58.71	56.68	82.87	87.65	115.97	21.63	0.0	0.39	40.36	31.22	27.84	11.04	31.22	30.12	20.41
PHKG2	599.49	764.36	921.88	743.43	830.75	674.59	954.43	579.04	0.0	1.0	371.22	563.18	555.41	356.05	441.64	400.71	447.82
PLEKHN1	215.77	57.49	157.68	470.14	265.87	170.25	289.02	72.52	0.0	0.67	121.79	107.38	111.99	61.68	136.19	82.87	70.51
POLA2	500.46	476.71	1457.23	866.07	476.71	389.72	470.14	246.28	0.0	0.68	271.48	256.78	325.29	127.89	279.14	205.5	444.72
PRKG2	26.67	38.67	111.99	73.03	15.0	18.03	40.07	33.06	0.0	0.0	3.89	4.98	2.81	8.19	6.62	1.22	3.96
PRRC2C	1378.57	1417.35	1991.0	2303.12	1605.83	1977.24	1508.65	988.12	1066.48	400.71	669.92	1096.5	909.17	1529.73	1119.56	728.11	733.19
PSMA4	2682.69	2303.12	4769.75	3847.29	5255.91	2935.74	4210.15	3589.58	0.0	0.83	2485.67	2255.7	1923.14	2032.85	1639.59	2090.03	2004.85
PSME1	6250.56	5041.77	7642.41	10368.08	8363.13	6983.79	7081.29	6079.61	6983.79	1331.57	4704.07	4607.24	4903.87	4181.07	4481.23	5076.84	4903.87
RDH14	414.87	607.87	1044.52	1250.98	503.95	403.5	620.67	775.05	0.0	0.6	348.71	389.72	314.17	293.07	327.56	339.14	363.56
RECQL	366.09	444.72	642.59	591.22	366.09	616.37	361.04	289.02	0.0	0.72	189.02	285.03	165.57	113.56	193.01	134.3	169.07
RGL1	698.41	599.49	309.83	146.03	915.51	603.67	305.55	262.2	0.0	0.56	75.64	166.73	51.71	36.53	60.82	33.06	56.28
ROCK1	256.78	346.29	665.29	497.0	1250.98	392.44	260.38	231.32	0.0	0.48	127.0	198.47	147.06	89.51	146.03	74.58	119.26
RP11-347C12.3	450.94	555.41	35.25	36.27	48.52	50.98	94.01	43.94	0.0	0.36	18.16	26.28	12.0	26.86	16.27	6.73	18.43
SENP6	860.08	1059.11	1407.55	902.89	1023.0	860.08	688.78	679.29	0.0	0.75	616.37	679.29	595.34	441.64	684.02	612.11	438.59
SERPINI2	217.27	854.13	10.47	136.19	7.22	22.75	19.39	40.07	0.0	0.13	0.0	1.89	9.63	2.14	2.41	2.78	5.92
SLC20A2	400.71	483.38	2061.24	2417.67	1561.89	1685.71	2855.44	1295.13	0.0	0.77	612.11	819.3	497.0	656.11	718.08	785.88	476.71
SLC38A11	5.54	11.3	31.67	9.41	28.86	7.46	21.32	8.25	0.0	0.52	4.21	6.84	0.2	3.79	10.39	0.84	10.55
SLC4A11	2520.38	2133.97	1159.07	2537.92	941.27	988.12	723.08	447.82	0.0	0.62	688.78	921.88	579.04	429.54	281.09	281.09	137.14
SLPI	2986448.72	2053992.24	11584.24	20451.65	69271.73	149521.18	75803.72	1524599.69	12853.63	718.08	417089.23	331809.5	350728.68	1355129.16	345900.08	542775.98	177811.84
SNAPIN	1340.84	1295.13	1304.15	1572.76	1216.75	1259.69	1111.82	1066.48	0.0	0.47	909.17	884.29	651.58	759.08	791.35	753.83	819.3
SOD1	7331.05	6887.62	5791.62	4937.99	7695.57	6121.9	4298.64	10659.59	0.0	1.13	4419.52	3146.52	2627.46	2796.65	2976.74	2796.65	3820.7
SPAG9	368.65	318.57	1268.46	819.3	1044.52	934.76	536.45	279.14	0.0	0.53	325.29	460.44	555.41	371.22	358.54	217.27	303.44
SPAST	159.9	217.27	348.71	289.02	202.66	400.71	332.14	224.97	0.0	0.24	173.85	147.06	75.11	131.51	109.66	90.77	84.04
TBK1	363.56	316.37	559.28	620.67	483.38	447.82	353.59	363.56	0.0	0.18	232.94	253.23	190.34	237.86	177.53	176.29	152.28
TMEM231	934.76	6887.62	158.79	139.07	201.25	128.79	384.34	1540.37	0.0	0.0	36.53	130.6	62.12	29.27	56.68	37.32	107.38
TRA2B	2090.03	1977.24	4095.0	3639.7	2720.15	3212.66	3349.13	2434.5	2090.03	1540.37	2032.85	1950.0	1806.78	1529.73	2609.3	2104.58	1806.78
TRAPPC2P1	237.86	334.46	327.56	432.53	543.96	361.04	476.71	429.54	0.0	0.42	353.59	204.07	237.86	226.54	356.05	343.89	303.44
TRIM71	9.06	9.2	0.13	0.42	0.27	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67
TTF1	336.79	483.38	376.41	199.85	323.03	332.14	343.89	312.0	0.0	0.55	209.84	244.57	114.36	236.21	176.29	209.84	111.99
TTLL5	450.94	363.56	486.75	426.57	395.18	490.14	551.56	450.94	97.36	100.13	248.0	248.0	234.57	295.11	325.29	164.42	285.03
TULP3	860.08	902.89	620.67	703.28	447.82	392.44	447.82	400.71	320.8	143.01	154.42	379.04	158.79	95.34	170.25	173.85	260.38
ULBP2	0.0	17.77	202.66	967.76	363.56	341.51	426.57	39.22	0.0	0.61	19.82	42.41	21.32	0.0	33.78	36.01	39.79
USP49	53.95	67.59	95.34	81.14	139.07	53.19	39.79	34.75	0.0	0.54	5.92	19.53	10.16	8.51	14.03	11.73	19.39
UVRAG	215.77	305.55	450.94	457.25	271.48	176.29	358.54	165.57	0.0	0.6	186.4	209.84	134.3	74.06	167.9	93.35	175.07
VCX3A	15.8	12.36	3.29	6.16	10.55	18.84	12.45	3.99	0.0	0.0	8.99	0.0	0.0	1.71	0.0	0.0	0.0
WDR72	15824.9	114897.47	122.64	86.43	76.71	476.71	536.45	137.14	0.0	0.34	20.26	547.75	40.07	18.7	39.5	9.06	22.1
XPR1	551.56	1806.78	559.28	674.59	532.74	633.73	808.0	595.34	0.0	0.74	101.54	211.31	127.0	76.17	132.44	67.59	70.51
YTHDC1	1350.18	1447.15	1388.16	1447.15	1674.06	921.88	1781.89	1259.69	571.05	136.19	738.29	890.44	860.08	896.64	1111.82	954.43	624.99
YWHAQ	4937.99	5672.41	6471.02	7433.4	5954.47	5112.16	5441.3	3325.99	0.0	1.14	4210.15	4066.71	3564.78	2915.45	3690.52	2935.74	3768.09
ZCCHC11	928.3	1111.82	866.07	759.08	460.44	599.49	624.99	447.82	0.0	0.8	406.31	500.46	358.54	224.97	371.22	273.37	376.41
ZCCHC14	764.36	733.19	400.71	341.51	320.8	323.03	267.73	156.59	80.57	173.85	130.6	221.86	202.66	151.22	115.16	120.1	138.1
ZNF234	90.14	116.78	80.57	96.01	94.67	98.73	49.91	61.25	0.0	0.29	25.17	45.21	24.63	71.0	46.18	63.89	51.35
ZNF267	146.03	155.5	312.0	525.39	194.36	567.1	441.64	170.25	0.0	0.0	132.44	113.56	113.56	98.04	111.99	125.24	100.83
ZNF440	769.69	2047.0	111.99	251.48	228.13	162.14	232.94	379.04	0.0	0.31	93.35	125.24	135.24	119.26	85.22	85.22	110.43
ZNF487	470.14	1001.93	121.79	79.45	94.67	36.01	143.01	483.38	0.0	0.09	31.45	108.14	38.67	70.01	69.52	41.52	65.26
ZNF611	87.03	221.86	66.65	100.83	136.19	135.24	125.24	67.59	0.0	0.43	23.59	67.12	37.85	32.59	35.25	55.1	120.1
ZSCAN32	214.27	295.11	303.44	309.83	220.32	420.68	299.25	232.94	0.0	0.0	164.42	161.02	153.34	148.09	153.34	177.53	195.72
