	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DD.AACA.01A.11R.A41C.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.AACE.01A.11R.A41C.07	TCGA.NI.A4U2.01A.11R.A28V.07	TCGA.DD.A3A2.01A.11R.A213.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.13O3O.1826.SM.5IFGW	GTEX.14C38.1526.SM.5RQJ7	TCGA.86.8671.01A.11R.2403.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.AARR.01A.11R.A41B.07	TCGA.MX.A5UG.01A.21R.A31P.31	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.MX.A663.01A.11R.A31P.31
CD1E	7.22	327.56	0.12	38.67	3.03	6.62	3.32	7.34	7.57	0.0	253.23	0.0	46.5	102.97	78.89	9.13
CDC42SE2	1685.71	1685.71	406.31	511.0	253.23	205.5	161.02	287.01	299.25	202.66	1104.13	392.44	551.56	909.17	1104.13	295.11
CGB7	138.1	13.52	2.53	8.58	1.55	3.35	0.0	1.11	1.16	1.97	13.83	0.0	48.18	24.28	6.67	6.41
CHRFAM7A	70.51	44.89	0.96	27.84	0.0	7.88	0.0	0.0	13.03	1.2	24.46	0.0	14.78	114.36	21.94	27.64
CHRNA1	3.76	287.01	0.0	15.8	0.0	0.93	0.52	2.27	3.41	2.27	40.93	0.0	11.47	14.14	21.16	12.36
CRIP1	61.25	53.19	0.0	9.93	5.96	0.0	0.0	0.0	0.0	0.0	13.32	0.0	19.97	13.93	178.77	11.38
CSF1	376.41	211.31	148.09	551.56	143.01	86.43	88.26	173.85	137.14	157.68	1447.15	0.0	571.05	988.12	620.67	808.0
CXCL17	124000.67	61999.83	7.88	143.01	5.28	4.58	1.3	0.0	16.75	6.21	11345.82	0.0	11345.82	236.21	21617.82	486.75
DES	624.99	1397.83	3.66	1594.73	6.01	0.0	21.94	41.22	6.16	27.05	281.09	0.0	2816.11	5006.93	2591.27	26431.04
DMPK	1066.48	723.08	444.72	656.11	86.43	150.17	154.42	152.28	70.01	287.01	890.44	0.0	1388.16	1529.73	529.06	1498.22
DPP6	77.25	96.01	2.36	8.38	0.57	1.13	0.66	0.0	0.4	0.0	7.57	0.0	43.94	1.64	18.16	104.42
DZIP1	353.59	466.88	12.36	117.6	5.96	8.32	9.41	9.85	15.11	32.82	156.59	0.0	295.11	309.83	156.59	242.88
EFHD2	1135.2	915.51	295.11	961.07	450.94	318.57	316.37	351.14	555.41	934.76	2591.27	0.0	1594.73	2627.46	2555.58	1259.69
EHD1	463.65	616.37	376.41	629.35	674.59	165.57	195.72	271.48	183.82	409.15	1651.0	0.0	830.75	1583.71	1167.14	1561.89
ERMN	13.93	4.78	0.69	19.68	0.0	1.41	0.0	0.27	11.91	7.51	25.91	0.0	13.83	61.68	164.42	8.32
FAM129C	0.93	4.74	1.46	10.88	4.03	3.5	1.99	2.25	3.82	3.41	171.45	0.0	144.01	267.73	273.37	9.06
FAM159A	191.67	264.03	2.32	32.36	1.87	2.1	3.69	0.74	0.0	2.34	131.51	0.0	36.01	202.66	206.94	107.38
FAM180B	1.39	3.41	0.0	27.25	0.92	2.94	0.0	0.0	3.86	0.0	23.59	0.0	4.58	3.76	14.45	2.27
FAM27E2	2.61	0.0	0.0	6.41	0.0	0.0	0.0	0.0	0.0	3.14	7.57	0.0	43.94	7.51	5.23	21.94
FCER2	1.95	6.01	3.89	13.03	4.1	6.57	4.43	0.18	5.63	1.83	150.17	0.0	123.5	98.04	173.85	7.88
FGF17	63.89	57.49	6.84	21.63	2.48	2.73	1.36	5.32	4.17	0.31	10.31	0.0	41.22	7.0	12.93	14.14
FRMD4A	764.36	988.12	73.54	463.65	170.25	171.45	256.78	164.42	39.22	307.69	450.94	0.0	460.44	500.46	303.44	633.73
FXYD7	24.11	46.5	1.41	25.54	0.0	0.0	1.93	15.56	7.94	0.0	57.89	0.0	16.88	45.21	69.03	28.45
GABRA4	0.0	0.4	0.0	2.14	0.0	0.0	0.0	0.0	0.0	0.0	0.53	0.0	0.21	1.62	0.89	0.69
GDF3	8.65	9.7	0.0	7.28	0.79	0.0	0.0	0.0	0.0	0.0	1.6	0.0	8.71	1.69	6.26	57.89
GIPR	500.46	713.11	6.84	156.59	1.08	2.43	1.89	3.41	6.57	7.0	72.52	0.0	830.75	57.89	323.03	85.22
GOLGA6L10	3.76	23.59	2.63	16.75	3.56	0.0	1.33	2.14	1.97	0.0	8.38	0.0	18.56	4.78	0.0	1.39
GOLGA8K	27.05	14.35	0.92	10.96	0.0	0.0	2.46	0.0	2.14	0.85	9.34	0.0	7.0	15.22	4.58	14.45
GRIA4	172.65	28.86	0.93	5.19	0.6	0.67	0.0	0.0	2.66	0.0	9.27	0.0	0.88	4.43	150.17	8.13
GRK1	0.59	0.59	0.0	2.81	0.0	0.0	0.0	0.0	0.0	0.0	5.11	0.0	0.72	4.94	2.73	1.23
HPCA	48.87	138.1	0.0	27.84	0.0	0.83	0.87	1.66	4.28	0.0	21.63	0.0	10.79	11.64	15.34	17.9
HSPA2	348.71	318.57	42.71	511.0	77.25	29.7	20.86	20.26	54.72	44.25	150.17	0.0	447.82	190.34	129.69	521.76
IFNL1	10.71	0.0	0.0	3.35	0.0	0.0	0.0	0.0	0.0	0.0	6.67	0.0	1.01	1.77	5.36	0.0
IQUB	13.12	122.64	0.73	6.67	0.44	3.17	1.01	2.03	0.91	0.88	4.82	0.0	224.97	5.77	5.87	11.21
ISYNA1	4575.41	3955.48	441.64	1313.23	142.01	242.88	163.28	209.84	329.84	191.67	1104.13	0.0	1151.06	723.08	395.18	2075.59
KCTD4	1.89	0.66	0.0	1.79	0.0	0.0	0.0	0.55	0.0	0.0	0.39	0.0	0.39	0.23	0.0	22.75
KIAA0226L	195.72	332.14	4.82	30.78	2.03	3.82	9.34	1.39	27.44	49.21	231.32	0.0	139.07	301.33	241.19	58.3
KIAA0753	217.27	348.71	65.26	117.6	18.03	24.28	38.67	30.78	29.91	66.18	145.02	0.0	285.03	260.38	212.78	420.68
KLC1	1870.53	1721.16	583.07	1628.26	507.46	1081.39	612.11	743.43	529.06	1350.18	1963.57	0.0	2163.77	2351.53	1844.76	2004.85
KRTAP1-5	38.4	40.36	0.0	2.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	0.89	1.06	2.46
LAIR2	23.76	0.0	4.21	8.65	7.51	2.2	2.34	0.0	0.0	0.0	18.84	0.0	651.58	36.27	14.56	5.41
LCN8	12.64	9.13	0.0	3.29	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	11.73	14.24	0.58	1.36
LHX6	92.7	31.45	2.76	63.89	8.58	4.54	8.06	1.58	0.0	0.48	90.77	0.0	96.01	119.26	67.59	143.01
LY75	769.69	1417.35	10.39	53.19	7.46	10.08	8.51	38.95	1.87	19.11	332.14	0.0	262.2	493.56	429.54	113.56
MEOX1	134.3	30.56	0.79	148.09	5.68	0.0	6.36	3.99	0.0	0.0	97.36	0.0	96.68	155.5	98.04	105.89
MGARP	44.25	31.22	1.25	31.9	1.0	3.17	5.54	2.81	1.17	4.46	50.27	0.0	10.79	6.01	9.27	10.79
MORN3	197.09	571.05	0.0	12.64	0.0	0.0	0.0	9.34	0.0	3.82	21.94	0.0	540.19	10.79	26.28	66.65
MS4A14	46.18	19.39	3.86	44.89	1.62	14.56	5.32	9.06	3.06	30.78	78.34	0.0	185.11	108.14	85.82	19.53
MS4A4E	14.03	17.13	2.12	27.84	2.48	4.46	4.78	6.62	1.33	6.89	63.89	0.0	33.3	49.56	44.25	11.73
MUC20	1651.0	518.15	71.5	1427.22	51.35	49.21	22.1	176.29	103.69	221.86	583.07	0.0	1477.58	848.22	291.04	291.04
MUC5B	5.923719433E7	3.066309426E7	0.0	1417.35	144.01	0.0	0.0	51.35	92.7	72.52	4704.07	0.0	19214.73	896.64	134.3	244.57
MXRA8	20030.74	6983.79	199.85	1561.89	120.94	144.01	140.04	144.01	26.28	226.54	4268.94	0.0	2090.03	4181.07	2303.12	5403.7
MYOZ3	130.6	60.82	3.29	41.22	1.07	5.92	0.71	0.3	0.0	7.4	11.64	0.0	14.67	37.59	38.12	100.83
NCS1	163.28	148.09	26.28	98.04	5.77	21.32	33.54	17.77	10.71	74.58	208.38	176.29	395.18	343.89	106.63	679.29
NEUROG3	0.0	0.0	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	2.1	0.0	1.46	50.27	12.83	4.78
NFATC2	114.36	206.94	20.41	125.24	33.54	24.46	27.25	50.98	10.88	6.73	214.27	23.76	143.01	406.31	583.07	253.23
NME8	19.11	31.22	0.0	15.45	0.64	0.0	3.66	3.66	5.54	11.91	22.92	0.0	12.27	19.82	45.21	8.71
NOG	384.34	218.79	0.0	18.29	0.0	0.48	0.52	0.0	0.0	0.0	16.75	0.0	17.51	6.01	40.64	53.95
NRXN1	41.52	29.7	0.0	18.56	0.0	0.0	0.0	0.83	1.58	0.83	2.71	0.0	14.78	69.52	43.02	31.9
PARP8	536.45	660.68	82.29	223.41	38.12	27.25	37.32	47.5	205.5	85.82	507.46	197.09	460.44	642.59	684.02	285.03
PCDH10	9.85	52.45	0.0	9.27	0.46	0.0	0.0	0.0	0.0	0.28	3.63	0.0	11.38	4.74	3.82	8.85
PCNXL2	236.21	281.09	6.94	85.22	8.06	2.89	2.43	4.58	9.85	11.38	253.23	211.31	157.68	327.56	423.61	228.13
PCSK2	13.22	22.26	0.0	14.45	0.0	0.0	1.25	2.27	2.86	0.55	2.16	0.0	12.55	16.75	90.77	15.8
PDZD7	9.48	10.55	2.89	13.62	0.0	2.29	0.78	0.13	0.0	0.92	15.45	0.0	16.63	11.38	11.04	58.3
PENK	460.44	1322.37	0.0	10.63	0.0	0.0	0.0	0.0	0.0	0.0	26.47	0.0	36.79	6.36	14.67	493.56
PGLYRP3	0.0	0.0	0.0	3.32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	14.03	1.22	0.74
PI16	1977.24	551.56	0.37	244.57	0.83	0.0	1.0	2.89	0.53	0.95	154.42	0.0	246.28	177.53	1551.09	381.68
PIANP	346.29	392.44	0.0	5.5	0.0	0.0	0.0	0.34	0.06	0.64	15.68	0.0	20.41	46.5	39.22	46.18
PLD2	759.08	620.67	186.4	490.14	119.26	109.66	114.36	248.0	171.45	426.57	688.78	0.0	884.29	718.08	507.46	1037.29
PLEKHG3	343.89	708.18	195.72	842.36	267.73	318.57	642.59	363.56	518.15	164.42	414.87	0.0	406.31	620.67	343.89	813.63
PLEKHG6	264.03	559.28	68.55	244.57	4.66	121.79	123.5	36.53	48.52	11.64	127.0	0.0	167.9	351.14	295.11	1745.2
PLP1	387.02	50.63	0.0	62.56	0.0	0.0	0.0	5.28	2.27	4.86	6.01	0.0	44.25	130.6	113.56	166.73
PMP2	7.63	1.87	0.0	15.22	0.0	0.0	0.0	1.85	0.51	0.19	0.61	0.0	6.31	24.11	21.94	9.2
PNMAL2	42.41	53.19	1.99	36.27	3.06	2.23	7.11	1.45	1.51	2.68	58.3	0.0	24.99	37.05	27.25	40.36
POMZP3	135.24	366.09	111.99	212.78	84.04	80.57	67.12	74.58	69.03	65.72	190.34	0.0	191.67	87.65	162.14	108.14
PPP1R12C	2645.74	2645.74	1709.26	1977.24	872.1	1242.34	1216.75	836.53	1037.29	1551.09	2591.27	0.0	2777.33	1977.24	1119.56	2240.11
PPP1R13B	713.11	854.13	231.32	381.68	147.06	144.01	195.72	228.13	155.5	161.02	579.04	0.0	665.29	480.04	733.19	579.04
PSG4	5.82	25.54	0.0	18.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.73	9.13
PXN	2591.27	1857.6	490.14	909.17	688.78	507.46	470.14	412.0	587.13	532.74	1697.45	0.0	2451.44	2224.63	1277.29	2271.4
RAB3IL1	2119.22	1199.98	38.67	264.03	50.63	12.45	107.38	187.71	108.14	164.42	366.09	223.41	141.02	429.54	187.71	743.43
RANGRF	2075.59	1242.34	102.97	395.18	190.34	100.83	130.6	332.14	132.44	511.0	872.1	0.0	669.92	642.59	607.87	738.29
RBPJ	785.88	860.08	258.57	371.22	193.01	275.28	180.02	273.37	176.29	265.87	902.89	813.63	753.83	1674.06	1359.57	1059.11
REC8	5219.6	1487.87	57.49	819.3	55.1	98.04	63.0	148.09	231.32	92.05	633.73	0.0	1427.22	403.5	713.11	343.89
RFX2	166.73	255.0	59.97	137.14	31.0	17.13	7.17	76.17	7.17	95.34	215.77	0.0	1340.84	217.27	412.0	351.14
RFX4	0.04	13.62	0.0	3.5	0.0	0.0	0.53	0.0	0.0	0.0	0.3	0.0	1.28	1.33	3.35	1.31
ROBO3	379.04	65.26	169.07	348.71	23.93	68.07	40.64	5.15	23.76	72.01	366.09	0.0	361.04	211.31	126.12	743.43
RP11-287D1.3	3.38	2.39	0.0	2.86	0.0	0.0	0.55	0.0	1.62	1.57	3.0	0.0	5.96	3.5	3.03	2.56
RP11-3B7.1	7.06	17.77	0.79	10.31	0.92	2.46	1.6	1.08	0.0	2.39	2.14	0.0	3.44	15.22	12.93	10.71
RP11-468E2.2	10.31	6.21	2.18	17.64	0.0	4.13	3.0	2.76	2.56	5.63	8.58	0.0	10.39	29.06	42.41	31.22
RP11-574K11.31	17.25	24.11	11.82	18.84	8.32	11.04	22.43	15.22	11.82	9.63	47.5	0.0	38.95	42.11	64.8	44.57
RP11-934B9.3	3.69	3.2	2.03	6.46	0.0	0.0	0.0	0.0	0.0	1.35	7.82	0.0	10.16	12.64	4.54	19.53
SAMD13	63.45	107.38	3.41	32.59	0.87	8.38	0.55	6.94	3.53	0.0	24.46	0.0	16.51	107.38	72.52	29.7
SCN1A	155.5	78.34	0.0	4.54	0.0	0.0	0.0	0.69	0.73	0.0	75.64	0.0	107.38	0.85	1.01	0.46
SCT	50.63	18.84	0.0	47.84	0.0	0.0	0.0	0.0	0.0	0.0	88.26	0.0	29.48	1.33	22.92	27.64
SLC17A8	1.46	7.82	0.0	14.56	0.0	0.0	3.44	0.0	1.31	0.0	1.83	0.0	5.15	0.48	0.64	8.58
SLC25A29	8658.09	3742.05	253.23	961.07	148.09	400.71	395.18	341.51	108.9	981.29	1651.0	0.0	2240.11	1044.52	638.15	595.34
SLC37A1	521.76	591.22	46.18	194.36	37.85	39.79	39.79	98.04	49.91	102.25	368.65	0.0	525.39	1111.82	684.02	209.84
SLC4A5	17.9	39.5	2.1	16.75	6.89	2.68	3.44	5.19	1.25	4.66	102.25	0.0	62.12	55.89	46.84	27.64
SLC7A3	31.0	36.53	0.0	0.73	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.71	4.9	9.2	109.66
SOX10	60.39	23.42	0.67	40.64	0.0	0.0	1.46	4.82	2.46	3.29	3.17	0.0	22.59	99.43	53.57	94.01
SOX2	1030.12	441.64	0.0	50.27	0.0	0.0	38.95	0.44	2.63	0.0	152.28	0.0	607.87	12.64	123.5	35.5
SSBP4	3372.43	3081.75	1397.83	1529.73	525.39	384.34	591.22	503.95	902.89	941.27	2119.22	0.0	3690.52	1388.16	1331.57	1745.2
SYNGAP1	325.29	376.41	73.54	202.66	63.45	28.45	45.53	18.16	2.92	54.33	260.38	0.0	988.12	718.08	363.56	514.56
TAS2R5	25.54	35.76	14.14	31.9	1.97	2.86	6.01	4.58	1.36	3.0	13.72	0.0	19.25	37.05	25.72	23.76
TBC1D12	183.82	145.02	110.43	131.51	68.07	44.57	87.65	99.43	48.52	83.45	116.78	0.0	111.99	287.01	409.15	262.2
TEX26	85.22	529.06	0.0	34.26	0.0	0.0	0.0	8.51	0.0	2.58	2.66	0.0	521.76	5.5	1.48	7.63
TLR6	29.91	129.69	5.96	19.11	4.78	6.36	4.13	2.34	7.11	8.71	75.11	0.0	52.08	98.04	134.3	11.82
TMEM240	138.1	143.01	8.25	82.29	4.24	5.87	1.77	0.0	0.0	5.63	40.36	0.0	37.59	31.0	19.11	41.22
TMEM59L	7.75	33.3	3.29	38.95	10.79	0.85	2.12	0.14	0.0	4.98	45.21	0.0	137.14	65.26	22.43	68.07
TNFSF12	2104.58	1216.75	466.88	860.08	264.03	206.94	144.01	432.53	267.73	607.87	1662.49	0.0	1059.11	1561.89	1151.06	1322.37
TNK2	902.89	591.22	540.19	748.61	567.1	460.44	183.82	483.38	265.87	181.28	1378.57	0.0	1268.46	1304.15	1199.98	759.08
TRIM63	1.75	8.65	0.0	17.13	0.0	0.0	5.5	2.76	3.2	2.03	8.06	0.0	13.83	7.46	17.13	14.89
TRPC1	69.03	107.38	7.63	38.12	2.68	3.53	1.48	2.51	1.87	19.97	49.21	0.0	78.89	119.26	87.65	84.63
TSPAN32	170.25	395.18	12.09	118.43	15.0	6.16	14.24	2.23	21.47	7.75	186.4	0.0	102.97	59.97	102.25	77.79
TTLL3	1674.06	1437.15	297.17	555.41	107.38	176.29	139.07	101.54	61.68	86.43	842.36	0.0	1628.26	769.69	1001.93	457.25
UPK1B	0.0	1916442.45	0.0	114.36	0.0	0.0	0.0	0.0	0.0	0.0	1.22	0.0	88.26	24.11	173.85	25.91
VAV3	143.01	450.94	21.78	153.34	19.25	22.59	11.73	1.03	8.85	16.75	161.02	0.0	232.94	152.28	171.45	65.26
VENTX	38.12	25.17	2.81	34.02	1.48	3.76	1.22	1.11	2.16	8.13	50.27	0.0	49.91	16.51	22.59	31.22
VIP	20.41	7.17	3.69	19.97	1.51	15.8	3.08	5.45	0.0	3.86	10.79	0.0	22.92	23.42	205.5	267.73
VIT	78.34	26.47	0.0	8.38	0.0	0.0	0.72	0.0	0.27	0.0	4.78	0.0	18.97	22.1	12.93	17.13
VPS37B	684.02	748.61	94.67	441.64	118.43	90.77	132.44	126.12	135.24	211.31	748.61	587.13	934.76	1143.1	1437.15	607.87
WFDC2	1.736886224E7	2.009035788E7	0.0	902.89	0.0	1111.82	4.39	66.18	255.0	50709.61	14765.09	0.0	64186.29	2720.15	2178.83	2032.85
YPEL3	5041.77	3540.14	2240.11	2367.9	2104.58	1397.83	2178.83	819.3	540.19	1001.93	3018.3	0.0	2335.28	2163.77	2591.27	2875.3
ZFP36L2	6745.86	7230.1	665.29	3060.45	536.45	591.22	406.31	2163.77	3372.43	2591.27	2796.65	1662.49	1991.0	6887.62	3901.01	5751.61
ZNF333	273.37	289.02	48.18	154.42	66.65	53.19	38.4	29.7	32.82	81.14	170.25	0.0	209.84	297.17	283.05	211.31
ZNF385A	1322.37	567.1	305.55	299.25	54.33	73.54	76.71	82.29	69.03	131.51	1127.35	503.95	819.3	607.87	450.94	555.41
ZSCAN1	435.55	1295.13	0.0	16.39	1.77	2.01	0.0	0.0	0.0	0.0	2.05	0.0	75.11	3.44	4.1	30.56
