	TCGA.DK.A3WY.01A.11R.A22U.07	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.A3.3378.01A.02R.1325.07	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.R53T.0326.SM.48FEC	TCGA.ET.A2MX.01A.11R.A23N.07	TCGA.ET.A3DT.01A.11R.A19O.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.DJ.A2PQ.01A.11R.A18C.07	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.EL.A3CP.01A.11R.A19O.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.EL.A3H8.01A.11R.A20F.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.DJ.A13V.01A.11R.A10U.07	TCGA.EL.A4JX.01A.12R.A250.07	TCGA.J8.A42S.01A.11R.A23N.07	TCGA.BJ.A28Z.01A.11R.A16R.07	TCGA.DJ.A3UU.01A.11R.A22L.07	TCGA.DJ.A3V2.01A.11R.A22U.07	GTEX.11TT1.1126.SM.5P9GV
CD3D	3146.52	44.89	209.84	660.68	80.01	107.38	99.43	96.68	33.54	8.45	567.1	217.27	395.18	44.25	57.89	476.71	31.67	429.54	39.79	476.71	87.65	698.41	59.13	603.67	126.12	567.1	45.53
CD3E	3540.14	81.71	660.68	934.76	92.05	153.34	177.53	211.31	37.59	24.63	921.88	297.17	532.74	55.1	80.01	647.07	35.25	647.07	63.89	633.73	113.56	878.17	63.89	848.22	223.41	684.02	68.55
CD5	483.38	23.76	40.64	141.02	21.63	43.94	17.9	12.27	27.64	6.73	145.02	41.22	77.79	5.06	17.25	102.25	8.99	127.89	17.38	109.66	15.22	150.17	12.18	135.24	45.53	87.03	7.22
CD7	1225.22	16.75	563.18	368.65	54.72	70.01	115.97	90.77	78.89	17.64	693.58	159.9	397.93	38.67	47.84	400.71	10.24	444.72	37.85	395.18	146.03	412.0	36.27	470.14	134.3	406.31	45.21
CD96	356.05	19.68	112.77	279.14	22.92	30.56	33.06	16.63	11.82	14.78	334.46	100.83	131.51	29.06	53.95	177.53	35.5	162.14	44.89	137.14	53.57	309.83	40.36	211.31	68.07	182.55	27.64
CEACAM21	256.78	85.82	181.28	145.02	23.59	25.17	96.68	68.07	37.05	8.78	114.36	24.28	45.21	13.12	12.45	47.84	7.11	91.41	20.86	78.34	12.45	102.97	15.68	143.01	41.81	59.97	29.06
CLU	258533.99	1472666.19	2729110.67	506427.83	1085552.95	894051.48	1383603.33	1171559.48	958220.73	254974.66	472513.8	447025.24	405683.88	558035.51	672883.8	434801.29	641014.63	419990.32	598087.73	475800.4	938500.81	279017.26	589853.66	341137.96	736332.6	378516.38	1131651.83
CRTAM	60.39	6.57	18.84	102.97	1.83	15.8	12.36	10.88	6.52	2.86	60.82	12.27	25.17	2.58	3.23	29.91	1.97	32.13	5.77	17.9	8.45	42.11	0.99	54.33	12.55	36.79	0.92
CTSW	234.57	16.63	92.7	463.65	57.89	138.1	186.4	70.01	61.68	80.01	764.36	271.48	217.27	23.59	102.97	379.04	19.82	341.51	80.01	234.57	123.5	287.01	29.06	775.05	141.02	392.44	52.82
CXCL10	1844.76	55.49	35.76	1397.83	60.39	503.95	490.14	454.09	102.97	8.45	1051.79	128.79	239.52	11.91	26.67	460.44	5.59	511.0	15.68	172.65	36.27	941.27	7.4	1135.2	293.07	429.54	38.95
CXCL11	432.53	9.2	8.85	181.28	3.63	125.24	55.1	50.98	5.5	2.89	171.45	16.27	48.18	1.25	2.63	71.0	0.75	98.73	1.13	25.91	8.19	167.9	1.73	197.09	63.45	41.81	8.06
CXCL9	1199.98	20.71	18.29	2061.24	22.1	341.51	70.01	147.06	37.05	6.62	1806.78	232.94	813.63	9.48	76.17	1081.39	17.13	1191.69	25.17	529.06	102.25	2193.99	33.06	2451.44	733.19	780.44	6.11
CXCR3	198.47	8.19	55.89	136.19	16.15	18.03	28.45	37.59	5.23	2.73	169.07	75.64	88.88	8.0	7.75	106.63	8.65	123.5	12.45	102.97	48.52	209.84	11.04	187.71	47.84	113.56	7.4
CYSLTR1	122.64	28.04	21.78	70.01	13.32	74.06	33.54	29.7	10.0	5.36	162.14	39.79	50.27	31.0	20.71	60.82	41.52	76.17	16.39	94.67	29.27	93.35	29.48	153.34	46.18	59.97	29.91
CYTIP	1819.35	73.54	135.24	381.68	93.35	123.5	128.79	43.94	24.11	47.17	607.87	133.36	444.72	38.4	51.35	320.8	35.0	547.75	48.87	301.33	61.68	457.25	74.06	583.07	145.02	325.29	26.67
DUSP26	20.71	1.69	13.93	12.27	1.07	5.82	1.31	0.0	2.2	4.17	73.54	45.85	11.13	2.66	1.55	34.75	1.58	40.93	0.0	22.43	8.71	112.77	4.39	57.49	12.55	41.81	12.74
ESR2	27.25	2.34	21.78	8.06	6.62	7.82	0.4	0.44	0.89	6.16	18.29	3.89	8.06	6.01	4.54	14.35	4.7	14.89	5.11	7.94	3.53	13.72	4.13	13.03	4.74	10.63	6.52
EVI2B	2645.74	130.6	287.01	1417.35	135.24	214.27	224.97	273.37	75.64	37.05	780.44	193.01	444.72	60.82	111.99	543.96	66.18	660.68	65.72	476.71	93.35	688.78	55.49	785.88	209.84	473.41	20.41
FCRL5	1135.2	15.11	16.27	175.07	9.13	10.79	18.29	5.68	2.89	0.96	409.15	61.25	150.17	0.0	2.41	182.55	0.34	191.67	10.55	162.14	7.06	503.95	1.22	260.38	33.06	96.68	0.0
GBP5	647.07	16.27	96.01	1066.48	32.59	62.56	50.98	99.43	25.17	12.74	441.64	112.77	81.14	13.03	26.1	246.28	12.83	271.48	15.45	162.14	41.52	555.41	14.35	353.59	115.97	309.83	6.46
GFI1	98.73	3.38	22.59	67.12	10.55	6.31	10.63	10.79	13.22	3.72	71.5	15.68	25.54	5.63	7.22	32.13	5.45	53.19	8.13	35.5	7.11	78.89	5.87	55.89	19.39	31.22	7.06
GIMAP2	567.1	62.12	457.25	591.22	88.88	151.22	351.14	358.54	256.78	25.72	543.96	186.4	283.05	99.43	112.77	287.01	123.5	271.48	89.51	293.07	114.36	312.0	76.71	447.82	150.17	312.0	94.67
GPR174	98.73	2.92	1.89	105.89	1.1	8.13	0.93	5.87	1.73	0.96	90.14	10.31	27.64	1.55	3.96	51.71	0.65	44.25	1.6	53.95	7.69	65.72	2.41	72.01	15.22	36.27	2.43
GPRIN3	58.71	26.47	148.09	283.05	67.12	58.71	7.11	13.12	5.54	5.11	69.52	23.59	36.53	15.56	19.53	38.4	12.83	65.26	15.8	37.32	12.09	54.33	14.35	51.35	32.13	35.76	19.39
GPSM3	4802.93	191.67	633.73	1143.1	387.02	536.45	536.45	536.45	182.55	111.99	954.43	454.09	775.05	177.53	226.54	830.75	155.5	915.51	148.09	934.76	202.66	974.5	175.07	1127.35	339.14	785.88	189.02
GZMM	356.05	32.13	137.14	73.54	11.21	25.72	84.04	53.19	28.86	8.25	201.25	81.71	90.14	10.47	15.91	96.68	4.24	105.89	12.45	153.34	34.02	154.42	11.3	175.07	25.35	117.6	11.55
HCST	3443.31	121.79	591.22	1183.45	603.67	251.48	848.22	476.71	172.65	132.44	1081.39	684.02	660.68	182.55	211.31	988.12	87.03	902.89	130.6	713.11	334.46	1073.91	167.9	1447.15	332.14	967.76	88.88
IFI16	4358.66	764.36	2956.17	3690.52	2777.33	2739.08	444.72	723.08	195.72	507.46	3901.01	1487.87	2319.15	1008.9	1447.15	2434.5	1407.55	2591.27	1208.34	2018.8	1427.22	4066.71	1529.73	3372.43	1963.57	2209.26	1745.2
IL12RB1	414.87	13.83	38.67	167.9	19.97	29.7	49.21	113.56	12.83	4.13	153.34	30.34	56.28	9.93	10.71	96.01	6.21	105.89	6.84	59.13	15.91	131.51	4.54	137.14	33.78	64.8	5.73
IL21	28.65	0.0	0.0	7.82	0.0	0.0	0.0	0.0	0.0	0.0	10.96	0.0	5.59	0.0	0.0	8.25	0.0	5.02	0.0	5.19	0.0	1.99	0.0	6.89	0.0	1.01	0.0
IL2RB	358.54	35.5	204.07	403.5	38.12	97.36	198.47	171.45	87.03	25.17	444.72	104.42	158.79	22.59	38.12	262.2	36.53	201.25	44.25	194.36	127.0	303.44	39.22	381.68	88.88	265.87	16.75
IL2RG	5791.62	138.1	624.99	1331.57	159.9	241.19	318.57	226.54	114.36	65.72	1447.15	457.25	842.36	65.26	152.28	1037.29	105.15	1059.11	97.36	1037.29	171.45	1508.65	114.36	1697.45	334.46	902.89	34.26
IL5RA	15.45	0.99	86.43	4.86	2.48	7.57	2.12	5.96	0.0	1.04	19.97	12.0	5.06	0.0	0.0	7.57	0.0	6.89	0.27	7.75	0.26	25.91	3.26	17.38	4.54	4.78	1.11
JAK3	1059.11	89.51	169.07	780.44	187.71	139.07	35.25	20.71	10.16	123.5	607.87	193.01	470.14	169.07	143.01	551.56	140.04	457.25	212.78	470.14	368.65	529.06	88.26	529.06	195.72	327.56	67.59
JAKMIP1	26.1	1.39	12.74	57.08	7.34	2.63	4.82	7.57	2.58	0.79	35.0	12.36	12.18	2.01	2.61	22.92	2.07	26.47	3.59	13.72	3.26	59.55	3.14	35.5	12.55	31.45	40.64
LAG3	236.21	22.1	20.41	271.48	10.39	16.15	85.82	83.45	35.5	5.92	191.67	66.18	98.73	5.77	15.22	177.53	6.57	105.89	6.62	90.77	24.28	316.37	20.41	256.78	41.52	157.68	10.31
MATK	134.3	19.82	50.27	41.52	17.0	48.18	79.45	66.18	28.45	13.32	229.72	93.35	67.59	21.94	26.47	98.73	17.13	78.34	24.81	81.14	54.33	98.73	42.71	195.72	34.26	142.01	10.55
MEI1	909.17	45.21	988.12	177.53	49.91	61.68	35.5	89.51	18.29	14.89	624.99	185.11	228.13	15.56	21.78	426.57	29.7	361.04	18.7	279.14	63.0	633.73	17.25	764.36	142.01	409.15	40.07
MICB	201.25	1096.5	35.76	171.45	80.57	53.95	38.95	15.22	8.71	25.54	164.42	38.95	88.88	31.0	24.63	123.5	35.25	155.5	26.28	85.22	53.95	141.02	50.63	111.99	52.82	96.01	19.97
MIXL1	118.43	2.16	0.0	10.79	2.51	0.37	6.36	15.34	5.06	0.0	32.36	6.01	15.68	0.0	2.16	12.55	0.0	9.34	0.48	13.62	2.43	31.9	0.44	31.67	1.83	10.71	0.0
NCF4	1662.49	65.26	195.72	743.43	180.02	144.01	172.65	281.09	87.03	64.34	616.37	258.57	420.68	105.15	111.99	540.19	64.34	563.18	97.36	376.41	162.14	748.61	91.41	708.18	264.03	470.14	50.63
NLRC5	1242.34	146.03	146.03	1199.98	400.71	332.14	88.88	156.59	88.26	195.72	1250.98	460.44	620.67	110.43	231.32	802.41	251.48	1001.93	224.97	559.28	232.94	1477.58	151.22	1051.79	511.0	733.19	199.85
NRROS	206.94	36.53	73.54	181.28	45.21	135.24	105.89	120.94	70.01	38.12	255.0	166.73	97.36	88.26	71.5	151.22	78.34	237.86	53.19	169.07	104.42	273.37	76.71	264.03	89.51	182.55	43.02
P2RX1	258.57	5.23	17.38	55.49	10.31	16.51	9.85	5.87	4.31	4.5	170.25	34.51	33.54	3.06	2.61	59.55	1.68	58.71	4.1	46.84	5.92	199.85	6.11	52.45	14.89	31.22	4.5
P2RY10	336.79	11.21	15.56	140.04	5.73	18.97	11.38	13.93	2.16	1.87	124.37	15.68	54.72	1.31	5.28	72.01	2.41	71.5	6.94	90.77	7.88	104.42	7.75	75.64	17.0	57.89	0.73
PCED1B	1111.82	63.89	212.78	327.56	329.84	400.71	48.52	70.01	35.0	125.24	406.31	232.94	329.84	167.9	172.65	329.84	180.02	346.29	141.02	323.03	195.72	454.09	171.45	454.09	241.19	287.01	48.52
PIK3CG	177.53	9.41	30.78	211.31	25.91	30.78	18.7	31.67	12.0	2.05	100.13	17.51	45.53	6.73	9.85	47.5	16.27	77.79	18.7	46.84	10.16	41.22	6.89	57.49	23.42	29.48	9.63
PIM2	2720.15	283.05	414.87	1457.23	234.57	312.0	271.48	208.38	194.36	181.28	3039.3	579.04	457.25	129.69	170.25	909.17	145.02	967.76	180.02	941.27	236.21	3564.78	218.79	2193.99	258.57	928.3	156.59
PREX1	647.07	1508.65	1066.48	988.12	165.57	493.56	165.57	224.97	78.34	100.83	854.13	493.56	470.14	293.07	271.48	591.22	289.02	599.49	291.04	463.65	423.61	651.58	339.14	748.61	406.31	500.46	312.0
PTGDR	7.94	2.34	16.03	21.94	1.11	13.03	8.71	5.87	5.77	2.07	42.41	11.64	16.63	2.97	5.23	20.56	4.46	19.82	5.92	18.16	13.93	33.06	4.74	31.0	16.27	25.72	11.04
PYHIN1	217.27	10.31	23.76	156.59	5.5	16.75	28.04	13.93	18.16	4.31	164.42	44.89	80.01	8.58	12.45	119.26	3.17	84.04	7.06	76.17	11.73	145.02	7.75	125.24	27.84	126.12	2.25
RGL4	125.24	5.63	7.82	29.06	4.1	16.88	7.34	13.42	24.63	1.77	54.33	21.94	21.94	4.39	5.11	25.54	3.35	24.11	12.83	38.12	5.92	78.89	10.96	57.08	16.15	47.5	7.88
RP11-685N3.1	60.82	4.43	0.0	11.91	0.0	0.0	0.0	0.0	0.0	0.0	35.5	2.76	9.2	0.0	0.0	18.43	0.0	28.45	0.0	11.55	0.0	51.71	0.0	44.89	4.24	6.41	0.0
SAMD3	98.73	10.08	45.85	87.65	27.44	26.47	15.91	13.12	11.13	3.82	156.59	48.52	50.98	14.14	35.0	122.64	3.86	49.91	7.46	45.85	26.47	109.66	12.74	165.57	41.81	75.64	5.41
SAMHD1	1044.52	420.68	723.08	2061.24	368.65	718.08	591.22	500.46	514.56	206.94	2032.85	555.41	723.08	248.0	343.89	1059.11	244.57	1806.78	400.71	808.0	371.22	1407.55	251.48	1991.0	825.0	954.43	915.51
SAMSN1	708.18	90.14	155.5	463.65	145.02	120.1	121.79	138.1	47.17	15.22	275.28	65.72	143.01	13.22	25.35	161.02	23.08	341.51	32.59	116.78	26.67	312.0	41.52	253.23	90.14	193.01	26.1
SH3BP1	769.69	236.21	373.81	366.09	218.79	187.71	92.05	180.02	57.49	82.29	514.56	260.38	336.79	232.94	271.48	466.88	303.44	327.56	264.03	441.64	346.29	409.15	229.72	555.41	253.23	414.87	109.66
SIDT1	150.17	291.04	237.86	55.89	14.35	19.68	10.24	10.88	6.94	6.26	66.65	17.13	26.67	7.94	4.58	38.4	12.83	63.89	4.39	38.67	8.51	52.82	6.62	40.36	11.73	33.3	4.46
SIRPG	603.67	9.78	101.54	215.77	19.11	20.26	18.03	10.39	11.64	1.17	155.5	38.12	105.15	3.03	7.0	111.99	5.19	125.24	10.24	85.22	17.13	138.1	7.11	107.38	34.26	123.5	3.79
SLA2	131.51	27.44	199.85	98.73	13.52	15.56	20.71	15.56	6.67	4.54	98.04	28.24	38.67	5.82	10.96	56.68	6.52	47.5	6.84	46.5	14.67	88.26	5.19	88.88	18.97	63.45	4.24
SLAMF6	896.64	27.44	78.34	256.78	10.47	21.63	85.82	38.67	17.38	4.46	205.5	46.18	169.07	6.26	9.34	150.17	3.63	166.73	9.63	145.02	20.26	159.9	3.76	191.67	53.95	110.43	10.71
SLFN12L	35.76	3.0	17.77	82.87	9.13	13.72	3.99	8.32	5.19	2.61	49.91	15.56	24.28	6.46	4.54	33.78	3.86	37.32	3.89	23.42	7.06	61.25	4.1	64.34	15.91	37.85	6.26
SP110	1340.84	248.0	441.64	860.08	493.56	444.72	320.8	312.0	208.38	197.09	947.83	423.61	595.34	403.5	279.14	620.67	392.44	507.46	291.04	595.34	540.19	688.78	267.73	679.29	441.64	551.56	323.03
TBX21	60.82	2.01	24.46	18.43	2.58	12.64	11.3	17.64	10.24	1.07	61.68	19.39	33.78	2.46	8.19	50.27	1.81	26.86	3.92	45.21	10.24	55.1	5.32	53.57	13.42	38.12	2.12
THEMIS	40.07	3.11	8.32	59.55	3.23	6.21	3.06	6.26	1.77	0.54	36.79	8.99	13.42	3.59	3.86	16.75	1.38	17.25	3.47	19.39	2.43	38.67	1.81	33.54	8.85	18.7	5.19
TMIGD2	102.97	2.97	68.55	14.14	2.89	7.4	23.08	18.16	0.0	3.06	51.71	5.19	16.75	4.17	2.1	21.47	0.61	22.92	3.11	24.63	11.13	52.82	3.53	31.22	3.44	22.1	0.78
TNFRSF17	902.89	20.86	11.47	44.89	3.96	16.39	86.43	30.78	16.88	0.8	279.14	78.89	123.5	0.0	0.56	132.44	0.0	143.01	4.03	104.42	18.29	289.02	0.99	265.87	32.36	106.63	8.65
TNFRSF1B	1378.57	124.37	1639.59	1369.04	379.04	599.49	376.41	435.55	329.84	220.32	1127.35	555.41	679.29	299.25	287.01	723.08	473.41	988.12	389.72	612.11	486.75	1066.48	409.15	921.88	571.05	825.0	187.71
TNFSF13B	236.21	58.3	163.28	909.17	109.66	99.43	31.45	69.52	47.5	20.11	323.03	60.82	125.24	30.12	22.1	150.17	19.53	198.47	35.0	157.68	38.12	258.57	31.9	351.14	94.67	139.07	55.89
TRAF3IP3	1991.0	122.64	264.03	536.45	98.73	105.89	82.29	85.82	46.84	34.26	457.25	204.07	271.48	45.21	50.63	429.54	37.32	432.53	50.98	454.09	70.51	514.56	42.71	412.0	121.79	444.72	41.52
TRAT1	162.14	6.21	2.18	84.63	6.52	12.83	14.56	1.89	6.26	0.71	78.34	12.09	29.91	1.2	2.2	33.78	0.0	36.53	3.56	41.52	2.78	67.59	1.19	53.95	14.14	45.85	0.0
UBASH3A	121.79	3.2	36.79	75.11	5.45	10.0	9.7	17.64	1.36	0.82	74.06	27.64	21.47	4.58	8.32	46.5	2.97	36.27	4.78	47.5	13.93	80.01	3.14	59.97	15.45	62.12	5.19
ZAP70	1059.11	13.12	124.37	197.09	31.22	36.01	42.41	42.41	25.35	17.38	389.72	133.36	199.85	25.91	24.46	305.55	12.09	332.14	22.43	214.27	52.45	507.46	34.26	303.44	111.21	327.56	27.05
ZBP1	249.73	6.94	22.59	98.73	47.84	22.59	25.72	7.11	1.57	9.27	258.57	58.71	87.03	6.11	7.11	102.25	2.66	132.44	2.29	63.0	12.64	312.0	4.66	187.71	34.02	120.94	3.86
