	GTEX.PX3G.0826.SM.48TZS	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QESD.2026.SM.447BI	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.R53T.0326.SM.48FEC	TCGA.97.A4M7.01A.11R.A24X.07	TCGA.55.6543.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8280.01A.11R.2287.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.44.5645.01A.01R.1628.07	TCGA.44.2661.01A.01R.1107.07	TCGA.44.5645.01A.01R.A278.07	TCGA.44.5645.11A.01R.1628.07	GTEX.X3Y1.0626.SM.3P5YS	GTEX.WYVS.0526.SM.3NM9W
C1orf189	7.06	0.0	0.0	0.0	0.0	0.0	6.78	150.17	37.85	0.0	68.07	0.0	624.99	50.98	368.65	127.89	759.08	638.15
C1orf192	48.18	33.3	145.02	75.64	154.42	85.82	105.89	435.55	154.42	0.0	389.72	0.0	1350.18	191.67	713.11	420.68	1794.29	1407.55
C1orf222	22.75	30.34	12.36	80.57	16.88	15.22	2.63	206.94	33.54	0.0	163.28	0.0	343.89	28.04	191.67	111.99	429.54	295.11
C20orf26	0.0	4.54	5.73	0.0	0.83	0.0	5.68	72.01	17.13	0.0	56.68	0.0	126.12	25.35	116.78	33.3	258.57	211.31
C2orf50	0.68	0.0	0.0	0.0	4.31	0.0	0.0	32.82	31.0	0.0	18.43	0.0	43.02	11.82	63.45	26.28	85.82	112.77
C5orf20	6.67	2.01	3.38	0.0	0.0	7.94	0.89	21.78	1.41	0.0	10.96	0.0	13.62	6.62	16.03	6.84	25.72	24.81
C5orf49	52.08	34.02	19.25	15.34	6.89	25.17	39.22	287.01	161.02	0.0	232.94	0.0	764.36	112.77	753.83	303.44	1674.06	1721.16
C9orf117	2.43	3.03	4.31	10.71	7.06	4.78	5.73	1191.69	49.21	0.0	373.81	0.0	490.14	117.6	332.14	173.85	753.83	376.41
C9orf24	31.67	147.06	65.72	105.89	67.12	73.03	38.67	878.17	28.65	0.0	397.93	0.0	1709.26	591.22	1794.29	934.76	5041.77	3847.29
CAPSL	0.0	0.0	0.0	0.0	2.66	0.0	0.0	361.04	201.25	0.0	175.07	0.0	775.05	109.66	616.37	295.11	1447.15	2224.63
CARD11	30.56	34.26	17.25	14.03	54.33	11.73	9.78	483.38	102.97	0.0	226.54	0.61	289.02	217.27	262.2	108.14	836.53	454.09
CASZ1	38.67	52.08	20.56	26.47	17.64	58.3	23.93	409.15	253.23	0.0	314.17	0.58	309.83	120.94	368.65	486.75	231.32	202.66
CCDC114	0.72	3.17	2.51	2.46	6.21	13.22	0.0	248.0	55.1	0.0	150.17	0.0	420.68	84.04	253.23	142.01	616.37	325.29
CCDC19	1.25	6.84	0.46	13.22	3.08	0.51	0.0	334.46	147.06	0.0	633.73	0.05	656.11	62.56	518.15	269.6	764.36	547.75
CCDC33	0.0	0.0	0.0	2.92	0.8	0.0	0.0	147.06	0.93	0.0	44.25	0.0	197.09	38.4	165.57	54.33	273.37	180.02
CCDC37	1.16	2.71	1.31	1.45	3.23	0.0	0.0	301.33	14.56	0.0	128.79	0.0	348.71	63.0	283.05	97.36	470.14	237.86
CCDC42B	0.0	1.97	0.0	0.65	0.35	0.03	0.0	285.03	32.82	0.0	122.64	0.0	341.51	76.71	287.01	211.31	836.53	450.94
CCDC78	1.83	0.0	0.66	1.13	8.13	1.01	10.63	954.43	70.51	0.0	463.65	0.01	830.75	334.46	603.67	395.18	1757.34	995.0
CCDC81	1.28	2.84	6.52	5.28	2.27	0.99	2.43	71.0	18.43	0.0	34.02	0.0	140.04	22.26	145.02	80.01	232.94	117.6
CCDC96	9.41	9.06	10.47	74.06	16.39	16.51	15.91	97.36	77.79	0.0	103.69	0.0	253.23	27.84	180.02	89.51	312.0	341.51
CCL22	4.28	2.63	19.39	177.53	37.59	7.06	0.0	361.04	28.65	0.0	211.31	0.0	423.61	208.38	81.71	63.89	239.52	255.0
CCR4	4.17	6.78	11.91	8.51	8.71	3.56	6.94	154.42	14.14	16.88	108.9	205.5	201.25	201.25	228.13	32.36	679.29	164.42
CCR8	0.0	3.47	0.0	0.0	0.0	0.0	4.28	79.45	7.11	0.0	51.35	0.0	75.11	50.63	87.65	2.29	226.54	10.55
CD1A	0.0	1.64	4.82	16.75	4.78	0.0	3.53	780.44	24.28	0.0	161.02	0.0	902.89	486.75	836.53	5.32	82.29	62.12
CD1B	0.0	0.0	0.0	0.0	5.23	0.0	0.0	96.01	1.85	0.0	65.72	0.0	140.04	142.01	123.5	18.16	271.48	28.86
CD1C	82.29	32.82	61.68	37.59	66.65	18.03	17.13	336.79	28.04	0.0	208.38	0.0	563.18	473.41	379.04	80.01	466.88	463.65
CD1E	7.94	12.93	0.0	8.92	32.82	36.79	5.87	327.56	18.56	0.0	165.57	0.0	693.58	332.14	514.56	45.85	921.88	142.01
CD207	35.5	19.97	0.0	32.59	16.39	0.0	0.0	669.92	21.01	0.0	193.01	0.0	1096.5	473.41	896.64	16.75	119.26	46.18
CDHR3	44.57	92.05	56.28	61.25	52.08	65.72	64.34	559.28	23.25	0.0	457.25	0.0	728.11	131.51	559.28	327.56	2303.12	896.64
CHTOP	728.11	656.11	547.75	529.06	571.05	684.02	435.55	1407.55	1143.1	0.0	1769.57	0.79	1963.57	1183.45	1397.83	1378.57	1594.73	1151.06
CLIC6	9.13	2.25	24.81	8.13	22.43	53.19	6.52	669.92	748.61	35.76	406.31	88.26	1388.16	830.75	1044.52	379.04	4181.07	1806.78
CTLA4	3.53	6.06	0.99	7.69	3.96	6.01	0.0	221.86	17.64	0.0	112.77	0.39	156.59	209.84	197.09	20.11	1015.93	120.94
CYP4X1	127.0	96.68	164.42	19.53	209.84	82.87	93.35	363.56	836.53	0.0	281.09	0.39	1572.76	262.2	1427.22	229.72	1167.14	389.72
DAW1	0.0	0.0	0.0	4.1	4.17	1.73	0.0	110.43	27.44	0.0	68.55	0.0	148.09	52.45	185.11	55.49	457.25	1225.22
DMRTC1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.08	10.16	0.0	4.94	0.0	38.4	0.0	16.03	13.83	10.24	1.2
DNAAF3	47.5	12.18	47.17	16.39	3.44	37.59	38.67	314.17	64.8	0.0	154.42	0.0	444.72	107.38	356.05	253.23	1111.82	674.59
DNAH2	1.55	2.97	1.51	0.35	2.53	3.11	0.78	403.5	122.64	0.0	142.01	0.0	166.73	40.64	170.25	35.5	361.04	237.86
DNAI1	25.91	32.36	19.39	1.93	2.2	9.34	0.0	351.14	44.89	0.0	127.89	0.0	206.94	50.63	157.68	131.51	629.35	343.89
DRC1	1.39	0.0	5.54	0.0	1.57	0.0	0.0	157.68	66.18	0.0	124.37	0.0	293.07	28.65	255.0	157.68	595.34	483.38
DTHD1	0.2	1.31	1.43	0.17	1.03	0.0	0.16	100.83	5.02	0.0	51.71	0.0	148.09	24.81	206.94	31.0	341.51	159.9
DYDC1	0.0	0.0	0.0	7.82	0.0	0.0	0.0	26.86	10.71	0.0	10.79	0.0	21.01	11.38	27.44	18.7	129.69	68.07
DYX1C1	5.77	16.63	22.59	2.78	3.35	2.53	5.11	87.65	93.35	0.0	95.34	0.0	236.21	56.68	194.36	97.36	269.6	277.2
ECT2L	0.55	2.27	4.03	0.0	1.25	1.31	1.77	104.42	1.46	0.0	53.19	0.0	80.57	22.1	145.02	19.11	226.54	267.73
EFCAB10	1.93	3.53	1.39	0.95	2.03	3.86	0.35	107.38	27.44	0.0	121.79	0.0	237.86	59.13	320.8	73.03	409.15	536.45
ERICH2	22.43	50.63	63.89	41.81	66.65	23.08	89.51	108.9	25.91	0.0	199.85	0.13	316.37	163.28	275.28	267.73	141.02	258.57
FAM129C	11.73	4.94	12.93	5.96	8.78	9.27	3.59	42.41	2.66	0.0	45.85	0.25	59.97	34.02	61.68	23.25	211.31	172.65
FAM159A	24.99	14.89	23.59	3.63	11.91	4.03	14.03	35.25	12.64	0.0	39.5	0.13	65.72	73.54	51.35	17.9	163.28	57.89
FAM183A	25.35	0.0	7.17	0.0	3.69	0.0	7.82	860.08	275.28	0.0	412.0	0.0	1651.0	466.88	1662.49	819.3	3103.19	2104.58
FAM216B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	255.0	3.69	0.0	147.06	0.0	409.15	105.89	551.56	100.83	1378.57	1135.2
FAM81B	0.0	0.0	0.0	8.58	0.0	0.0	0.0	303.44	155.5	0.0	255.0	0.0	1037.29	189.02	1059.11	145.02	1487.87	1208.34
FCER2	28.86	8.85	6.94	24.81	21.78	12.18	4.43	40.36	19.11	0.0	27.64	0.17	109.66	61.25	74.06	42.41	88.26	215.77
FOXJ1	0.79	0.0	0.95	612.11	43.63	18.56	0.67	842.36	414.87	0.0	854.13	0.0	1519.15	381.68	1806.78	470.14	5076.84	3847.29
FOXP3	32.13	23.25	138.1	152.28	30.34	193.01	12.64	190.34	23.42	0.0	146.03	0.07	211.31	193.01	36.53	23.76	547.75	36.27
FOXQ1	1.22	3.47	1.81	363.56	5.92	10.16	7.46	603.67	104.42	0.0	236.21	0.45	595.34	146.03	327.56	115.97	214.27	70.51
GAS2L2	0.0	0.0	0.0	0.0	0.96	0.0	0.0	110.43	7.63	0.0	65.72	0.0	105.89	26.86	67.59	65.26	389.72	229.72
GPR152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	3.59	0.0	4.66	1.97	1.11	0.0	2.71	0.29
GSTA3	12.74	0.0	0.0	0.0	0.0	4.54	3.44	24.63	2.86	0.0	25.91	0.0	128.79	15.45	96.68	134.3	182.55	80.57
HLA-DRB1	6079.61	441.64	2956.17	1407.55	7695.57	3443.31	915.51	64632.75	20451.65	0.0	23492.92	0.64	44145.15	61146.25	30999.42	37901.36	103551.29	277089.94
HLA-DRB5	934.76	46.5	941.27	105.15	1322.37	358.54	164.42	58655.36	12160.22	0.0	1561.89	0.0	40062.48	36610.26	29943.43	20737.16	59474.18	110983.6
IL17REL	0.0	0.0	0.0	1.01	0.0	0.0	0.0	10.55	0.0	0.0	6.31	0.09	26.47	3.35	36.79	0.71	205.5	23.42
IL21R	16.27	11.3	16.39	6.31	16.15	6.52	19.25	244.57	49.56	43.32	158.79	120.94	177.53	169.07	191.67	74.06	228.13	206.94
IL5RA	11.64	0.0	0.0	5.87	2.12	5.96	0.0	39.22	5.96	0.0	43.32	0.0	84.04	48.18	124.37	28.65	279.14	73.54
KIAA0319L	525.39	603.67	656.11	476.71	698.41	708.18	802.41	1844.76	1331.57	450.94	1909.85	842.36	1923.14	995.0	2148.82	1044.52	2319.15	1001.93
KLRB1	98.73	155.5	138.1	24.28	112.77	76.17	20.71	152.28	49.91	0.0	206.94	0.21	289.02	256.78	267.73	195.72	265.87	571.05
LRRC10B	2.18	3.38	0.79	12.55	3.03	3.23	0.0	164.42	28.24	0.0	88.26	0.0	366.09	53.19	291.04	178.77	733.19	638.15
LRRC43	18.03	3.44	10.39	7.4	3.03	1.13	2.97	117.6	21.63	0.0	84.63	0.0	183.82	34.26	152.28	93.35	277.2	185.11
MAPK10	48.87	34.02	17.64	24.11	22.26	31.67	9.2	651.58	118.43	0.0	256.78	0.37	318.57	163.28	532.74	237.86	769.69	532.74
MID1IP1	769.69	555.41	775.05	426.57	525.39	819.3	988.12	813.63	802.41	0.0	1199.98	0.09	2148.82	813.63	2209.26	1561.89	1844.76	1781.89
MROH9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.26	2.66	0.0	17.13	0.0	52.08	8.85	61.68	21.32	87.65	47.5
NKAP	239.52	197.09	323.03	159.9	246.28	264.03	316.37	450.94	567.1	0.0	575.03	0.54	551.56	336.79	511.0	409.15	387.02	327.56
NUTM2E	1.38	18.84	1.55	3.47	2.39	8.32	0.0	13.12	4.9	0.0	0.72	0.01	21.16	2.36	19.39	29.06	21.63	7.46
NWD1	0.0	0.0	0.0	0.39	0.51	0.56	0.0	66.65	17.64	0.0	54.72	0.0	181.28	21.01	275.28	17.13	293.07	273.37
OPRL1	7.06	2.89	13.22	5.96	11.55	15.56	5.11	45.21	38.12	0.0	44.89	0.21	62.56	41.22	47.17	49.91	129.69	85.82
OSBPL6	82.29	78.34	29.06	38.67	62.12	61.68	59.13	94.67	53.95	55.89	141.02	87.03	341.51	47.5	361.04	128.79	547.75	406.31
PCDP1	45.21	0.29	13.83	0.0	11.13	29.7	10.96	525.39	73.03	0.0	285.03	0.21	514.56	409.15	612.11	224.97	813.63	748.61
PIH1D3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.01	33.3	0.0	28.04	0.0	122.64	58.3	121.79	48.18	224.97	228.13
PLCXD1	44.89	420.68	59.97	201.25	70.01	76.71	15.56	166.73	47.5	0.0	102.25	0.36	293.07	361.04	242.88	105.89	450.94	201.25
PLEKHG7	27.25	3.79	4.82	1.71	10.08	3.59	4.94	151.22	9.93	0.0	36.79	0.0	217.27	64.34	194.36	5.28	244.57	137.14
PRICKLE3	47.84	58.3	53.19	47.84	60.39	62.12	61.25	198.47	248.0	0.0	341.51	0.67	395.18	215.77	201.25	195.72	126.12	144.01
PRSS12	8.51	5.11	9.2	14.24	58.71	5.36	13.03	1059.11	93.35	0.0	138.1	0.13	249.73	104.42	295.11	197.09	1388.16	277.2
PTPRT	3.41	1.31	9.06	0.57	5.77	14.67	1.66	32.82	11.13	0.0	13.72	0.0	22.1	3.79	37.05	14.67	149.12	94.67
PYCR2	723.08	551.56	693.58	521.76	679.29	620.67	708.18	2163.77	1594.73	0.0	2434.5	0.8	2875.3	1259.69	2520.38	1806.78	2104.58	2255.7
RIBC1	35.76	11.04	25.54	4.43	11.91	27.84	11.04	133.36	82.87	0.0	176.29	0.0	503.95	87.65	371.22	146.03	414.87	503.95
RIBC2	0.0	0.0	0.0	0.0	7.51	8.0	1.91	120.1	115.97	0.0	137.14	0.0	229.72	14.56	181.28	46.84	217.27	176.29
RIIAD1	76.17	0.0	0.0	0.0	0.0	0.0	0.0	147.06	15.8	0.0	85.82	0.0	217.27	106.63	181.28	142.01	780.44	583.07
RP11-368I7.4	20.71	25.91	30.56	44.57	30.78	12.45	32.36	56.28	16.63	0.0	29.7	0.0	42.11	10.24	30.12	36.53	121.79	78.34
RP11-503N18.3	3.44	0.0	1.66	0.67	2.2	0.61	0.44	40.07	17.0	0.0	39.79	0.0	47.5	5.02	50.63	20.26	59.13	35.76
RP3-369A17.5	0.0	0.0	0.0	0.0	36.01	0.0	0.0	17.9	0.0	0.0	8.92	0.0	88.88	2.48	77.25	32.13	102.97	18.7
RSPH10B	4.5	5.87	4.17	3.56	13.32	15.56	8.19	96.68	12.18	0.0	55.49	0.0	76.17	20.26	87.03	36.79	151.22	111.99
RSPH4A	1.95	7.22	2.48	8.13	1.35	3.99	0.82	136.19	19.68	0.0	104.42	0.0	289.02	48.18	336.79	103.69	629.35	854.13
S100B	3.99	23.76	21.32	7.57	47.84	50.27	7.34	2209.26	164.42	0.0	470.14	0.44	2287.2	2193.99	1794.29	165.57	1721.16	769.69
SLC41A1	122.64	17.25	103.69	215.77	64.34	29.27	150.17	733.19	314.17	0.0	780.44	0.51	1015.93	493.56	406.31	583.07	612.11	536.45
SMKR1	8.65	1.07	8.99	5.11	3.17	0.0	0.0	48.18	39.22	0.0	110.43	0.0	85.82	73.54	73.54	11.55	113.56	183.82
SPAG6	0.0	2.18	0.0	7.88	3.96	0.0	2.43	291.04	85.82	0.0	229.72	0.0	571.05	92.05	432.53	163.28	1216.75	1508.65
SPATA17	0.0	0.36	15.34	5.02	7.82	20.86	4.7	154.42	30.34	0.0	189.02	0.0	314.17	63.45	376.41	65.26	316.37	332.14
SPEF1	0.0	0.0	0.0	2.66	2.56	1.25	0.0	169.07	82.29	0.0	97.36	0.0	291.04	50.27	253.23	93.35	392.44	287.01
SPINK14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.57	0.0	0.0	0.0	49.91	14.56	25.35	5.54	0.0	16.51
STOML3	0.0	0.0	0.0	0.0	5.15	0.0	0.0	110.43	1.64	0.0	62.12	0.0	223.41	37.85	151.22	82.29	470.14	480.04
TEKT2	0.0	0.0	0.65	18.03	0.64	3.76	0.92	314.17	130.6	0.0	237.86	0.0	412.0	75.11	373.81	208.38	1023.0	651.58
TF	3406832.48	2825352.59	1.271475112E7	2279047.19	4165330.83	8273118.55	1345768.59	113.56	454.09	0.0	195.72	0.62	25.72	35.5	24.28	18.16	518.15	12.74
TIGIT	35.0	8.85	92.05	4.86	63.0	31.22	5.92	205.5	25.54	0.0	163.28	0.19	215.77	234.57	262.2	54.72	423.61	154.42
TMEM164	36.01	21.78	77.25	11.38	75.11	70.01	66.18	470.14	624.99	0.0	555.41	0.0	713.11	450.94	748.61	583.07	743.43	759.08
TMEM231	77.79	42.11	205.5	13.32	109.66	46.84	41.52	525.39	260.38	0.0	297.17	0.0	1721.16	279.14	1594.73	334.46	1127.35	860.08
TP73	4.86	1.33	0.72	0.75	2.41	3.69	0.67	136.19	19.82	0.0	75.11	0.0	85.82	39.22	50.98	44.25	228.13	163.28
TTC16	2.1	6.01	0.0	0.21	0.31	1.06	0.19	92.05	9.7	0.0	35.0	0.0	50.63	23.42	43.32	32.82	194.36	82.29
TTC29	0.0	0.0	0.0	0.0	1.04	9.56	0.82	99.43	7.75	0.0	59.13	0.0	95.34	28.86	120.1	64.34	384.34	346.29
TTC34	4.74	4.24	1.3	0.22	2.56	1.71	0.0	16.39	7.46	0.0	17.64	0.25	44.57	13.12	25.91	16.75	43.32	12.45
TTLL9	0.87	3.76	2.29	0.0	2.27	1.04	1.1	80.57	9.85	0.0	67.59	0.0	181.28	28.86	182.55	27.25	138.1	75.11
TUBB8	0.72	2.1	0.45	1.89	0.0	0.87	4.74	16.75	1.73	0.0	5.15	0.02	18.29	4.24	16.15	6.36	24.81	4.58
VWA3B	14.03	0.85	2.14	6.26	8.85	3.56	6.52	165.57	18.7	0.0	104.42	0.0	135.24	37.85	127.89	116.78	651.58	450.94
WBSCR28	3.66	4.9	1.53	12.18	1.51	0.0	5.54	14.35	11.55	0.0	9.85	0.0	27.64	2.73	21.94	12.45	39.5	21.16
WDR65	12.27	57.89	50.27	36.53	49.91	38.4	37.59	90.77	30.34	0.0	81.71	0.0	150.17	35.25	140.04	51.71	368.65	295.11
ZBBX	0.0	2.29	0.0	0.0	3.76	0.0	0.0	291.04	26.47	0.0	133.36	0.0	320.8	99.43	473.41	98.73	536.45	339.14
ZMYND10	2.36	12.18	5.5	8.13	10.39	7.0	8.78	848.22	409.15	0.0	559.28	0.0	1388.16	318.57	1111.82	1066.48	3982.99	3018.3
ZNF474	2.46	0.29	0.96	0.0	1.25	1.01	1.71	48.18	25.35	0.0	39.5	0.0	125.24	21.78	167.9	27.64	128.79	182.55
ZNF672	295.11	336.79	307.69	277.2	273.37	241.19	348.71	543.96	500.46	0.0	769.69	0.65	830.75	567.1	703.28	532.74	532.74	1159.07
ZSCAN4	0.0	0.36	0.0	0.0	0.39	0.93	0.71	3.96	11.64	0.0	8.19	0.09	62.12	10.16	38.95	4.13	5.19	3.76
