	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.55.5899.01A.11R.1628.07	TCGA.NJ.A55R.01A.11R.A262.07	TCGA.FE.A232.01A.11R.A14Y.07
DNAJC12	0.0	0.59	3491.39	1883.54	11.38
EGFL7	0.0	0.93	6381.92	5954.47	2133.97
ELMO1	0.0	0.59	7642.41	796.86	454.09
F8A2	0.0	0.08	902.89	198.47	0.0
FAM178B	0.0	0.39	346.29	339.14	182.55
FERD3L	0.0	0.0	19.68	0.0	0.0
FHDC1	0.0	0.0	1457.23	144.01	152.28
FHIT	0.0	0.37	420.68	95.34	264.03
FSCB	0.0	0.0	14.56	0.0	0.59
FSHB	0.0	0.0	366.09	0.44	0.0
GABRA2	0.0	0.0	368.65	15.56	1.1
GADD45G	0.0	0.6	2591.27	2061.24	173.85
GALR1	0.0	0.0	111.99	67.12	1.38
GDF10	0.0	0.16	211.31	47.17	17.38
GIF	0.0	0.0	1.99	4.28	0.0
GLRB	0.0	0.28	796.86	119.26	94.67
GPR112	0.0	0.0	0.75	0.0	0.0
GPR116	0.0	0.71	713.11	432.53	555.41
GPR119	0.0	0.0	20.41	1.3	0.0
GPR128	0.0	0.0	27.25	19.25	0.87
GPR148	0.0	0.0	0.57	0.66	0.0
GREM2	0.0	0.09	58.71	17.38	3.86
GRIN1	0.0	0.26	169.07	15.34	1.3
GRM5	0.0	0.0	19.25	0.28	0.0
GUCA2A	0.0	0.0	37.85	6.11	2.39
HCRTR2	0.0	0.01	197.09	0.35	0.33
HLA-A	0.0	1.23	75803.72	51062.33	52497.92
IGF1	153.34	59.13	1628.26	122.64	87.03
IL17C	0.0	0.0	262.2	256.78	5.87
IMPA1	0.0	0.27	738.29	283.05	316.37
ITPR1	0.0	0.66	698.41	414.87	246.28
KCNF1	0.0	0.12	277.2	60.39	0.93
KCNK17	0.0	0.3	87.03	34.26	48.87
KCNN2	0.0	0.09	88.26	14.45	11.38
KHDRBS2	0.0	0.0	220.32	6.78	14.78
KIAA0922	0.0	0.58	866.07	205.5	163.28
KLHL41	0.0	0.06	1651.0	15.68	13.42
L1TD1	0.0	0.01	6.21	1.01	5.06
LACE1	0.0	0.04	135.24	80.01	40.93
LHFP	226.54	591.22	1639.59	470.14	733.19
LHX4	0.0	0.28	87.03	34.26	6.16
LIG4	0.0	0.39	435.55	132.44	77.79
LIN7A	0.0	0.39	921.88	48.87	18.29
LIPC	0.0	0.0	177.53	14.78	10.88
LRAT	1.85	57.89	1427.22	23.93	36.53
LRBA	341.51	708.18	3874.05	915.51	521.76
LRLE1	0.0	0.0	45.53	154.42	0.0
LRP5	0.0	0.61	3372.43	1950.0	1119.56
MAN1A1	0.0	0.62	3716.2	336.79	148.09
MC4R	0.0	0.06	17.0	14.56	1.2
MEP1B	0.0	0.08	72.01	33.78	0.46
MFNG	0.0	0.55	1167.14	260.38	223.41
MND1	0.0	0.0	2875.3	69.52	18.56
MTNR1B	0.0	0.0	34.26	2.16	0.0
MTRNR2L9	0.0	0.0	753.83	115.16	63.89
NAGLU	0.0	0.27	2133.97	1340.84	1081.39
NEUROD1	0.0	0.0	309.83	111.21	0.0
NPAS4	0.0	0.16	90.14	2.53	0.0
NPC1L1	0.0	0.27	1508.65	967.76	0.87
NPDC1	0.0	1.07	4123.49	6426.31	3768.09
NSF	0.0	0.4	2855.44	848.22	373.81
NUDT6	0.0	0.07	759.08	159.9	148.09
NXPH3	0.0	0.03	251.48	18.7	47.84
OGN	0.0	0.09	120.1	34.02	19.82
OR10G2	0.0	0.0	4.35	0.0	0.88
OR4D6	0.0	0.0	1.57	0.0	7.4
OTOGL	0.0	0.2	43.02	12.36	0.72
PABPC5	0.0	0.21	281.09	4.74	14.03
PAH	0.0	0.21	2627.46	226.54	2.05
PARK2	0.0	0.12	75.11	18.56	17.25
PCDH11X	0.0	0.0	12.83	0.38	0.05
PCDHA3	0.0	0.1	82.29	16.27	5.87
PCDHA6	0.0	0.09	363.56	7.17	4.13
PCDHB5	0.0	0.4	665.29	84.63	26.67
PCDHB8	0.0	0.28	255.0	22.1	1.04
PCSK1	0.0	0.38	8191.0	13399.51	2.68
PET112	0.0	0.0	2720.15	341.51	262.2
PGM5	0.0	0.33	529.06	289.02	70.51
PIRT	0.0	0.0	61.25	5.92	0.0
PLAC9	0.0	0.23	318.57	248.0	361.04
PLEKHB1	0.0	0.27	4181.07	1208.34	896.64
PLRG1	0.0	0.33	14262.1	842.36	1733.13
PPFIA2	0.0	0.25	198.47	14.14	10.08
PPP1R36	0.0	0.01	301.33	107.38	9.56
PRDM12	0.0	0.09	6.46	5.87	0.35
PRLR	0.0	0.09	70.01	34.51	2.23
PTF1A	0.0	0.0	226.54	21.01	0.0
PTGR2	0.0	0.28	591.22	214.27	260.38
RBP4	0.0	0.06	329.84	32.13	62.56
RDH12	0.0	0.0	403.5	12.83	32.59
RFPL1	0.0	0.09	17.0	8.25	0.0
RFX6	0.0	0.0	185.11	26.1	0.0
RP11-343C2.7	0.0	0.0	3.38	7.28	0.0
RP11-595B24.2	0.0	0.0	173.85	2.51	0.0
RP11-872D17.8	0.0	0.18	161.02	115.97	15.91
SCGB2A2	0.0	0.0	47.5	144.01	0.0
SERPINA10	0.0	0.0	599.49	420.68	0.91
SH3D19	358.54	102.25	1008.9	346.29	536.45
SLC13A3	0.0	0.4	540.19	34.75	59.55
SLC22A9	0.0	0.0	10.71	1.77	0.0
SLC27A2	0.0	0.0	460.44	92.05	122.64
SLC29A4	0.0	0.32	6607.01	708.18	51.71
SLC38A4	0.0	0.18	69.03	6.52	2.86
SLC45A2	0.0	0.08	68.07	43.94	1.39
SMOC1	0.0	0.37	1674.06	1191.69	139.07
SP7	0.0	0.0	29.7	1.08	6.52
SPATA5	44.25	44.57	147.06	49.91	22.1
STPG2	0.0	0.06	15.22	7.88	2.63
TAC1	0.0	0.0	49666.0	138.1	8.51
TBCK	0.0	0.13	656.11	291.04	267.73
TDO2	0.0	0.0	6164.49	341.51	16.51
TFAP2D	0.0	0.0	52.82	42.71	0.0
TMED10	3039.3	108.9	20451.65	12943.04	5329.3
TMED6	0.0	0.0	915.51	470.14	8.32
TMEM135	0.0	0.32	490.14	220.32	165.57
TPH1	3.86	74.58	178.77	142.01	4.78
TRPC3	0.0	0.23	241.19	47.17	1.77
TTR	0.0	0.17	1447.15	7180.15	15.56
UBE2E2	0.0	0.62	1259.69	400.71	638.15
UBL3	146.03	82.29	1313.23	301.33	470.14
WDR25	0.0	0.35	1870.53	346.29	389.72
WDR87	0.0	0.0	12.36	11.3	1.58
WWOX	0.0	0.48	1233.75	273.37	269.6
XG	0.0	0.26	836.53	688.78	16.15
XIRP2	0.0	0.0	10.39	2.92	0.0
ZNF660	0.0	0.13	27.25	16.88	15.91
