	TCGA.ZJ.AAXN.01A.11R.A42T.07	TCGA.C5.A7UC.01A.11R.A352.07	TCGA.CV.5439.01A.01R.1686.07	TCGA.CN.A642.01A.12R.A30B.07	TCGA.67.6217.01A.11R.1755.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4396.01A.21R.1858.07	TCGA.64.1680.01A.02R.0946.07	GTEX.12WSI.0826.SM.5EGKD	GTEX.13RTJ.1126.SM.5S2UJ	GTEX.13FTY.0126.SM.5J2NZ	GTEX.QDT8.0926.SM.32PL2	GTEX.11NV4.1126.SM.5HL6J	GTEX.13FLV.0426.SM.5KLZA	GTEX.11NUK.0826.SM.5HL4U	GTEX.145MF.0726.SM.5Q5BT	GTEX.W5X1.0526.SM.3GILH	GTEX.SIU8.0926.SM.5SI87	GTEX.13OW8.1726.SM.5L3GO	GTEX.11ZTS.1226.SM.5EQMQ	GTEX.131XH.0426.SM.5DUWU	GTEX.11WQK.2926.SM.5EQKT
CD33	32.13	6.52	18.7	53.19	73.03	0.0	14.35	103.69	460.44	1225.22	164.42	1397.83	82.29	258.57	764.36	336.79	1191.69	878.17	708.18	483.38	151.22	10.79
CFP	12.36	4.98	25.17	10.79	80.01	0.0	57.08	40.64	265.87	201.25	813.63	2335.28	483.38	1001.93	429.54	164.42	376.41	941.27	239.52	447.82	242.88	58.71
CHN1	132.44	90.77	99.43	187.71	145.02	0.0	289.02	57.49	591.22	309.83	466.88	1561.89	743.43	591.22	575.03	332.14	748.61	679.29	341.51	638.15	1037.29	13.22
CLEC12A	15.0	0.45	14.24	43.02	66.65	0.0	23.25	18.03	718.08	107.38	514.56	2645.74	31.9	909.17	2758.13	463.65	2451.44	2645.74	351.14	656.11	208.38	1.68
CLEC7A	178.77	15.68	647.07	108.9	351.14	387.02	100.83	291.04	1628.26	791.35	796.86	5555.65	698.41	2047.0	3768.09	1709.26	5517.27	4010.71	1857.6	2133.97	457.25	157.68
CXorf21	10.31	2.05	17.38	15.56	55.49	0.0	21.01	11.47	75.64	56.68	132.44	995.0	59.13	115.16	176.29	18.84	872.1	249.73	66.65	120.1	36.53	3.56
CYYR1	29.91	11.55	54.33	32.82	111.99	0.0	113.56	65.72	591.22	287.01	591.22	3124.78	255.0	409.15	665.29	295.11	651.58	587.13	224.97	563.18	551.56	28.86
DKK2	0.54	0.0	8.45	4.13	21.78	0.0	24.28	9.56	42.11	131.51	90.77	543.96	37.05	198.47	98.04	8.92	264.03	140.04	35.76	84.63	65.26	1.55
DPEP2	11.82	2.68	11.82	24.46	98.73	0.0	38.4	64.34	595.34	351.14	199.85	1923.14	214.27	884.29	1340.84	246.28	2090.03	753.83	1628.26	698.41	260.38	0.47
EEPD1	109.66	92.05	31.45	40.36	124.37	0.0	93.35	57.89	441.64	115.16	507.46	660.68	397.93	90.77	314.17	293.07	246.28	802.41	194.36	264.03	176.29	107.38
ELMOD1	0.65	1.07	0.74	4.35	1.57	0.0	1.17	1.3	22.1	30.56	33.3	34.02	6.57	5.19	6.52	59.55	12.27	3.89	5.32	25.54	9.7	1.62
EMR3	2.43	1.0	4.54	0.87	8.45	0.0	1.51	4.98	123.5	17.51	97.36	836.53	48.18	118.43	170.25	180.02	193.01	366.09	13.42	143.01	55.49	5.28
EPB41L2	251.48	31.0	187.71	208.38	379.04	647.07	283.05	212.78	947.83	1199.98	1437.15	3467.27	1216.75	1857.6	1745.2	642.59	1427.22	1594.73	2004.85	2485.67	1794.29	239.52
FFAR4	1.57	0.54	4.62	4.82	11.91	0.0	2.92	1.64	201.25	15.22	92.05	253.23	52.08	29.27	320.8	81.14	107.38	579.04	27.64	246.28	33.06	0.0
FGD2	38.12	17.25	61.25	64.34	223.41	0.0	96.68	59.55	169.07	563.18	575.03	2193.99	183.82	232.94	607.87	293.07	723.08	830.75	277.2	647.07	116.78	8.51
FGR	76.17	17.0	52.08	74.58	246.28	0.0	100.83	78.34	1208.34	1417.35	4328.55	3820.7	1427.22	3564.78	1225.22	693.58	1313.23	5292.48	1936.53	2193.99	896.64	27.05
FLVCR2	81.14	10.31	209.84	43.32	218.79	0.0	36.79	99.43	358.54	616.37	267.73	1757.34	131.51	228.13	563.18	503.95	1369.04	361.04	490.14	423.61	198.47	12.93
FMO2	1.58	1.36	473.41	29.91	384.34	0.0	175.07	197.09	2739.08	2287.2	2178.83	11112.3	567.1	3665.02	4769.75	1662.49	3212.66	4152.18	4358.66	4869.99	2720.15	5.11
GAB3	21.32	2.66	9.78	29.7	77.25	34.75	32.36	49.91	94.67	102.25	63.89	426.57	173.85	78.89	236.21	48.87	444.72	273.37	122.64	148.09	44.89	0.97
GMFG	339.14	110.43	297.17	738.29	1023.0	0.0	476.71	638.15	5147.73	2417.67	1447.15	8421.31	3235.01	3768.09	7749.1	2609.3	3515.68	8134.41	5751.61	4802.93	3614.55	74.58
GRM3	0.37	0.58	0.43	1.07	3.23	0.0	0.74	1.17	1.27	2.84	1.27	7.06	0.28	6.84	2.39	0.62	1.91	3.96	11.82	2.1	1.38	0.0
GSAP	301.33	202.66	198.47	197.09	738.29	0.0	353.59	579.04	954.43	665.29	974.5	1844.76	551.56	764.36	2502.97	1259.69	4268.94	3325.99	1437.15	860.08	629.35	47.5
HLA-DRA	30572.63	457.25	32994.92	40621.74	76330.98	25530.66	17317.18	100023.92	569761.05	258533.99	341137.96	49666.0	341137.96	466008.55	668235.84	378516.38	345900.08	417089.23	1085552.95	645473.24	327241.36	1923.14
HLX	151.22	21.01	40.64	140.04	151.22	113.56	101.54	33.3	567.1	463.65	587.13	796.86	738.29	420.68	591.22	144.01	429.54	575.03	351.14	267.73	629.35	16.63
HSPA12B	17.38	8.45	13.72	32.59	34.26	0.0	56.28	24.46	336.79	124.37	163.28	466.88	134.3	171.45	223.41	84.63	368.65	287.01	178.77	267.73	221.86	4.54
IGSF10	0.38	3.0	1.93	1.1	54.72	0.0	4.78	60.39	1216.75	74.06	373.81	2255.7	239.52	559.28	902.89	205.5	2240.11	890.44	297.17	738.29	197.09	0.95
IL11RA	115.16	40.36	84.04	264.03	275.28	0.0	173.85	253.23	587.13	334.46	723.08	878.17	486.75	563.18	1447.15	358.54	612.11	808.0	603.67	753.83	470.14	40.36
INSC	14.24	7.63	0.58	5.11	0.77	0.0	14.67	1.91	36.27	7.46	17.0	102.25	75.64	9.2	28.45	9.34	45.21	21.16	12.93	33.54	20.56	1.79
JPH4	1.17	0.99	0.46	1.41	4.31	0.0	5.63	9.63	87.65	14.67	28.65	147.06	10.08	98.73	209.84	21.01	95.34	94.67	126.12	62.56	82.29	0.97
KCNA10	0.0	0.0	0.0	0.0	0.37	0.0	0.77	0.0	8.51	0.0	2.29	6.36	0.0	1.13	7.57	4.39	3.08	12.09	1.69	2.84	3.82	0.0
KL	2.61	1.11	1.97	1.14	12.55	0.0	11.3	13.93	61.68	5.41	27.25	470.14	106.63	181.28	59.97	62.56	159.9	94.01	96.68	108.9	85.82	0.77
KLRF1	27.84	0.0	3.69	7.51	13.42	26.67	7.34	8.45	68.07	29.27	209.84	215.77	387.02	147.06	52.82	37.59	599.49	172.65	132.44	164.42	98.73	8.92
LAT2	180.02	25.91	79.45	163.28	260.38	0.0	117.6	183.82	988.12	368.65	872.1	1529.73	384.34	651.58	1628.26	376.41	1143.1	2555.58	239.52	974.5	381.68	26.28
LILRB3	27.25	13.72	17.13	95.34	177.53	0.0	123.5	68.07	103.69	423.61	988.12	1151.06	397.93	684.02	112.77	135.24	400.71	258.57	232.94	368.65	186.4	27.44
MCOLN3	12.55	8.19	2.12	15.56	44.89	0.0	6.01	11.38	109.66	15.34	339.14	665.29	92.7	124.37	224.97	76.71	878.17	248.0	80.57	289.02	163.28	2.94
MKNK1	728.11	638.15	493.56	457.25	878.17	603.67	473.41	356.05	718.08	703.28	961.07	1191.69	743.43	836.53	1159.07	759.08	947.83	1359.57	1023.0	884.29	693.58	341.51
MNDA	60.82	4.94	55.1	128.79	312.0	0.0	131.51	98.73	718.08	403.5	497.0	8191.0	497.0	1015.93	1030.12	1378.57	2835.7	1769.57	379.04	1769.57	366.09	8.51
MOGAT1	0.0	0.0	1.1	0.0	0.0	0.0	0.0	3.03	17.13	2.36	4.58	33.06	4.1	5.02	24.99	9.85	4.35	22.1	8.65	18.7	4.78	0.53
MTMR10	88.26	122.64	114.36	147.06	183.82	0.0	264.03	111.99	397.93	265.87	412.0	1313.23	301.33	490.14	934.76	567.1	1225.22	607.87	507.46	543.96	224.97	138.1
MTMR14	395.18	435.55	353.59	507.46	529.06	693.58	599.49	521.76	1208.34	995.0	854.13	1135.2	1135.2	890.44	1059.11	503.95	995.0	1216.75	1127.35	624.99	764.36	325.29
MVB12B	26.1	76.17	20.71	31.22	212.78	0.0	123.5	111.99	211.31	143.01	269.6	285.03	136.19	197.09	463.65	343.89	567.1	162.14	339.14	289.02	190.34	3.03
MYO1F	125.24	16.63	72.01	145.02	371.22	253.23	171.45	88.88	463.65	525.39	1437.15	2193.99	728.11	1030.12	1066.48	336.79	1225.22	2209.26	483.38	947.83	171.45	37.59
NCF2	339.14	241.19	223.41	131.51	429.54	373.81	120.1	118.43	2271.4	2193.99	4123.49	8778.97	836.53	3928.15	3847.29	2004.85	5112.16	7485.11	1437.15	3690.52	967.76	87.03
NLRC4	9.7	3.82	4.54	15.91	24.11	0.0	10.39	16.39	148.09	149.12	39.79	323.03	24.63	122.64	223.41	103.69	246.28	244.57	221.86	151.22	75.64	5.41
PADI4	2.63	0.0	0.43	0.4	3.5	0.0	2.23	2.41	1.11	1.38	10.24	114.36	31.67	217.27	19.97	14.35	7.34	55.49	26.67	18.7	17.0	0.47
PDE1B	10.24	7.88	8.58	17.0	40.64	0.0	24.99	8.32	361.04	237.86	178.77	579.04	231.32	147.06	518.15	137.14	208.38	1457.23	403.5	176.29	361.04	28.04
PGLYRP1	1.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.86	6.41	9.2	59.13	8.78	163.28	5.63	11.73	9.48	27.84	10.08	15.22	16.15	0.97
PIK3R5	36.53	3.99	23.25	44.57	199.85	0.0	58.3	45.53	358.54	587.13	1832.01	575.03	460.44	1037.29	361.04	175.07	267.73	1745.2	1583.71	743.43	607.87	19.39
PLEKHH2	6.94	35.76	52.08	3.5	417.77	0.0	67.12	90.14	540.19	346.29	500.46	3235.01	228.13	420.68	753.83	137.14	1023.0	511.0	447.82	674.59	463.65	43.02
PRAM1	18.84	5.82	12.45	28.65	68.07	0.0	22.75	34.26	728.11	215.77	387.02	1225.22	120.94	371.22	1628.26	759.08	1551.09	2502.97	190.34	854.13	109.66	1.71
PRR5L	295.11	21.47	92.7	97.36	120.1	0.0	114.36	65.26	281.09	147.06	651.58	1378.57	457.25	165.57	429.54	194.36	1685.71	255.0	119.26	253.23	264.03	40.64
PTPRO	9.93	1.33	10.16	27.64	62.12	0.0	13.72	11.21	500.46	186.4	255.0	698.41	74.06	161.02	733.19	323.03	934.76	1369.04	299.25	291.04	83.45	3.26
RASGRP4	19.39	4.28	5.45	22.75	31.0	0.0	18.97	19.97	127.0	46.5	125.24	497.0	82.87	275.28	228.13	43.32	234.57	297.17	52.45	166.73	74.58	3.47
RPA4	2.12	0.0	0.79	1.71	1.91	0.0	2.2	1.06	3.56	4.1	6.89	14.24	1.11	2.97	2.89	1.85	9.63	3.17	0.11	3.59	0.88	0.8
SIRPD	0.0	0.0	0.0	2.71	12.83	0.0	0.0	0.56	32.13	25.91	26.1	35.0	16.51	8.58	60.39	11.04	22.59	24.11	28.24	23.76	11.13	1.73
SLC19A3	13.03	3.03	8.32	0.39	24.63	0.0	52.82	3.76	115.16	244.57	341.51	825.0	154.42	71.5	84.04	181.28	241.19	159.9	514.56	180.02	104.42	11.73
SLC24A4	1.89	1.28	0.79	0.73	2.71	0.0	2.23	0.55	7.06	7.46	18.84	80.57	5.36	21.94	44.25	10.71	53.95	59.55	33.06	82.29	24.99	0.0
STARD13	100.83	78.34	26.28	63.89	142.01	0.0	76.17	66.65	291.04	295.11	327.56	974.5	525.39	967.76	145.02	147.06	361.04	297.17	698.41	341.51	309.83	53.95
TM6SF1	36.01	30.56	23.42	58.71	98.73	0.0	56.28	63.45	163.28	231.32	150.17	836.53	59.55	384.34	341.51	221.86	1044.52	483.38	660.68	376.41	195.72	28.86
TNFSF13	409.15	183.82	142.01	229.72	1369.04	0.0	1819.35	1233.75	3955.48	2434.5	1662.49	2835.7	1388.16	2061.24	6561.36	4239.45	3395.89	3639.7	2875.3	5479.15	2163.77	307.69
TSPAN32	22.26	6.01	7.34	17.64	31.22	0.0	31.22	17.51	148.09	46.84	73.54	301.33	53.57	232.94	503.95	48.87	236.21	551.56	82.29	115.97	40.93	0.0
USHBP1	7.34	4.31	11.04	21.78	30.34	0.0	22.59	18.03	154.42	46.5	126.12	483.38	86.43	41.52	193.01	19.39	287.01	100.83	106.63	67.59	110.43	5.68
VASH1	79.45	26.47	48.87	90.14	156.59	0.0	153.34	45.53	551.56	397.93	536.45	438.59	228.13	258.57	1233.75	157.68	536.45	1119.56	373.81	497.0	312.0	10.47
ZMYND15	85.22	18.56	31.22	61.68	61.25	0.0	89.51	53.19	361.04	283.05	106.63	289.02	96.68	389.72	733.19	293.07	161.02	723.08	473.41	291.04	470.14	32.82
