	GTEX.11P7K.1426.SM.5EGKY	GTEX.YF7O.1026.SM.5P9IP	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.14DAR.0726.SM.5RQIA	GTEX.111CU.0626.SM.5EGHL	GTEX.13QBU.0926.SM.5K7WQ	TCGA.VQ.AA6A.01A.11R.A414.31	TCGA.BR.6564.01A.12R.1884.13	TCGA.BR.A4J2.01A.21R.A251.31	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.BR.6458.01A.11R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6458.11A.01R.1802.13
ERGIC3	3280.18	3742.05	4066.71	2701.35	3103.19	3081.75	2384.37	12502.12	7180.15	6164.49	9673.69	13586.57	9344.14	4450.27	6207.38
F11R	277.2	220.32	244.57	215.77	226.54	346.29	258.57	5112.16	1844.76	2555.58	2148.82	4836.35	3491.39	1883.54	2148.82
FAM183A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.11	2.58	5.28	13.62	1.48	1.85	3.26	0.0
FLOT2	1191.69	1313.23	1487.87	1143.1	1322.37	1561.89	974.5	1936.53	1769.57	2075.59	1628.26	2271.4	1417.35	1551.09	2119.22
GRIN2D	3.41	1.64	2.16	3.44	4.13	4.17	0.18	463.65	12.09	91.41	164.42	51.71	397.93	232.94	8.45
H3F3A	6699.25	6471.02	7966.99	5112.16	6426.31	5183.54	5791.62	11745.96	9279.58	12244.81	9088.59	22380.2	18052.61	11584.24	6887.62
HARBI1	34.02	32.13	32.82	39.22	47.84	57.08	22.43	152.28	50.63	84.63	137.14	53.95	150.17	140.04	144.01
HENMT1	40.07	51.71	40.36	32.59	29.48	37.85	22.43	400.71	104.42	169.07	102.25	175.07	480.04	116.78	101.54
HID1	703.28	348.71	583.07	164.42	713.11	503.95	190.34	16496.96	2224.63	4010.71	2777.33	6983.79	3639.7	7081.29	5006.93
HIPK2	214.27	145.02	198.47	239.52	178.77	182.55	209.84	1104.13	309.83	638.15	438.59	563.18	323.03	830.75	909.17
HIST1H1T	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.18	0.0	1.57	0.0	12.93	6.26	0.0	0.0
HIST1H2AB	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.51	0.0	1.16	7.88	3.56	7.57	1.95	3.2
HIST1H2AC	251.48	166.73	258.57	262.2	246.28	470.14	236.21	1628.26	473.41	483.38	400.71	2502.97	1674.06	265.87	665.29
HIST1H2AG	12.27	8.25	5.68	4.06	4.9	4.9	6.26	109.66	11.91	20.11	18.7	81.71	108.9	22.1	16.27
HIST1H2AJ	0.0	2.53	0.0	0.0	0.0	0.0	3.29	36.79	8.13	15.8	28.86	3.35	28.86	5.92	4.24
HIST1H3D	10.79	16.15	4.94	3.92	4.62	4.98	1.53	221.86	13.83	31.22	62.12	379.04	162.14	19.82	13.52
HIST1H3J	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.84	0.0	2.03	24.46	13.62	29.7	7.69	0.0
HIST1H4I	3.47	3.2	1.79	4.21	7.34	5.63	5.77	40.36	8.0	24.99	6.16	17.38	36.79	8.65	14.35
HIST2H2BF	45.85	17.64	16.03	53.57	45.21	31.45	35.0	669.92	269.6	89.51	497.0	376.41	457.25	119.26	149.12
HIST2H3C	9.34	4.17	3.03	7.57	3.59	13.42	11.04	148.09	12.93	24.63	14.24	65.26	77.79	24.28	0.0
HIST3H2A	152.28	93.35	117.6	51.35	60.82	28.04	58.71	460.44	244.57	181.28	460.44	463.65	454.09	518.15	51.35
HOXA10	2.97	8.99	0.0	0.0	1.69	0.0	0.87	447.82	69.52	115.16	194.36	157.68	529.06	3.66	1.97
HOXA11	0.0	4.86	0.0	0.0	0.0	0.0	0.46	69.52	0.0	39.79	18.7	14.24	202.66	1.0	0.0
HSPA5	2018.8	1561.89	1572.76	1447.15	1127.35	1745.2	1781.89	7695.57	5006.93	7485.11	6037.61	4769.75	5954.47	10368.08	7280.4
IGSF5	0.55	0.0	0.0	0.0	1.43	0.99	0.0	8.38	4.94	3.2	0.92	3.92	1.6	1.58	7.11
ITM2B	10014.87	8963.45	9025.81	6079.61	5517.27	5831.91	6561.36	19348.38	13968.57	15824.9	13306.94	21919.61	16496.96	11909.94	17927.91
KDELR1	2895.31	2875.3	3124.78	2682.69	2855.44	2367.9	2255.7	7966.99	5329.3	4123.49	7589.61	9279.58	7642.41	8022.41	5479.15
KLHL35	9.48	5.02	6.94	3.53	2.63	11.21	0.95	325.29	39.5	35.25	95.34	232.94	149.12	171.45	46.5
LIPT2	55.89	56.68	31.67	24.63	41.81	35.25	33.78	457.25	98.04	85.82	111.99	159.9	120.94	171.45	161.02
LRRC8D	104.42	102.97	120.94	70.01	61.25	80.57	86.43	444.72	159.9	314.17	299.25	447.82	429.54	314.17	267.73
MCIDAS	0.0	0.0	6.26	1.99	0.0	0.0	0.0	108.9	11.47	13.83	92.05	55.89	67.59	23.42	74.06
MCM8	58.71	68.55	99.43	78.34	63.0	88.88	77.79	253.23	45.53	167.9	226.54	148.09	503.95	130.6	93.35
MFSD1	872.1	759.08	728.11	753.83	599.49	796.86	698.41	1427.22	759.08	1388.16	988.12	884.29	1059.11	1183.45	988.12
MLEC	819.3	896.64	591.22	674.59	723.08	909.17	796.86	3395.89	1417.35	1857.6	2384.37	4038.61	3212.66	1721.16	2209.26
MYL12B	6250.56	6164.49	6561.36	5995.9	5329.3	6699.25	6250.56	16960.78	7642.41	9740.98	10808.41	8134.41	8963.45	10225.32	10014.87
NCEH1	73.03	46.84	55.49	61.25	21.63	65.26	46.18	656.11	98.73	379.04	325.29	444.72	303.44	403.5	379.04
NCOA7	316.37	297.17	260.38	201.25	218.79	246.28	197.09	4298.64	420.68	1037.29	764.36	1388.16	1286.18	896.64	961.07
NFAM1	14.35	20.41	28.65	14.78	16.15	21.63	14.03	237.86	48.87	61.68	38.67	25.72	132.44	22.75	33.78
NHLRC1	16.75	27.84	8.13	13.42	23.93	26.86	21.47	177.53	36.01	39.22	55.1	65.26	136.19	75.64	32.59
NMB	130.6	36.27	100.13	69.52	63.89	100.83	63.89	316.37	149.12	183.82	277.2	155.5	381.68	167.9	71.0
NOMO2	836.53	669.92	638.15	616.37	684.02	660.68	518.15	1674.06	624.99	915.51	796.86	2777.33	1233.75	1794.29	1340.84
OIP5	4.78	3.11	6.06	12.36	1.77	8.92	4.94	275.28	32.36	97.36	55.1	175.07	258.57	155.5	52.08
PAK6	12.64	11.21	21.78	6.52	4.74	10.0	3.59	476.71	66.18	135.24	120.94	234.57	454.09	153.34	118.43
PAWR	332.14	323.03	583.07	500.46	291.04	346.29	384.34	1030.12	543.96	660.68	748.61	961.07	1001.93	334.46	417.77
PCGF1	536.45	423.61	438.59	283.05	336.79	376.41	450.94	738.29	616.37	466.88	579.04	708.18	743.43	466.88	361.04
PDIA3	5791.62	3564.78	3540.14	3060.45	2645.74	3589.58	3690.52	29943.43	7537.18	9876.98	9344.14	17078.76	29327.18	14663.09	14262.1
PDZD11	866.07	819.3	764.36	620.67	612.11	674.59	583.07	1233.75	1175.27	1498.22	1313.23	1819.35	1225.22	1477.58	1175.27
PGC	27.05	232.94	8046889.67	1634025.56	323.03	928.3	0.0	400098.69	1212874.47	229795.93	1916442.45	1.011504819E7	383800.28	5128124.01	5690009.96
PTPLAD1	389.72	429.54	351.14	327.56	249.73	444.72	289.02	2701.35	497.0	1066.48	1268.46	830.75	1709.26	2163.77	2384.37
RAB10	1208.34	1397.83	1259.69	1304.15	1143.1	1583.71	1250.98	2178.83	1127.35	1662.49	1437.15	1883.54	2075.59	1909.85	1806.78
RAB42	15.8	8.32	32.82	10.55	9.06	9.41	5.82	152.28	30.12	57.49	100.13	113.56	127.0	72.52	40.36
RP11-758M4.1	0.0	0.44	0.0	0.0	0.0	0.0	0.45	26.1	0.61	0.0	33.54	13.32	29.27	0.6	2.46
RPA3	497.0	281.09	332.14	279.14	454.09	381.68	348.71	1896.65	518.15	1088.92	954.43	1073.91	1259.69	525.39	518.15
RUVBL1	432.53	366.09	423.61	265.87	332.14	547.75	277.2	802.41	583.07	802.41	723.08	848.22	1135.2	961.07	480.04
S100A11	7485.11	5479.15	6121.9	3639.7	3589.58	4671.57	4066.71	28132.47	21320.18	28328.16	34158.52	18431.96	44452.21	18819.27	25530.66
SDC4	1529.73	1639.59	1605.83	1242.34	1135.2	1605.83	1697.45	23009.42	3614.55	3349.13	3639.7	4869.99	6652.97	3820.7	4358.66
SLC10A7	93.35	115.16	82.87	94.01	55.1	78.34	67.59	384.34	67.12	187.71	134.3	309.83	152.28	161.02	309.83
SLC39A7	1437.15	1066.48	1008.9	1250.98	1143.1	1268.46	1216.75	3665.02	2400.97	1651.0	2956.17	6294.04	2682.69	5219.6	3491.39
SLC50A1	329.84	366.09	417.77	287.01	444.72	447.82	277.2	2796.65	896.64	1030.12	1991.0	3257.52	1936.53	2555.58	2287.2
SLX4IP	20.86	14.89	7.75	11.21	3.17	18.16	13.62	89.51	16.51	41.81	47.84	61.25	122.64	92.05	36.27
SMIM6	0.0	0.0	137.14	51.71	0.0	5.68	0.0	2319.15	126.12	64.8	70.51	423.61	41.52	1313.23	3395.89
SPTY2D1	183.82	206.94	127.0	209.84	132.44	152.28	180.02	341.51	171.45	336.79	358.54	262.2	384.34	356.05	392.44
STIL	7.88	5.73	6.11	5.23	2.92	7.06	3.47	525.39	25.91	111.21	98.73	353.59	175.07	128.79	50.98
STT3A	1340.84	961.07	1044.52	1023.0	890.44	884.29	872.1	3690.52	1487.87	2047.0	2573.36	3847.29	2591.27	2335.28	3419.52
TMEM182	24.28	20.86	28.45	7.57	6.62	14.03	7.82	143.01	21.63	79.45	87.03	70.51	236.21	44.57	123.5
TMEM33	221.86	183.82	202.66	226.54	158.79	198.47	194.36	1104.13	414.87	612.11	775.05	842.36	775.05	830.75	543.96
TMEM38B	115.16	98.73	85.22	71.5	78.89	115.97	102.25	236.21	117.6	155.5	201.25	314.17	314.17	175.07	178.77
TMPO	409.15	373.81	376.41	358.54	297.17	343.89	318.57	1733.13	486.75	1015.93	1208.34	1605.83	1745.2	954.43	941.27
TMPRSS3	7.46	0.95	218.79	0.93	10.39	2.41	1.68	4010.71	353.59	92.05	1225.22	1508.65	928.3	1051.79	1605.83
TRIM11	312.0	264.03	273.37	287.01	320.8	291.04	234.57	753.83	348.71	441.64	536.45	830.75	854.13	603.67	454.09
TSEN54	208.38	320.8	368.65	303.44	392.44	329.84	228.13	1519.15	679.29	866.07	759.08	1259.69	866.07	884.29	669.92
TSPO2	0.0	0.0	0.0	0.0	0.0	3.26	2.18	74.06	4.82	0.59	18.16	164.42	8.06	77.25	14.35
TUFT1	180.02	209.84	198.47	234.57	205.5	136.19	211.31	583.07	253.23	361.04	314.17	341.51	447.82	348.71	285.03
XIAP	356.05	312.0	249.73	275.28	220.32	198.47	283.05	612.11	277.2	536.45	490.14	361.04	543.96	769.69	381.68
YIPF4	463.65	470.14	575.03	463.65	460.44	432.53	460.44	1008.9	521.76	884.29	514.56	571.05	848.22	878.17	647.07
YWHAG	1322.37	1340.84	1104.13	1233.75	1001.93	1397.83	1059.11	1721.16	1697.45	1540.37	1583.71	4903.87	2468.49	1295.13	842.36
ZC3H12A	285.03	138.1	307.69	183.82	146.03	187.71	195.72	6935.54	336.79	728.11	260.38	1208.34	379.04	269.6	934.76
ZIC5	1.45	0.0	0.0	0.0	1.48	1.48	0.0	18.43	1.64	0.0	24.99	58.71	35.0	36.53	0.0
ZNF687	287.01	336.79	353.59	334.46	356.05	353.59	297.17	813.63	454.09	454.09	525.39	748.61	967.76	674.59	470.14
