	GTEX.144GM.1326.SM.5LU5E	GTEX.11DXZ.0726.SM.5N9C4	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.WHPG.1426.SM.3NMBB	GTEX.ZY6K.0326.SM.5SIBB
GGH	6935.54	1322.37	214.27	748.61	878.17	173.85	2148.82	277.2	119.26	511.0
GHRL	3.23	40.07	22.43	64.8	38.4	43.02	256.78	9.93	35.76	109.66
GPR39	16.27	688.78	234.57	206.94	612.11	540.19	1088.92	163.28	181.28	223.41
GPR61	0.0	11.82	0.87	0.96	4.31	3.76	5.68	6.16	0.91	7.06
H2AFX	202.66	2319.15	279.14	728.11	669.92	414.87	1437.15	414.87	384.34	830.75
HECTD4	154.42	444.72	148.09	297.17	316.37	341.51	392.44	271.48	291.04	339.14
HMGN5	65.72	909.17	312.0	616.37	450.94	262.2	1757.34	173.85	84.63	480.04
HMMR	4.62	215.77	16.51	77.25	98.73	24.81	239.52	14.03	22.43	44.25
INCENP	48.52	450.94	97.36	232.94	265.87	143.01	607.87	95.34	128.79	166.73
KIAA1524	11.04	215.77	19.68	62.12	68.07	27.64	206.94	8.78	16.39	88.88
KIF20A	5.96	336.79	9.2	70.51	107.38	26.1	241.19	32.36	19.25	78.89
KIF20B	6.89	148.09	42.71	60.39	58.3	44.25	148.09	15.8	38.67	59.55
KIF23	10.16	470.14	23.42	107.38	178.77	23.93	435.55	31.67	30.78	68.55
KIF2C	4.98	320.8	5.5	87.03	96.68	15.8	267.73	27.44	21.78	60.82
LIG1	67.59	1030.12	161.02	423.61	470.14	241.19	698.41	208.38	271.48	358.54
LRRC20	167.9	395.18	236.21	303.44	182.55	105.89	490.14	143.01	275.28	329.84
LUC7L2	262.2	514.56	12.64	417.77	463.65	624.99	493.56	429.54	341.51	447.82
MELK	0.57	220.32	14.89	100.13	72.52	13.42	175.07	16.63	10.79	65.72
MND1	6.57	97.36	11.21	45.53	50.27	23.76	97.36	20.26	17.0	47.5
MTFR2	2.43	111.21	18.29	55.1	55.89	31.22	114.36	18.97	19.82	50.63
MYO5A	18.84	248.0	120.1	189.02	299.25	101.54	403.5	91.41	115.97	301.33
NCAPD2	19.11	1127.35	211.31	540.19	679.29	351.14	1417.35	249.73	244.57	341.51
NCAPG	3.47	170.25	7.88	50.98	60.82	11.38	131.51	12.45	9.06	49.56
NCAPH	5.68	236.21	15.56	150.17	100.13	23.59	279.14	25.35	22.1	100.83
NDUFA4	3928.15	4066.71	1674.06	4769.75	3564.78	2417.67	5872.48	1745.2	1950.0	4512.4
NEIL3	1.46	82.29	1.85	16.51	13.22	4.86	45.53	5.15	2.25	14.89
NEK2	6.57	169.07	6.84	54.33	63.89	20.56	163.28	15.56	16.27	39.79
NT5DC1	253.23	934.76	555.41	796.86	830.75	674.59	974.5	647.07	571.05	769.69
NUSAP1	126.12	915.51	35.5	277.2	414.87	97.36	854.13	92.05	36.79	281.09
OIP5	3.17	175.07	16.63	84.63	53.57	24.11	183.82	10.88	13.12	40.93
OLA1	1369.04	2148.82	1111.82	1991.0	1561.89	1159.07	2555.58	1104.13	1216.75	2090.03
PBK	3.11	202.66	7.4	85.82	127.0	11.55	234.57	23.08	10.24	60.39
PDCD6IP	1081.39	1457.23	1605.83	2090.03	2434.5	2061.24	3146.52	1378.57	1508.65	2502.97
PDHA1	2720.15	2555.58	1208.34	2816.11	1991.0	2178.83	3955.48	2133.97	1529.73	3303.0
PIR	126.12	759.08	521.76	638.15	674.59	660.68	2018.8	172.65	262.2	540.19
PKMYT1	24.63	642.59	26.67	228.13	208.38	48.18	395.18	38.95	44.57	193.01
PLK1	10.96	559.28	26.1	134.3	194.36	44.57	395.18	37.59	41.52	108.9
PLK4	3.2	180.02	22.75	71.0	62.12	40.36	147.06	24.11	29.7	68.07
POC1A	60.82	283.05	44.25	147.06	131.51	40.64	256.78	51.35	68.55	133.36
POLQ	0.0	73.03	1.45	24.99	10.31	2.05	38.67	6.41	2.23	24.63
PRC1	69.03	1073.91	32.36	356.05	423.61	60.39	1044.52	269.6	65.72	236.21
PRR11	4.94	540.19	28.45	149.12	260.38	46.5	559.28	32.59	48.87	96.01
PTTG1	43.02	2287.2	204.07	633.73	796.86	208.38	2163.77	511.0	198.47	521.76
RBM12B-AS1	0.0	24.46	1.41	2.39	3.82	1.23	14.35	4.78	5.87	10.16
RIPPLY3	1.07	73.54	8.45	14.14	18.97	31.22	62.56	0.0	2.63	3.92
RMI2	37.32	438.59	44.89	155.5	113.56	56.28	384.34	38.67	92.7	173.85
RPA1	693.58	1331.57	1304.15	1628.26	1216.75	1127.35	2384.37	660.68	748.61	1259.69
SAG	0.53	12.27	2.12	5.11	0.43	0.0	9.13	0.0	2.18	5.41
SAPCD2	0.91	172.65	13.72	52.08	23.93	14.45	117.6	5.59	9.48	40.64
SFTPA2	2.46	1970321.01	3134925.09	3940643.03	4851500.88	5163792.94	2729110.67	4079609.54	3313672.43	2493947.08
SGOL2	2.63	102.97	38.95	52.82	55.1	41.22	137.14	7.63	34.26	53.95
SLC25A5	6983.79	11345.82	10440.2	15180.22	11827.67	10440.2	19892.37	10808.41	7589.61	17804.06
SLC35F3	0.61	74.06	7.28	9.93	55.89	11.73	190.34	16.75	9.34	13.22
SMC1A	466.88	397.93	295.11	915.51	713.11	567.1	1909.85	389.72	429.54	521.76
SMC2	25.72	320.8	105.15	169.07	159.9	137.14	343.89	38.95	96.01	223.41
SNRPD3	1519.15	2935.74	1135.2	3372.43	2178.83	2090.03	3491.39	1605.83	1857.6	2555.58
SOHLH2	0.0	17.25	2.97	0.0	0.0	1.25	14.89	4.03	3.14	10.88
SPAG5	567.1	785.88	37.85	209.84	205.5	35.5	595.34	71.0	99.43	147.06
SPC24	10.79	293.07	14.89	108.14	102.25	21.01	228.13	36.01	16.88	85.82
SPC25	0.0	150.17	10.0	77.79	65.26	59.97	132.44	11.04	13.32	65.72
SPRR4	0.0	0.0	0.0	0.0	10.96	0.0	47.17	0.0	3.96	3.89
SRRM4	0.82	2.36	0.46	0.89	1.39	0.15	5.45	0.6	0.0	0.0
ST6GALNAC4	583.07	947.83	1277.29	2018.8	1359.57	723.08	3190.46	1096.5	1127.35	2090.03
TEKT5	0.43	23.25	2.53	5.54	7.46	7.57	17.38	0.61	1.97	6.84
TK1	102.97	3303.0	152.28	1111.82	759.08	148.09	1909.85	218.79	185.11	738.29
TMEM132A	31.45	358.54	87.65	248.0	164.42	214.27	289.02	175.07	161.02	175.07
TOP2A	18.29	988.12	20.71	325.29	426.57	44.89	909.17	63.45	56.28	289.02
TROAP	15.91	1008.9	6.46	131.51	209.84	36.01	395.18	32.82	37.59	100.13
TTK	1.22	217.27	4.13	44.57	45.21	14.35	154.42	10.96	6.73	31.67
UBE2T	17.9	540.19	108.14	279.14	256.78	89.51	536.45	66.65	45.85	228.13
WDR1	3443.31	3491.39	3589.58	6250.56	5594.3	4123.49	8363.13	4210.15	4450.27	5076.84
WDR76	12.36	242.88	62.56	182.55	117.6	105.15	368.65	27.05	33.06	172.65
ZWINT	12.64	1023.0	111.21	320.8	336.79	80.01	718.08	60.39	117.6	376.41
