	TCGA.DK.A1AB.01A.11R.A13Y.07	TCGA.ZF.A9RD.01A.11R.A42T.07	TCGA.DK.A6B2.01A.11R.A30C.07	TCGA.AZ.6605.11A.01R.1839.07	GTEX.OXRL.1426.SM.3NM9E	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.IG.A3I8.11A.11R.A24K.31
FOXF1	159.9	51.71	47.17	3690.52	1233.75	3303.0	4181.07
FOXF2	76.17	101.54	33.06	3325.99	1191.69	7695.57	15075.35
FOXP2	30.56	58.71	143.01	1119.56	395.18	309.83	490.14
FYCO1	265.87	130.6	334.46	4512.4	555.41	1073.91	1745.2
GID4	96.01	173.85	141.02	463.65	173.85	314.17	497.0
GJC1	93.35	148.09	120.1	5076.84	251.48	665.29	1781.89
GNAZ	43.94	7.88	16.03	1250.98	185.11	417.77	703.28
GREM1	1561.89	314.17	470.14	733.19	532.74	2777.33	1286.18
GYG1	1199.98	872.1	1277.29	31870.96	2163.77	5006.93	18052.61
HAND2	180.02	16.63	13.12	8840.04	1417.35	6381.92	6037.61
HDAC9	167.9	45.85	24.11	148.09	239.52	728.11	1709.26
HIPK4	2.94	0.95	0.35	98.04	8.25	18.56	52.45
HSPB6	620.67	269.6	325.29	66449.85	6207.38	6887.62	35363.15
HSPB7	435.55	43.02	65.72	13492.72	1127.35	7857.29	25708.25
HTR2A	2.94	0.32	2.32	19.53	9.41	31.45	10.55
HTR5A	0.0	0.0	0.0	16.27	1.27	0.0	0.0
ILK	2090.03	1286.18	2148.82	114897.47	7433.4	21172.91	72715.74
ITGA7	255.0	128.79	191.67	18431.96	1769.57	12764.83	25179.16
ITGA8	15.22	17.77	33.06	47.5	55.1	358.54	1295.13
ITGB1BP2	41.22	5.96	25.35	1183.45	141.02	1023.0	2855.44
ITPK1	656.11	567.1	567.1	2451.44	1745.2	5112.16	7857.29
KBTBD12	6.31	0.0	4.35	54.72	50.63	20.86	59.13
KCNA5	1.87	1.57	4.03	480.04	82.87	23.25	108.9
KCND3	189.02	8.13	14.67	341.51	55.49	571.05	486.75
KCNH2	54.33	9.13	22.43	9876.98	684.02	791.35	2193.99
KCNMA1	147.06	99.43	177.53	7081.29	1794.29	5517.27	7280.4
KCNMB1	123.5	14.45	17.13	11189.6	872.1	6381.92	14065.74
KCNQ4	11.55	2.84	3.72	825.0	201.25	547.75	1119.56
KIAA1644	40.64	30.56	10.0	1909.85	148.09	132.44	551.56
KIF1B	267.73	143.01	189.02	571.05	392.44	543.96	866.07
KIF1C	961.07	941.27	988.12	2855.44	1950.0	2816.11	3540.14
LIMS2	543.96	140.04	373.81	51775.15	4937.99	21468.49	42641.37
LMOD1	679.29	56.28	217.27	39237.98	4671.57	35118.87	59474.18
LPP	693.58	95.34	267.73	6983.79	1066.48	17197.56	18560.17
LRRC53	0.0	0.0	0.0	0.38	0.0	0.0	0.0
MAP4	2502.97	1242.34	1594.73	12676.65	3081.75	6471.02	8598.28
MARCH2	591.22	423.61	571.05	5954.47	1605.83	3982.99	5995.9
METTL24	34.02	1.27	23.42	954.43	95.34	190.34	293.07
MLTK	454.09	316.37	195.72	12502.12	1167.14	25708.25	30361.44
MOB2	563.18	486.75	595.34	9344.14	1909.85	2875.3	4268.94
MRGPRF	339.14	73.54	201.25	14867.79	1277.29	5954.47	21768.19
MRVI1	320.8	40.36	149.12	5672.41	836.53	7130.55	9409.14
MSANTD1	1.5	3.14	5.32	5.87	2.36	3.44	7.11
MTRF1L	141.02	253.23	187.71	397.93	373.81	358.54	532.74
MYH11	8658.09	381.68	426.57	925580.18	57448.23	336441.4	839981.65
MYL9	13492.72	3540.14	6516.03	1800541.22	78476.96	1070607.81	1916442.45
MYLK	2319.15	190.34	708.18	218912.29	16843.62	191899.64	294926.33
MYOCD	51.71	3.79	2.03	2004.85	368.65	753.83	1923.14
NACC2	132.44	103.69	68.55	3982.99	567.1	2434.5	4298.64
NCS1	457.25	246.28	157.68	39237.98	928.3	2502.97	5954.47
NEXN	559.28	239.52	185.11	8479.89	1030.12	10084.54	26614.89
NFIC	1191.69	212.78	271.48	5913.33	1427.22	2645.74	4358.66
NPTN	3847.29	967.76	1662.49	9740.98	4736.79	5006.93	7433.4
OSBPL5	244.57	79.45	215.77	1427.22	759.08	1295.13	1286.18
P2RY14	12.64	17.13	13.72	262.2	507.46	44.89	72.52
PALLD	4481.23	1151.06	1183.45	55491.3	7749.1	70727.3	85283.74
PCSK7	785.88	371.22	567.1	20170.07	2609.3	9740.98	20451.65
PDLIM3	2090.03	309.83	1023.0	27363.16	3928.15	34396.12	70727.3
PDLIM7	2555.58	2351.53	1233.75	221968.2	5403.7	33922.56	91404.92
PDZD4	56.68	14.35	16.39	1639.59	220.32	819.3	1923.14
PDZRN3	376.41	41.22	158.79	4181.07	1407.55	1388.16	2915.45
PDZRN4	121.79	1.58	6.01	3982.99	435.55	1819.35	1923.14
PGM5	264.03	47.5	61.25	21617.82	5006.93	8247.98	20310.37
PIP5K1C	403.5	248.0	334.46	4095.0	1037.29	3280.18	6426.31
PKD1	633.73	172.65	438.59	6381.92	2193.99	7230.1	13033.07
PLA2G5	95.34	10.63	46.5	1832.01	115.16	718.08	3018.3
PLCD4	35.0	63.89	14.78	7485.11	234.57	995.0	575.03
PLEKHO1	896.64	1322.37	1407.55	34158.52	3212.66	28328.16	60723.88
PLN	285.03	41.22	142.01	14361.31	2061.24	7180.15	15499.21
POLR2J2	25.91	183.82	133.36	1322.37	145.02	651.58	241.19
POPDC2	125.24	51.71	69.03	25354.3	1175.27	21026.65	6471.02
PPAPDC3	63.0	8.51	35.25	490.14	132.44	214.27	607.87
PPP1R12A	802.41	289.02	1259.69	11189.6	1369.04	14663.09	20030.74
PPP1R12B	785.88	163.28	271.48	24490.61	1991.0	23656.34	34158.52
PPP1R12C	1331.57	981.29	1639.59	18178.19	3794.3	14663.09	35118.87
PPP1R14A	279.14	244.57	220.32	35856.82	2271.4	32540.65	68318.04
PRDM6	86.43	5.06	6.11	379.04	71.5	22.92	52.08
PTCHD1	3.0	0.34	66.65	314.17	43.02	6.26	490.14
PTPLA	125.24	297.17	37.05	4328.55	480.04	738.29	1322.37
RAB23	454.09	120.1	186.4	10368.08	890.44	2032.85	6745.86
RAB9B	29.48	2.84	15.68	669.92	82.29	320.8	620.67
RAD51L3-RFFL	0.0	0.0	0.0	0.0	1.08	5.45	9.63
RAP1A	1651.0	961.07	1457.23	10733.74	3491.39	8840.04	15285.81
RASL11A	148.09	95.34	102.97	363.56	934.76	1498.22	1628.26
RBPMS2	212.78	31.67	38.4	13215.02	1388.16	6471.02	11504.21
RCAN2	287.01	50.98	97.36	679.29	305.55	1015.93	3443.31
REEP1	33.3	12.18	10.39	2502.97	447.82	1008.9	2148.82
REEP2	59.55	16.63	27.84	3212.66	198.47	1757.34	3742.05
RERE	633.73	211.31	848.22	2319.15	1350.18	1896.65	2627.46
RP11-122A3.2	100.13	135.24	30.12	4152.18	441.64	759.08	1143.1
RP11-131H24.4	0.0	0.0	0.0	43.94	7.11	1.71	70.51
RP11-182J1.16	6.31	16.75	8.71	57.89	15.91	130.6	66.18
RP11-514P8.7	0.0	0.0	2.01	12.45	2.71	15.0	15.68
RRAS	3280.18	1322.37	808.0	21768.19	5913.33	9740.98	23656.34
RSPO2	50.27	2.81	1.36	312.0	269.6	293.07	56.28
SBDS	2163.77	2224.63	1066.48	4066.71	4543.8	4066.71	7130.55
SBSPON	154.42	21.32	55.89	234.57	100.13	88.26	171.45
SCMH1	486.75	159.9	366.09	2451.44	1081.39	1991.0	2997.45
SDC3	595.34	260.38	438.59	10585.95	1037.29	1909.85	4328.55
SEPW1	17681.08	11584.24	17317.18	45072.75	17558.94	19348.38	29943.43
SGCA	202.66	29.7	27.25	1950.0	743.43	2367.9	7032.37
SH3BGR	273.37	40.07	161.02	2609.3	507.46	1175.27	7331.05
SIMC1	149.12	121.79	122.64	169.07	325.29	133.36	132.44
SLC2A4	16.27	5.32	3.38	10659.59	785.88	4575.41	8963.45
SLC8A2	169.07	4.7	43.32	2133.97	140.04	143.01	234.57
SLMAP	860.08	291.04	536.45	35609.13	3018.3	17927.91	43236.64
SMTN	1191.69	532.74	551.56	641014.63	9673.69	318292.9	1034138.94
SNX9	444.72	316.37	651.58	1059.11	1008.9	1008.9	1159.07
SORBS1	633.73	46.18	193.01	36106.23	2915.45	20593.91	27745.15
SPAM1	0.0	0.0	0.0	0.38	0.0	0.0	0.0
SPEG	1066.48	325.29	35.25	22535.88	1936.53	10585.95	18431.96
SPOP	607.87	647.07	633.73	17437.64	3190.46	4298.64	14971.21
SSC5D	262.2	24.11	150.17	2119.22	607.87	941.27	1572.76
STK40	486.75	305.55	579.04	1561.89	819.3	1119.56	2178.83
STON1	147.06	116.78	68.07	2240.11	575.03	2591.27	3146.52
SVIL	1457.23	336.79	595.34	77396.54	4066.71	25530.66	38164.99
SYNPO2	848.22	62.12	88.88	39237.98	3820.7	13033.07	35118.87
SYT11	103.69	55.89	87.65	693.58	248.0	563.18	769.69
TACR2	33.78	2.53	18.43	52497.92	1806.78	9540.5	10512.82
TAGLN	33224.42	5711.87	18950.18	3113270.58	117311.73	857631.47	1703415.74
TCP10	0.0	0.0	0.0	0.19	2.14	0.0	0.0
TEAD3	599.49	1225.22	1286.18	11992.79	1519.15	3716.2	7589.61
TECPR2	153.34	81.14	121.79	363.56	208.38	476.71	954.43
TEDDM1	0.0	0.0	0.0	0.77	0.73	0.4	0.0
TES	2075.59	1268.46	1819.35	16269.83	2816.11	4181.07	4736.79
TGFB1I1	1127.35	571.05	503.95	48982.22	3847.29	20310.37	42346.82
TMEM55A	212.78	93.35	62.56	1844.76	281.09	651.58	1066.48
TNFSF12	543.96	363.56	679.29	4481.23	1697.45	4736.79	6983.79
TP53INP2	206.94	163.28	264.03	1225.22	1359.57	1844.76	4152.18
TPM1	6079.61	3018.3	4769.75	535303.41	46019.85	789181.81	2201414.44
TPM2	9279.58	5751.61	4543.8	1063212.58	35363.15	706337.4	2392353.91
TRHR	0.0	0.0	0.0	1.97	0.0	0.26	0.31
TSPAN2	612.11	34.51	521.76	10883.59	872.1	2133.97	3491.39
TTLL11	63.45	103.69	77.25	1277.29	154.42	346.29	575.03
TUBA1A	4358.66	2240.11	2835.7	92680.9	7857.29	37379.55	122293.5
UPP2	0.0	0.0	0.0	0.61	0.27	0.65	0.0
VCL	1628.26	1030.12	2434.5	42937.97	4239.45	19618.49	30572.63
VIPR2	11.82	5.02	6.01	679.29	82.87	299.25	220.32
WDR1	5517.27	2739.08	4095.0	9474.59	5913.33	10659.59	14262.1
ZBTB47	150.17	45.53	146.03	1447.15	312.0	1417.35	2351.53
ZNF106	368.65	137.14	127.0	579.04	466.88	1870.53	2520.38
ZNF385D	22.59	19.53	30.56	124.37	16.39	1628.26	1023.0
