	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VP.A87J.01A.11R.A352.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.KK.A8IC.01A.11R.A36G.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.FL.A1YU.11A.11R.A32Y.07	GTEX.RWS6.1326.SM.47JXB
COLGALT2	47.84	39.22	0.0	0.44	12.64	8.45	15.56	35.0	61.25	14.45	142.01
COMMD8	363.56	406.31	0.0	0.0	209.84	171.45	287.01	185.11	444.72	260.38	366.09
COPS3	1073.91	1081.39	0.0	0.67	1044.52	483.38	769.69	866.07	1175.27	1175.27	1477.58
CYP2W1	181.28	61.25	0.0	0.14	1.75	2.86	2.97	4.62	10.39	1.91	20.41
DBF4B	72.52	189.02	0.0	0.57	82.29	78.34	105.89	43.63	215.77	208.38	237.86
DDX26B	228.13	371.22	101.54	135.24	15.11	63.45	52.08	13.83	255.0	253.23	223.41
DEGS2	1437.15	921.88	0.0	0.0	28.24	33.06	49.21	127.0	532.74	1023.0	688.78
DMKN	5995.9	15285.81	2502.97	802.41	104.42	967.76	915.51	120.94	2875.3	3372.43	4298.64
DNAAF3	46.84	78.34	0.0	0.0	21.47	30.56	21.94	27.64	246.28	356.05	271.48
DOPEY1	329.84	258.57	0.0	0.58	145.02	173.85	111.99	128.79	255.0	171.45	305.55
EBNA1BP2	1023.0	1388.16	0.0	0.0	1498.22	1437.15	1757.34	1561.89	1896.65	1651.0	1883.54
EDAR	54.72	58.71	0.0	0.0	1.11	78.34	0.92	24.63	169.07	43.63	444.72
ERF	723.08	791.35	0.0	0.44	647.07	559.28	995.0	361.04	1832.01	1388.16	1909.85
EXO5	98.73	167.9	0.0	0.0	167.9	123.5	100.83	98.04	167.9	171.45	191.67
EXOSC8	567.1	633.73	0.0	0.85	454.09	476.71	543.96	376.41	1119.56	967.76	1388.16
FAM186B	7.51	10.31	0.0	0.09	1.06	3.53	5.82	3.23	11.21	10.96	25.72
FAM27B	36.27	0.0	0.0	0.0	2.56	0.0	48.87	0.0	38.4	29.48	271.48
FOPNL	684.02	547.75	0.0	0.51	384.34	473.41	571.05	457.25	830.75	447.82	967.76
FZD3	33.54	52.45	25.17	26.86	97.36	17.9	64.8	92.7	158.79	108.9	493.56
GLTPD2	15.0	40.64	0.0	0.2	2.18	4.06	4.58	10.79	18.16	10.63	35.5
GPR1	119.26	177.53	0.0	0.04	2.78	1.55	3.29	2.32	6.26	9.06	23.59
GPR111	7.34	11.21	0.0	0.04	0.0	0.0	0.0	0.0	0.52	1.23	1.23
GPR182	0.68	3.86	0.0	0.06	0.36	0.37	3.32	0.97	5.15	2.46	5.54
GPR37L1	1.89	0.4	0.0	0.09	1.81	0.39	0.78	0.36	2.84	6.52	3.32
GPR39	70.51	73.54	0.0	0.21	1.53	5.15	5.02	5.68	143.01	53.57	72.52
GSTK1	4903.87	5594.3	0.0	1.06	2287.2	1143.1	3540.14	2816.11	5672.41	4836.35	4607.24
GSTP1	43537.38	48982.22	0.0	1.28	718.08	769.69	4607.24	559.28	16157.44	22225.61	23986.58
GZMK	14.78	86.43	0.0	0.21	10.96	3.17	48.52	7.82	140.04	59.13	194.36
HES5	23.93	29.06	0.0	0.0	0.0	0.0	3.23	0.0	4.86	31.0	8.65
HSCB	312.0	260.38	0.0	0.44	260.38	470.14	547.75	507.46	587.13	551.56	848.22
INPP1	1447.15	981.29	0.0	0.74	58.3	214.27	307.69	52.08	325.29	387.02	532.74
IRF8	251.48	271.48	0.0	0.46	40.07	17.9	91.41	16.39	426.57	444.72	497.0
ITGB3BP	307.69	358.54	0.0	0.09	332.14	403.5	332.14	264.03	674.59	612.11	842.36
ITIH2	0.92	0.0	0.0	0.0	1.95	0.38	3.03	0.35	35.76	18.97	45.21
JAK2	189.02	149.12	67.59	80.01	80.01	65.72	74.06	37.05	251.48	121.79	256.78
KDM2B	361.04	497.0	0.0	0.6	103.69	105.89	163.28	141.02	420.68	397.93	518.15
KIAA1549L	12.45	19.82	0.0	0.27	0.31	0.32	1.62	0.29	4.46	2.27	9.7
KIF26B	7.06	18.56	0.0	0.12	4.24	1.99	18.16	2.07	96.01	36.79	125.24
KLRC1	26.28	49.56	0.0	0.21	4.46	2.84	12.45	4.17	19.68	44.25	123.5
KLRC4-KLRK1	22.75	15.34	0.0	0.19	2.94	1.19	8.85	1.77	41.81	7.88	47.5
KLRK1	125.24	146.03	0.0	0.3	15.56	8.71	30.34	11.47	105.89	85.22	117.6
LCE1E	1.27	4.5	0.0	0.0	0.0	0.0	0.0	0.0	2.12	0.0	7.28
LEPRE1	279.14	417.77	0.0	0.68	748.61	454.09	511.0	679.29	954.43	1844.76	830.75
LHPP	603.67	708.18	0.0	0.41	312.0	242.88	470.14	511.0	656.11	848.22	1437.15
LIAS	142.01	283.05	0.0	0.06	125.24	131.51	164.42	115.16	232.94	185.11	316.37
LSM2	647.07	1350.18	0.0	0.75	674.59	896.64	791.35	890.44	1781.89	2178.83	3146.52
LY6G6C	559.28	392.44	0.0	0.66	1.77	1.43	2.25	0.0	10.88	4.46	13.32
M1AP	12.83	37.05	0.0	0.15	1.31	5.41	5.23	10.55	131.51	49.56	120.1
MAFB	532.74	860.08	312.0	547.75	167.9	229.72	275.28	131.51	351.14	320.8	612.11
MAP2K6	66.65	75.11	0.0	0.21	59.97	15.8	45.53	186.4	764.36	438.59	902.89
MCM3	559.28	860.08	2047.0	281.09	438.59	463.65	629.35	518.15	1819.35	1674.06	2351.53
MFAP5	414.87	1167.14	0.0	0.28	55.49	7.51	36.01	4.86	395.18	346.29	1378.57
MNS1	53.57	56.68	70.01	181.28	16.39	32.36	45.85	24.63	117.6	215.77	208.38
MPP1	220.32	343.89	0.0	0.83	460.44	307.69	312.0	447.82	500.46	332.14	629.35
MRPL10	603.67	909.17	0.0	0.51	571.05	642.59	974.5	679.29	1639.59	1008.9	1733.13
MRPL2	748.61	1304.15	0.0	0.79	941.27	967.76	1044.52	848.22	1529.73	1617.0	1883.54
MRPL4	1417.35	1991.0	0.0	0.66	974.5	599.49	1498.22	1498.22	2119.22	1572.76	2609.3
MSH6	353.59	198.47	0.0	0.71	318.57	371.22	412.0	320.8	995.0	595.34	1350.18
MSL2	244.57	218.79	244.57	169.07	173.85	232.94	318.57	183.82	409.15	339.14	493.56
MUC6	4.13103505E7	2.782734531E7	0.0	0.08	0.58	0.0	0.1	0.0	0.88	20.41	1457.23
NAB1	571.05	718.08	0.0	0.66	163.28	124.37	312.0	127.89	395.18	379.04	536.45
NDUFAF4	603.67	444.72	0.0	0.42	612.11	417.77	500.46	518.15	909.17	642.59	842.36
NDUFS4	1991.0	1883.54	0.0	0.88	1519.15	1233.75	1388.16	1508.65	1781.89	2075.59	3982.99
NINJ1	854.13	1073.91	0.0	0.44	791.35	1159.07	1447.15	1208.34	2701.35	995.0	2935.74
NME7	988.12	476.71	0.0	0.43	138.1	348.71	412.0	138.1	1208.34	819.3	1127.35
NT5C	1794.29	1963.57	0.0	0.93	693.58	1242.34	738.29	493.56	1963.57	1950.0	1950.0
NUDT7	94.67	112.77	0.0	0.06	66.18	67.12	140.04	71.5	166.73	142.01	237.86
NUP35	265.87	224.97	0.0	0.0	232.94	153.34	220.32	209.84	312.0	241.19	406.31
NUP54	547.75	543.96	0.0	0.77	656.11	409.15	536.45	361.04	780.44	718.08	921.88
NXT1	575.03	444.72	0.0	0.45	255.0	232.94	368.65	229.72	791.35	780.44	909.17
PAQR8	941.27	163.28	55.1	65.72	17.38	21.01	61.25	12.09	229.72	135.24	307.69
PCSK9	54.33	83.45	0.0	0.02	0.47	1.06	0.51	0.17	480.04	29.48	759.08
PFN1	9740.98	12589.08	0.0	0.78	11267.44	6652.97	11504.21	11424.74	28723.62	21172.91	19482.97
PGF	127.89	165.57	0.0	0.69	34.51	43.02	85.22	11.47	138.1	463.65	381.68
PIGU	285.03	476.71	0.0	0.37	595.34	490.14	450.94	571.05	1030.12	738.29	1104.13
PIWIL2	2.03	6.16	0.0	0.35	2.07	1.38	2.58	1.28	41.52	11.55	78.89
PLLP	1295.13	764.36	0.0	0.4	25.91	68.55	220.32	54.72	547.75	1008.9	591.22
PNPLA1	2.36	49.91	0.0	0.15	0.0	0.0	0.0	0.0	0.96	0.75	2.53
POU3F1	57.89	55.89	0.0	0.13	1.1	0.48	0.84	0.43	1.95	2.29	14.56
PPIH	591.22	1008.9	0.0	0.69	1191.69	921.88	1088.92	866.07	1427.22	1617.0	1417.35
PPIL1	373.81	473.41	0.0	0.0	406.31	638.15	395.18	432.53	813.63	660.68	909.17
PPP3CB	503.95	463.65	620.67	279.14	753.83	860.08	629.35	708.18	1023.0	669.92	921.88
PPRC1	974.5	769.69	0.0	0.1	447.82	269.6	579.04	444.72	780.44	759.08	733.19
PRMT3	201.25	226.54	0.0	0.3	157.68	146.03	199.85	154.42	291.04	232.94	356.05
PRTFDC1	101.54	115.16	0.0	0.25	23.25	36.01	61.68	11.91	409.15	420.68	1015.93
PSTK	95.34	92.7	0.0	0.29	128.79	51.71	62.56	138.1	323.03	150.17	400.71
PTF1A	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17	0.38	1.97
PTP4A1	954.43	1023.0	0.0	0.37	1977.24	753.83	872.1	529.06	3018.3	981.29	2777.33
PTX3	39.79	154.42	0.0	0.21	2.92	2.16	13.12	1.99	29.27	19.39	31.67
RAB33A	11.91	12.0	0.0	0.27	1.51	1.55	16.03	1.99	23.76	11.64	22.1
RABEPK	293.07	412.0	571.05	157.68	277.2	260.38	368.65	343.89	738.29	595.34	1066.48
RMND1	178.77	217.27	0.0	0.0	215.77	181.28	217.27	232.94	389.72	336.79	521.76
RNASEH2B	279.14	395.18	0.0	0.29	348.71	384.34	346.29	336.79	669.92	764.36	791.35
RP9	273.37	334.46	0.0	0.6	221.86	295.11	255.0	255.0	571.05	356.05	518.15
RPA2	457.25	656.11	0.0	0.3	703.28	915.51	521.76	540.19	1135.2	819.3	2384.37
RRP1B	255.0	283.05	358.54	218.79	231.32	248.0	258.57	275.28	460.44	301.33	460.44
RTTN	87.65	186.4	0.0	0.55	54.72	117.6	98.73	26.86	131.51	214.27	297.17
S100A4	2485.67	2468.49	0.0	0.89	785.88	575.03	1540.37	260.38	2895.31	2796.65	5555.65
SCLT1	68.07	82.87	0.0	0.39	62.56	59.13	80.57	52.82	155.5	158.79	150.17
SFT2D3	24.63	69.03	0.0	0.0	26.1	0.0	26.47	43.63	64.34	42.11	241.19
SHPK	244.57	314.17	0.0	0.39	183.82	127.0	127.0	177.53	231.32	148.09	170.25
SIRT5	139.07	258.57	0.0	0.0	178.77	241.19	201.25	244.57	371.22	356.05	490.14
SLC10A3	753.83	674.59	0.0	0.66	500.46	493.56	723.08	460.44	896.64	764.36	921.88
SLC27A3	842.36	651.58	0.0	0.0	332.14	353.59	384.34	161.02	915.51	961.07	551.56
SLC45A4	392.44	157.68	0.0	0.49	232.94	150.17	217.27	256.78	281.09	163.28	251.48
SNRPC	1359.57	2255.7	0.0	0.45	2178.83	2351.53	3146.52	2209.26	3690.52	3589.58	5147.73
SNRPD2	6037.61	6561.36	0.0	1.22	7130.55	7749.1	7803.01	6699.25	9673.69	11424.74	25179.16
SNX18	171.45	197.09	0.0	0.45	167.9	165.57	158.79	125.24	246.28	223.41	314.17
SOST	0.46	4.39	0.0	0.0	0.59	0.0	0.31	0.0	0.89	0.31	1.41
SOX18	339.14	312.0	0.0	0.39	33.3	105.89	208.38	17.25	543.96	500.46	791.35
SPDYC	4.39	0.0	0.0	0.14	0.0	0.0	0.0	0.0	5.11	0.61	13.03
STAT5A	301.33	307.69	299.25	121.79	105.15	123.5	287.01	124.37	543.96	299.25	343.89
STON2	251.48	332.14	0.0	0.67	22.59	10.96	17.64	23.08	20.86	56.28	74.58
STYX	173.85	172.65	131.51	312.0	152.28	113.56	198.47	141.02	189.02	153.34	314.17
SUMO2	4736.79	4481.23	6699.25	4972.34	4419.52	6887.62	6840.04	4419.52	10084.54	9025.81	10883.59
SUPT4H1	1721.16	1806.78	0.0	0.88	1769.57	2075.59	2061.24	1437.15	2739.08	2133.97	3589.58
TAF5L	305.55	351.14	0.0	0.22	267.73	244.57	271.48	195.72	397.93	187.71	307.69
TAX1BP3	4639.29	5292.48	0.0	0.87	1674.06	825.0	2384.37	1135.2	3820.7	5711.87	6381.92
TEX10	295.11	314.17	0.0	0.74	242.88	198.47	258.57	264.03	529.06	423.61	665.29
TEX11	18.43	3.66	0.0	0.1	0.28	0.29	0.3	0.0	2.89	0.64	4.62
TGS1	208.38	201.25	0.0	0.25	175.07	146.03	175.07	151.22	258.57	198.47	271.48
THAP11	651.58	599.49	444.72	395.18	409.15	242.88	466.88	376.41	830.75	733.19	1143.1
THEMIS	8.06	7.0	0.0	0.06	2.32	2.36	7.34	2.71	36.01	5.15	34.26
TMEM107	208.38	327.56	0.0	0.21	59.55	177.53	217.27	125.24	412.0	429.54	518.15
TMEM246	503.95	303.44	0.0	0.46	7.34	49.56	63.89	6.31	406.31	193.01	607.87
TNFRSF8	7.94	9.85	0.0	0.0	3.0	1.06	5.96	1.28	11.73	21.32	17.64
TOE1	204.07	198.47	0.0	0.0	121.79	124.37	181.28	147.06	218.79	242.88	318.57
TRIM22	693.58	1277.29	0.0	0.97	529.06	152.28	813.63	414.87	1457.23	1023.0	1437.15
TRIM65	264.03	334.46	0.0	0.56	197.09	258.57	226.54	327.56	579.04	373.81	543.96
TST	3690.52	1923.14	0.0	0.0	1216.75	961.07	802.41	1909.85	2895.31	2451.44	3212.66
UNK	366.09	543.96	0.0	0.64	273.37	486.75	287.01	414.87	733.19	555.41	961.07
USP1	346.29	265.87	0.0	0.51	262.2	267.73	334.46	283.05	607.87	406.31	665.29
UTP11L	808.0	836.53	1111.82	563.18	708.18	693.58	785.88	674.59	974.5	988.12	1233.75
WDR77	1127.35	1183.45	0.0	0.43	854.13	633.73	651.58	743.43	802.41	2682.69	1242.34
ZBED2	281.09	289.02	0.0	0.0	1.2	0.16	1.83	0.14	12.27	3.14	13.03
ZCCHC10	490.14	500.46	0.0	0.27	384.34	406.31	486.75	239.52	579.04	511.0	525.39
ZMYM6NB	325.29	379.04	0.0	0.68	559.28	638.15	1088.92	656.11	1427.22	1104.13	1662.49
ZNF319	76.71	129.69	0.0	0.19	75.11	137.14	113.56	120.94	291.04	145.02	334.46
ZNF703	361.04	392.44	100.83	921.88	723.08	764.36	836.53	255.0	2835.7	1286.18	3665.02
ZNF771	76.17	187.71	0.0	0.27	98.73	129.69	144.01	158.79	260.38	191.67	387.02
ZPLD1	0.0	0.0	0.0	0.1	0.0	0.0	0.3	0.0	2.03	0.32	3.35
