	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.KN.8435.11A.01R.2315.07	GTEX.147F4.2626.SM.5Q5CS	TCGA.CJ.5679.11A.01R.1541.07	TCGA.B8.4620.11A.01R.1758.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CZ.5465.11A.01R.1503.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.B0.5690.11A.01R.1541.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.5875.11A.01R.1592.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
C21orf33	1781.89	3768.09	5913.33	3372.43	3665.02	2701.35	7642.41	9088.59	2193.99	6983.79	6471.02	5366.37	8022.41	8022.41	4419.52	0.0	0.52
C3orf65	2.25	0.0	5.68	1.64	2.51	0.0	8.13	10.88	0.0	12.18	5.68	4.28	10.16	8.0	1.75	0.0	0.0
C9orf66	8.19	2.27	642.59	67.59	283.05	51.35	830.75	769.69	16.51	616.37	607.87	543.96	878.17	1015.93	191.67	0.0	0.0
CEMP1	132.44	232.94	251.48	109.66	119.26	104.42	285.03	303.44	15.8	198.47	164.42	204.07	387.02	339.14	166.73	0.0	0.13
CHDH	38.12	68.55	1135.2	279.14	529.06	332.14	1015.93	1304.15	269.6	1096.5	775.05	825.0	1457.23	2224.63	612.11	54.72	166.73
CHRNA4	0.0	0.0	50.98	23.59	15.0	16.27	44.57	92.05	0.0	75.64	27.05	39.22	74.06	100.13	45.21	0.0	0.04
CLEC18A	48.87	50.63	981.29	58.3	217.27	182.55	1104.13	2090.03	5.92	738.29	417.77	518.15	1605.83	1794.29	397.93	0.0	0.56
CLEC18B	118.43	291.04	1030.12	265.87	406.31	406.31	1143.1	2287.2	22.43	1369.04	583.07	571.05	1651.0	1697.45	890.44	0.0	0.59
COLEC11	19.11	8.51	529.06	460.44	511.0	518.15	791.35	1572.76	33.54	1183.45	587.13	514.56	733.19	1111.82	403.5	0.0	0.3
COX6A2	0.8	0.0	62.12	15.22	63.0	43.02	176.29	189.02	2.12	162.14	104.42	101.54	127.89	129.69	16.63	0.0	0.0
CPNE4	0.0	0.71	30.34	9.34	31.9	12.74	65.72	60.39	3.35	71.0	11.73	65.26	61.68	63.45	36.01	0.0	0.12
CREB3L3	0.0	0.45	40.07	1.46	28.04	6.26	43.94	85.82	0.36	65.72	30.78	36.01	96.68	43.94	23.25	0.0	0.0
CYP3A4	16.39	9.13	40.36	26.28	21.94	5.02	57.49	122.64	1.33	131.51	59.13	74.06	88.26	87.65	18.03	0.0	0.0
CYP3A7	2.78	1.53	75.11	43.32	52.08	18.7	143.01	197.09	9.2	228.13	115.97	167.9	214.27	211.31	40.64	0.0	0.0
CYP4A22	2.41	1.06	470.14	71.0	186.4	32.82	1250.98	2319.15	1.39	1340.84	728.11	323.03	1407.55	769.69	332.14	0.0	0.0
DAK	1819.35	2193.99	4066.71	1832.01	1519.15	1175.27	6121.9	6037.61	1277.29	6121.9	3515.68	5041.77	7180.15	7280.4	2739.08	0.0	0.43
DAO	0.0	0.0	1870.53	167.9	595.34	199.85	3103.19	3491.39	1.03	2468.49	1857.6	1963.57	3768.09	2701.35	476.71	0.0	0.0
DCXR	2240.11	4512.4	9474.59	2664.15	3874.05	1950.0	12676.65	20170.07	2485.67	13123.73	10512.82	10084.54	16157.44	14867.79	6607.01	0.0	0.13
DECR2	164.42	403.5	1216.75	397.93	460.44	454.09	981.29	1250.98	185.11	825.0	954.43	703.28	1651.0	1023.0	860.08	0.0	0.68
DHDH	16.88	7.82	595.34	37.59	141.02	47.84	872.1	1733.13	6.11	1268.46	500.46	476.71	547.75	1781.89	454.09	0.0	0.0
DNMT3L	0.0	0.0	81.71	42.71	87.03	26.28	170.25	426.57	0.0	356.05	177.53	267.73	389.72	289.02	75.64	0.0	0.03
DPF3	1.33	4.24	84.04	37.85	47.17	25.91	88.26	113.56	14.89	99.43	53.19	68.07	92.7	120.1	66.65	0.0	0.23
EPHX2	1104.13	921.88	4038.61	2090.03	1769.57	1268.46	4358.66	5041.77	2777.33	6250.56	3847.29	5183.54	6792.79	8022.41	3235.01	0.0	0.19
FAHD1	669.92	693.58	2133.97	848.22	1572.76	1313.23	2777.33	3928.15	583.07	2520.38	2351.53	2133.97	3257.52	2682.69	1639.59	444.72	1183.45
FAM151A	11.13	4.1	6887.62	813.63	1498.22	825.0	9025.81	11267.44	1.36	9279.58	2935.74	4210.15	16611.71	14163.58	1242.34	0.0	0.04
FBP1	41.22	195.72	8598.28	2367.9	3372.43	1794.29	11112.3	11827.67	1151.06	11035.54	6207.38	8479.89	13776.25	19082.0	4481.23	0.0	0.37
FCGRT	384.34	2758.13	6471.02	3768.09	3794.3	5995.9	7180.15	9088.59	2335.28	6207.38	4869.99	4607.24	7911.95	6792.79	4543.8	0.0	0.95
FGF8	0.0	0.0	0.0	1.07	0.36	0.0	3.32	2.51	0.0	3.53	0.82	1.17	3.0	2.29	0.71	0.0	0.07
FN3K	64.8	180.02	2367.9	802.41	1427.22	624.99	2664.15	2935.74	587.13	2796.65	1745.2	2400.97	3467.27	3146.52	1519.15	0.0	0.41
GALK1	309.83	813.63	1268.46	457.25	518.15	543.96	1175.27	1457.23	327.56	1088.92	775.05	884.29	1639.59	1051.79	759.08	0.0	0.64
GCDH	149.12	389.72	1259.69	563.18	575.03	363.56	1208.34	1529.73	323.03	1487.87	587.13	1073.91	1340.84	1963.57	769.69	0.0	0.13
GGACT	154.42	149.12	1467.37	329.84	507.46	198.47	2133.97	3060.45	120.94	1950.0	909.17	1127.35	3325.99	3103.19	780.44	0.0	0.0
GLYCTK	103.69	341.51	1331.57	295.11	497.0	305.55	1437.15	2090.03	98.04	1674.06	1304.15	995.0	1697.45	1832.01	723.08	0.0	0.55
GP5	0.55	1.69	4.24	0.56	3.23	1.17	2.56	4.58	0.34	2.34	2.03	3.11	6.73	8.32	1.77	0.0	0.0
GPS1	291.04	1437.15	2875.3	1709.26	1685.71	1685.71	2835.7	3540.14	1594.73	2855.44	2645.74	2351.53	3564.78	3103.19	2224.63	2796.65	1073.91
GPT	104.42	51.35	785.88	78.89	136.19	57.08	1806.78	1233.75	40.93	1819.35	323.03	981.29	1051.79	1745.2	633.73	0.0	0.58
GRAMD1B	0.19	0.56	170.25	28.24	107.38	44.25	283.05	318.57	40.36	348.71	125.24	209.84	387.02	281.09	81.71	15.45	48.87
GRHPR	1781.89	2720.15	5517.27	3257.52	3768.09	2997.45	8658.09	9740.98	2555.58	7749.1	5479.15	5147.73	9151.82	8718.32	5403.7	1769.57	98.73
GSTA2	4.03	0.0	3742.05	995.0	3039.3	713.11	11827.67	14561.8	5.82	15180.22	5672.41	6207.38	8078.22	14163.58	2400.97	0.0	0.0
HAAO	71.0	177.53	1561.89	503.95	703.28	698.41	2303.12	2645.74	220.32	3124.78	1183.45	1295.13	1685.71	2664.15	967.76	0.0	0.35
HAGH	1111.82	934.76	3847.29	1709.26	2319.15	1427.22	4152.18	5555.65	1340.84	4328.55	3325.99	3124.78	6164.49	4972.34	2319.15	1286.18	381.68
HEXIM2	248.0	206.94	414.87	301.33	277.2	205.5	551.56	486.75	226.54	587.13	435.55	507.46	466.88	450.94	353.59	0.0	0.0
HIBCH	1498.22	1159.07	2777.33	1259.69	1519.15	713.11	3768.09	4736.79	884.29	3874.05	2682.69	2224.63	4152.18	5479.15	1104.13	0.0	0.37
HOGA1	22.92	8.25	2335.28	769.69	1104.13	660.68	2434.5	2855.44	669.92	2351.53	1685.71	1936.53	2193.99	2319.15	1437.15	0.0	0.31
HPN	46.84	44.25	5366.37	1617.0	2468.49	2502.97	5954.47	6250.56	1540.37	6207.38	4181.07	4210.15	7180.15	7180.15	3665.02	0.0	0.35
HSD17B14	14.14	161.02	2573.36	258.57	842.36	353.59	2520.38	3325.99	95.34	2335.28	2255.7	1498.22	3901.01	2591.27	1191.69	0.0	0.4
HYKK	88.88	159.9	269.6	239.52	249.73	113.56	320.8	429.54	212.78	329.84	264.03	301.33	457.25	454.09	275.28	0.0	0.18
IDH3G	866.07	1519.15	1909.85	1437.15	1617.0	1268.46	2133.97	2271.4	1111.82	2240.11	1427.22	1794.29	2335.28	2434.5	1977.24	0.0	0.93
IDNK	237.86	444.72	995.0	551.56	836.53	323.03	1295.13	1745.2	403.5	1498.22	1066.48	1096.5	1437.15	1498.22	819.3	0.0	0.23
IGF2BP1	0.0	1.08	60.39	11.47	33.54	9.34	42.11	76.17	6.67	50.27	49.56	37.05	63.0	51.71	18.56	0.0	0.28
KCNAB2	46.18	144.01	579.04	157.68	265.87	205.5	514.56	693.58	38.95	563.18	435.55	329.84	981.29	1175.27	297.17	0.0	0.55
KHK	122.64	41.22	7589.61	1081.39	2555.58	1617.0	11189.6	14561.8	232.94	12329.98	7230.1	6983.79	16611.71	14461.21	4066.71	0.0	0.15
KRT6A	2.01760973986E9	2.41604469791E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.45	38.12	48.18	0.0	1.17
KRT85	1.5	0.13	5.02	1.0	3.29	0.0	4.1	8.51	0.66	5.54	1.22	3.96	6.06	6.94	2.48	0.0	0.0
LDHD	387.02	31.45	1651.0	301.33	480.04	309.83	2090.03	2591.27	376.41	2573.36	1487.87	1674.06	4066.71	2193.99	819.3	0.0	0.32
LIME1	169.07	165.57	2061.24	265.87	426.57	529.06	1594.73	2701.35	11.82	2148.82	1242.34	1001.93	2664.15	2148.82	813.63	0.0	0.68
LUZP2	0.84	40.93	3.14	3.44	1.77	0.77	3.26	7.75	0.33	6.46	2.81	6.89	4.78	7.06	1.73	0.0	0.0
MACROD1	684.02	1359.57	1896.65	551.56	961.07	540.19	2271.4	2935.74	595.34	1583.71	1417.35	1407.55	1572.76	1819.35	1044.52	0.0	0.62
MAPT	244.57	194.36	830.75	94.67	363.56	95.34	866.07	981.29	14.56	860.08	503.95	669.92	1304.15	1268.46	373.81	0.0	0.13
MCAT	490.14	507.46	764.36	483.38	521.76	463.65	698.41	791.35	395.18	753.83	599.49	679.29	954.43	830.75	665.29	0.0	0.0
MIOX	6.84	0.0	22072.07	1447.15	6887.62	1268.46	36864.92	35856.82	16.39	34876.28	14971.21	19754.96	45701.96	36357.37	8305.36	0.0	0.23
MLXIPL	305.55	1277.29	287.01	91.41	146.03	149.12	273.37	540.19	27.05	470.14	157.68	277.2	389.72	500.46	204.07	0.0	0.32
MOGAT3	0.0	0.0	13.93	3.35	2.58	1.6	34.26	50.98	0.0	31.67	9.06	11.82	27.44	51.71	13.93	0.0	0.03
MPI	1529.73	555.41	1208.34	974.5	819.3	775.05	1397.83	1340.84	819.3	1467.37	1111.82	1167.14	1583.71	1628.26	928.3	0.0	0.0
MPND	684.02	616.37	620.67	381.68	480.04	414.87	791.35	848.22	356.05	748.61	660.68	669.92	872.1	738.29	587.13	0.0	0.16
MPP1	46.5	105.89	1081.39	624.99	961.07	785.88	1427.22	1331.57	693.58	1322.37	954.43	1259.69	1498.22	1561.89	1044.52	0.0	0.83
MPV17L	33.54	81.71	223.41	151.22	183.82	106.63	181.28	283.05	92.7	293.07	115.97	152.28	224.97	301.33	217.27	0.0	0.14
MRPS2	753.83	1331.57	1277.29	748.61	974.5	921.88	1407.55	1487.87	921.88	1540.37	981.29	1437.15	1508.65	1519.15	1397.83	0.0	0.49
MSRA	156.59	117.6	2956.17	808.0	1605.83	633.73	3847.29	5441.3	323.03	4010.71	3103.19	2664.15	6745.86	5219.6	1806.78	0.0	0.55
MYO15B	224.97	656.11	3280.18	1159.07	1508.65	1030.12	2502.97	3443.31	173.85	2701.35	1733.13	1617.0	2855.44	4388.98	1340.84	1225.22	1923.14
NAGS	187.71	90.14	224.97	52.82	74.58	57.08	258.57	229.72	37.05	253.23	127.0	175.07	228.13	220.32	121.79	0.0	0.0
NQO2	1037.29	941.27	5594.3	1870.53	3690.52	1844.76	6079.61	11189.6	713.11	5831.91	5366.37	5041.77	9088.59	6840.04	2240.11	0.0	0.6
NR1I3	23.76	13.83	178.77	69.52	102.25	14.45	327.56	511.0	24.99	412.0	220.32	224.97	353.59	728.11	178.77	0.0	0.17
NUGGC	11.64	20.71	122.64	16.88	24.99	7.34	123.5	146.03	3.32	144.01	28.86	96.01	124.37	281.09	74.06	6.16	88.26
OCEL1	503.95	423.61	1427.22	830.75	902.89	713.11	1111.82	1697.45	660.68	1233.75	860.08	1059.11	1721.16	1143.1	1008.9	0.0	0.43
OXER1	22.1	76.71	111.99	117.6	79.45	72.52	204.07	248.0	14.35	293.07	112.77	289.02	214.27	381.68	115.97	0.0	0.38
PC	591.22	363.56	1909.85	476.71	575.03	356.05	2739.08	2591.27	246.28	3235.01	1697.45	1757.34	3325.99	3639.7	909.17	0.0	0.47
PCCA	134.3	1487.87	3190.46	2434.5	2520.38	1605.83	3515.68	4450.27	1477.58	3589.58	3372.43	3124.78	4671.57	4607.24	2451.44	0.0	0.64
PDK2	514.56	825.0	3467.27	1963.57	1963.57	1674.06	4095.0	4123.49	2104.58	4210.15	2682.69	3901.01	4419.52	4671.57	2997.45	0.0	0.0
PDXP	34.26	14.89	450.94	387.02	264.03	187.71	529.06	616.37	189.02	497.0	384.34	444.72	753.83	698.41	368.65	0.0	0.42
PHYH	91.41	140.04	2163.77	1896.65	3124.78	890.44	5441.3	7280.4	1208.34	5831.91	4038.61	4836.35	3901.01	5672.41	2915.45	0.0	0.34
PIPOX	5.15	14.35	2319.15	567.1	1023.0	346.29	3690.52	5954.47	5.68	3768.09	3168.41	2520.38	6164.49	5366.37	1519.15	0.0	0.17
PNPLA1	40.36	82.29	105.15	30.78	26.28	19.97	115.16	186.4	4.24	150.17	86.43	126.12	143.01	316.37	77.25	0.0	0.15
POLD3	208.38	88.26	429.54	325.29	336.79	229.72	603.67	1119.56	232.94	825.0	559.28	480.04	915.51	830.75	358.54	0.0	0.36
PPP1R16A	703.28	497.0	2451.44	713.11	1104.13	775.05	2163.77	2935.74	483.38	2537.92	1340.84	1923.14	2935.74	2367.9	1651.0	0.0	0.78
PRODH2	0.0	0.0	7382.04	603.67	1340.84	490.14	7032.37	9025.81	1.77	7130.55	3589.58	4869.99	11664.82	10368.08	1167.14	0.0	0.0
PXMP2	441.64	444.72	1639.59	759.08	890.44	629.35	2209.26	2915.45	728.11	2209.26	2255.7	1697.45	2520.38	1977.24	1199.98	0.0	0.06
QPRT	18.56	265.87	5219.6	769.69	2133.97	961.07	4388.98	5555.65	1059.11	4010.71	3794.3	3235.01	6471.02	5672.41	2335.28	1407.55	329.84
RAB11FIP3	39.22	181.28	4268.94	1208.34	2178.83	1268.46	4937.99	6840.04	830.75	4450.27	2502.97	3190.46	6207.38	6037.61	2434.5	0.0	0.89
RAB7L1	115.97	120.94	1883.54	579.04	1304.15	612.11	1605.83	2303.12	629.35	1733.13	1733.13	1242.34	2287.2	2537.92	1199.98	379.04	343.89
RASSF4	22.1	144.01	1794.29	603.67	1721.16	967.76	1769.57	2645.74	231.32	1037.29	1350.18	775.05	1883.54	1733.13	1159.07	0.0	0.77
RBP4	18.03	132.44	3103.19	27.64	1208.34	1397.83	5711.87	9409.14	96.68	8134.41	1572.76	6699.25	3614.55	9215.48	5041.77	0.0	0.06
RENBP	11.38	146.03	2319.15	242.88	693.58	432.53	2875.3	1857.6	90.14	2271.4	1417.35	1733.13	2976.74	2701.35	1111.82	201.25	329.84
RP11-192H23.4	30.12	34.02	249.73	37.59	104.42	49.21	267.73	329.84	3.82	314.17	82.87	189.02	397.93	665.29	133.36	0.0	0.89
RP4-583P15.14	128.79	0.0	1769.57	470.14	660.68	256.78	2701.35	4388.98	10.31	2976.74	1806.78	2163.77	2976.74	2451.44	607.87	0.0	0.0
RP4-583P15.15	41.22	16.15	120.1	61.68	24.81	17.25	100.83	185.11	8.0	182.55	74.06	140.04	176.29	162.14	48.87	0.0	0.75
RTKN	1008.9	902.89	2367.9	753.83	1104.13	848.22	2384.37	2502.97	660.68	2287.2	1331.57	1721.16	2468.49	2133.97	1447.15	0.0	0.66
SCLY	75.64	55.1	490.14	206.94	255.0	231.32	412.0	540.19	224.97	389.72	346.29	389.72	595.34	595.34	371.22	0.0	0.35
SFXN2	76.17	98.04	1407.55	500.46	629.35	384.34	2520.38	3303.0	336.79	2555.58	1151.06	1051.79	3212.66	3395.89	780.44	0.0	0.0
SHBG	3.96	28.04	154.42	37.32	50.63	23.08	115.97	183.82	11.73	165.57	113.56	112.77	206.94	212.78	42.11	0.0	0.01
SHMT1	1594.73	1081.39	7485.11	2032.85	2895.31	2351.53	8022.41	11345.82	2627.46	8479.89	6250.56	6207.38	11267.44	11827.67	4010.71	0.0	0.0
SLC25A34	7.75	12.64	128.79	69.03	74.06	31.9	185.11	212.78	70.51	165.57	79.45	88.26	218.79	135.24	107.38	0.0	0.58
SLC25A42	69.52	162.14	1096.5	269.6	476.71	244.57	1015.93	1498.22	182.55	1008.9	759.08	759.08	1832.01	1369.04	521.76	0.0	0.4
SLC25A45	49.56	93.35	176.29	118.43	112.77	95.34	149.12	223.41	29.7	285.03	166.73	83.45	185.11	218.79	131.51	51.35	567.1
SLC25A47	0.66	0.0	21.94	6.94	8.38	2.73	13.42	35.5	0.0	28.24	17.77	15.11	35.5	46.18	19.39	0.0	0.0
SLC26A3	3.26	0.27	1.41	0.0	0.73	0.0	5.5	7.94	0.0	6.21	2.43	1.17	2.63	2.29	0.36	0.0	0.02
SLC2A4RG	1447.15	2090.03	3124.78	1844.76	1242.34	1388.16	2664.15	3190.46	759.08	2956.17	2061.24	2701.35	2976.74	2976.74	2004.85	0.0	0.83
SLC30A8	0.0	0.0	29.06	5.19	8.85	6.89	128.79	218.79	2.94	157.68	73.03	99.43	164.42	93.35	37.59	0.0	0.0
SPAG5	332.14	138.1	629.35	138.1	312.0	96.01	775.05	995.0	21.32	848.22	265.87	656.11	1508.65	1594.73	395.18	0.0	0.74
SUSD3	12.18	120.94	693.58	237.86	376.41	339.14	1066.48	1447.15	86.43	981.29	669.92	583.07	1044.52	995.0	426.57	0.0	0.28
TCF24	0.0	0.0	14.45	7.06	16.51	20.11	44.89	22.43	0.97	48.87	6.84	30.78	26.86	15.45	6.62	0.0	0.0
TMEM150A	29.48	165.57	1001.93	417.77	575.03	470.14	915.51	1250.98	305.55	1015.93	909.17	669.92	1437.15	1313.23	713.11	521.76	890.44
TNNI3K	0.44	8.51	57.89	84.04	49.21	33.06	133.36	141.02	13.72	156.59	46.18	104.42	78.34	126.12	90.77	0.0	0.21
TRAP1	1745.2	1540.37	1991.0	1331.57	1369.04	1001.93	2303.12	2319.15	988.12	2367.9	1583.71	1721.16	3018.3	3103.19	1896.65	0.0	0.68
TRIM10	0.0	0.0	79.45	19.11	43.02	30.12	74.06	104.42	0.0	76.17	61.68	63.89	105.15	165.57	45.21	0.0	0.23
TRIM6	214.27	39.5	656.11	130.6	343.89	218.79	229.72	1233.75	69.03	1359.57	674.59	197.09	1519.15	1498.22	693.58	0.0	0.35
TRPM3	0.0	3.03	229.72	69.03	145.02	96.01	215.77	239.52	154.42	346.29	171.45	281.09	231.32	384.34	152.28	1.16	24.99
TSPAN33	283.05	660.68	3665.02	1651.0	2018.8	1697.45	3955.48	4298.64	3372.43	4543.8	3190.46	6699.25	7331.05	6792.79	3467.27	0.0	0.55
TTBK1	0.38	0.35	12.36	1.93	5.77	3.53	17.25	22.59	1.68	31.9	12.27	13.32	40.07	36.79	13.12	0.0	0.1
TTC36	5.59	7.46	185.11	32.82	76.71	38.4	281.09	454.09	10.79	389.72	151.22	212.78	293.07	392.44	115.16	0.0	0.0
TTPA	0.84	0.0	37.32	10.0	16.39	5.77	28.65	54.33	4.94	46.84	28.45	28.45	43.63	44.89	17.13	0.0	0.0
ZNF804B	0.0	0.0	19.25	7.75	10.96	1.91	13.22	22.43	0.0	28.45	17.9	13.32	16.03	34.51	6.89	0.0	0.0
ZNF814	70.51	346.29	389.72	348.71	346.29	226.54	551.56	507.46	198.47	607.87	336.79	426.57	708.18	563.18	406.31	0.0	0.74
