	TCGA.AR.A0TY.01A.12R.A115.07	GTEX.T6MO.1426.SM.4DM73	TCGA.2Z.A9JJ.01A.11R.A42S.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EM.A3AN.01A.11R.A206.07	TCGA.BJ.A0Z9.01A.11R.A10U.07	TCGA.DJ.A13V.01A.11R.A10U.07	GTEX.133LE.0326.SM.5P9G4	GTEX.13FH7.0126.SM.5KLZ1	GTEX.13N11.1026.SM.5K7XQ	GTEX.13NZ9.1126.SM.5MR37	GTEX.13U4I.0526.SM.5LU59	GTEX.11TT1.1126.SM.5P9GV	GTEX.Y8E4.0126.SM.4VBQ2	TCGA.AJ.A3BG.01A.11R.A19W.07	TCGA.BK.A13B.01A.51R.A22K.07
CLCN6	51.71	258.57	128.79	103.69	0.0	0.87	171.45	155.5	212.78	236.21	231.32	273.37	301.33	339.14	271.48	256.78	47.84	47.17
CLU	1472666.19	2729110.67	1085552.95	894051.48	0.0	1.25	672883.8	654483.73	938500.81	687022.54	736332.6	691801.16	154794.07	419990.32	1131651.83	453265.5	74243.68	355624.68
CORO2B	27.05	182.55	84.63	21.78	0.0	0.24	96.68	6.16	57.08	178.77	493.56	67.12	102.97	169.07	406.31	423.61	10.0	4.9
CPSF7	915.51	1151.06	819.3	693.58	0.0	0.87	1225.22	934.76	1498.22	1242.34	1216.75	1819.35	1594.73	2148.82	1037.29	2224.63	647.07	567.1
CRY2	229.72	579.04	299.25	303.44	0.0	0.41	460.44	314.17	435.55	616.37	684.02	1175.27	928.3	1159.07	872.1	878.17	223.41	246.28
CYTH3	120.1	642.59	314.17	267.73	0.0	0.71	307.69	226.54	285.03	941.27	1322.37	633.73	825.0	1331.57	974.5	507.46	32.82	59.13
DPY19L2	13.62	104.42	53.57	44.57	0.0	0.59	118.43	31.0	55.49	395.18	201.25	669.92	363.56	638.15	525.39	1583.71	7.57	17.77
ERO1LB	21.78	135.24	73.03	113.56	0.0	0.71	105.89	75.11	84.63	518.15	211.31	251.48	595.34	209.84	450.94	169.07	140.04	7.4
EVI2A	100.13	420.68	130.6	141.02	0.0	0.45	77.79	96.01	51.35	178.77	241.19	85.22	486.75	454.09	12.74	178.77	21.78	82.87
FAM21C	297.17	769.69	323.03	309.83	0.0	0.65	299.25	343.89	426.57	457.25	376.41	532.74	718.08	825.0	389.72	620.67	162.14	153.34
FBXL12	314.17	529.06	334.46	339.14	0.0	0.72	343.89	318.57	387.02	400.71	435.55	480.04	381.68	551.56	384.34	511.0	318.57	260.38
FLT3LG	55.49	669.92	279.14	228.13	0.0	0.43	224.97	366.09	336.79	258.57	194.36	334.46	775.05	547.75	159.9	368.65	134.3	71.0
FMNL3	211.31	269.6	134.3	642.59	195.72	307.69	753.83	237.86	642.59	743.43	511.0	511.0	974.5	775.05	660.68	525.39	35.0	85.22
GARNL3	34.26	120.94	85.82	112.77	0.0	0.26	99.43	63.45	146.03	180.02	149.12	325.29	353.59	343.89	186.4	497.0	22.92	51.35
GGT7	123.5	674.59	363.56	473.41	0.0	0.83	473.41	281.09	476.71	665.29	507.46	738.29	723.08	775.05	591.22	928.3	122.64	173.85
GIT2	334.46	423.61	312.0	486.75	0.0	0.59	466.88	417.77	406.31	728.11	540.19	616.37	941.27	693.58	551.56	703.28	120.94	217.27
GOLGA1	194.36	234.57	114.36	148.09	0.0	0.52	161.02	176.29	155.5	229.72	206.94	253.23	316.37	285.03	194.36	301.33	135.24	166.73
GOLGA8N	14.35	132.44	71.5	23.93	0.0	0.66	45.53	120.94	53.95	848.22	447.82	483.38	327.56	441.64	356.05	285.03	9.7	4.13
GP5	0.33	2.97	0.73	2.2	0.0	0.0	0.35	0.37	1.1	10.47	7.82	3.96	7.63	12.27	2.61	4.24	0.25	0.29
GPR135	17.51	41.22	16.03	18.84	0.0	0.29	41.22	13.42	33.3	40.64	45.21	85.22	43.02	67.12	48.18	72.52	3.23	5.63
GPR182	2.05	3.2	0.37	11.3	0.0	0.06	1.35	0.88	0.0	13.72	13.03	16.03	29.91	21.94	7.34	25.72	0.43	0.22
GSTK1	2997.45	24321.43	5041.77	3928.15	0.0	1.06	3589.58	4095.0	3325.99	6471.02	4181.07	4419.52	8305.36	6164.49	3955.48	5672.41	3103.19	3955.48
HBCBP	1.04	0.0	0.0	1.83	0.0	0.03	0.0	0.0	0.0	12.74	5.54	8.06	17.38	13.72	3.66	18.97	0.0	0.0
HCST	121.79	591.22	603.67	251.48	0.0	0.38	211.31	429.54	334.46	441.64	624.99	457.25	1331.57	1216.75	88.88	819.3	255.0	218.79
HEPACAM	0.24	2.63	0.37	0.0	0.0	0.0	0.0	0.0	0.0	2.18	5.5	1.35	2.14	1.91	1.45	1.62	0.0	0.0
HLA-DQA2	132.44	161.02	100.13	52.45	0.0	0.0	218.79	66.18	88.26	3.14	135.24	130.6	974.5	1208.34	50.27	679.29	0.39	155.5
HP1BP3	1268.46	3190.46	2090.03	1617.0	1561.89	2777.33	1437.15	1950.0	2163.77	2835.7	2758.13	3794.3	5292.48	4095.0	3419.52	3690.52	813.63	967.76
IFFO1	68.07	379.04	229.72	150.17	0.0	0.89	116.78	94.01	93.35	187.71	208.38	155.5	624.99	441.64	116.78	107.38	24.63	46.84
IGSF9B	6.73	16.39	44.89	22.59	0.0	0.57	24.99	85.82	32.36	125.24	183.82	218.79	183.82	132.44	110.43	336.79	7.28	4.28
IL23R	1.23	0.0	0.36	0.0	0.0	0.0	0.3	1.41	0.31	0.39	1.62	2.05	1.75	1.55	0.69	3.06	0.0	0.0
IPCEF1	12.36	21.47	11.13	13.93	0.0	0.38	47.5	19.68	17.64	547.75	583.07	551.56	329.84	373.81	571.05	287.01	1.58	6.26
ITM2A	287.01	2004.85	759.08	738.29	0.0	0.34	400.71	180.02	1030.12	1870.53	2434.5	3820.7	2520.38	2855.44	1540.37	1745.2	34.51	77.25
KCNIP3	8.85	486.75	126.12	113.56	0.0	0.64	361.04	97.36	202.66	1561.89	599.49	480.04	954.43	555.41	679.29	791.35	191.67	57.08
KIAA1432	112.77	176.29	104.42	146.03	0.0	0.64	124.37	148.09	152.28	162.14	209.84	221.86	267.73	223.41	156.59	249.73	37.05	71.0
KIF17	13.52	92.05	29.48	44.89	0.0	0.27	33.54	29.7	38.4	132.44	77.25	65.72	153.34	129.69	60.82	114.36	13.93	8.0
KLHL33	0.0	15.0	2.53	1.85	0.0	0.0	0.95	0.49	2.53	1.75	1.97	5.23	12.93	9.56	2.66	12.09	0.0	0.43
KLRC4	5.36	8.13	1.46	1.5	0.0	0.4	3.03	1.46	4.78	1.53	12.27	4.58	22.1	17.0	2.48	4.7	0.0	0.0
LCAT	66.65	426.57	271.48	279.14	0.0	1.11	351.14	248.0	291.04	454.09	379.04	493.56	738.29	698.41	303.44	884.29	16.75	36.79
MAP6	11.64	332.14	38.95	78.89	0.0	0.21	221.86	47.17	163.28	144.01	94.67	199.85	138.1	295.11	209.84	269.6	8.58	10.16
MARC1	490.14	295.11	86.43	92.7	0.0	0.33	1044.52	376.41	373.81	1191.69	995.0	1044.52	1498.22	915.51	1242.34	1277.29	262.2	334.46
MEF2BNB-MEF2B	108.14	205.5	255.0	79.45	0.0	0.56	123.5	71.0	171.45	173.85	186.4	232.94	466.88	341.51	159.9	332.14	120.94	96.01
MEOX2	29.06	53.19	0.37	2.2	31.0	166.73	45.53	5.45	54.33	119.26	100.13	70.51	212.78	269.6	96.01	166.73	0.0	0.0
MICA	212.78	493.56	483.38	457.25	0.0	0.57	688.78	651.58	483.38	450.94	518.15	356.05	559.28	884.29	525.39	1073.91	305.55	279.14
MMP21	0.38	2.03	0.38	0.0	0.0	0.15	0.89	0.92	0.0	4.66	3.66	5.96	7.57	3.44	2.68	9.56	0.0	0.72
MPZ	28.65	217.27	150.17	38.67	0.0	0.6	52.45	48.18	49.21	69.03	38.67	33.78	77.79	66.18	43.32	59.13	4.46	15.0
MS4A14	4.5	46.18	19.53	15.68	0.0	0.27	11.64	30.56	21.32	22.92	11.47	5.59	79.45	26.47	6.16	9.85	3.47	1.77
MSC	40.36	551.56	66.65	64.8	0.0	0.43	27.05	23.25	33.54	136.19	124.37	13.52	381.68	267.73	170.25	45.85	12.0	36.79
MTERFD2	397.93	848.22	521.76	536.45	0.0	0.53	642.59	583.07	543.96	808.0	1066.48	2148.82	1487.87	1457.23	802.41	1183.45	441.64	607.87
MTERFD3	279.14	426.57	212.78	161.02	152.28	135.24	713.11	150.17	414.87	497.0	356.05	769.69	607.87	775.05	309.83	1477.58	285.03	339.14
MYCBP2	486.75	532.74	463.65	420.68	0.0	0.82	406.31	547.75	361.04	591.22	915.51	651.58	1250.98	1023.0	579.04	629.35	106.63	194.36
MYO15A	6.31	28.24	45.85	25.35	0.0	0.37	64.34	13.32	69.03	66.18	40.07	77.25	47.17	123.5	84.04	197.09	24.81	14.03
NPIPA2	18.56	25.91	20.86	4.21	0.0	0.65	68.07	0.0	95.34	67.59	7.34	37.59	83.45	172.65	63.89	109.66	6.01	5.11
PABPC5	8.99	33.54	6.11	15.34	0.0	0.21	10.08	18.29	23.25	29.27	42.41	67.59	43.94	87.65	39.79	75.64	0.34	0.68
PAPOLG	173.85	163.28	79.45	134.3	136.19	66.18	277.2	130.6	275.28	287.01	251.48	514.56	392.44	423.61	305.55	414.87	60.82	96.68
PAX1	0.0	0.0	0.0	0.37	0.0	0.0	0.0	0.0	0.0	28.04	9.56	90.77	46.5	43.32	22.59	1.58	0.0	0.0
PKD1	297.17	941.27	728.11	414.87	0.0	1.17	392.44	547.75	525.39	738.29	836.53	599.49	1286.18	1001.93	603.67	988.12	543.96	334.46
PLA2G4C	412.0	147.06	73.54	283.05	0.0	0.27	126.12	78.89	177.53	231.32	279.14	212.78	1104.13	791.35	195.72	206.94	102.25	109.66
PPM1M	128.79	947.83	423.61	395.18	0.0	0.64	503.95	366.09	633.73	587.13	559.28	669.92	1397.83	1044.52	463.65	1059.11	199.85	432.53
PRDM2	258.57	607.87	279.14	353.59	163.28	217.27	423.61	325.29	470.14	540.19	514.56	647.07	808.0	909.17	480.04	559.28	157.68	182.55
PROX2	0.38	10.16	1.87	1.51	0.0	0.19	6.01	3.2	8.65	8.25	5.73	19.11	21.47	18.7	9.06	18.56	1.27	1.43
PTCH2	5.41	80.01	7.46	30.34	0.0	0.33	27.44	4.54	24.28	29.7	28.45	50.63	122.64	175.07	23.08	80.01	4.94	6.31
RAB9B	6.31	16.51	14.78	12.45	0.0	0.2	19.39	9.85	16.15	29.27	19.53	24.99	31.22	34.51	18.56	29.7	0.79	3.86
RABL2A	79.45	656.11	309.83	211.31	0.0	0.13	441.64	403.5	579.04	629.35	651.58	708.18	981.29	785.88	483.38	909.17	131.51	165.57
RAD51D	149.12	135.24	108.9	109.66	0.0	0.07	115.97	120.1	111.99	212.78	215.77	224.97	295.11	287.01	212.78	231.32	127.0	109.66
RNASEL	119.26	220.32	133.36	139.07	0.0	0.14	224.97	89.51	189.02	215.77	180.02	231.32	275.28	267.73	215.77	275.28	87.65	71.5
ROBO3	41.81	379.04	514.56	186.4	0.0	0.85	99.43	40.07	73.03	447.82	244.57	279.14	813.63	836.53	149.12	532.74	13.83	16.88
RP5-966M1.6	2.32	62.12	17.77	4.7	0.0	0.91	9.93	8.58	13.32	45.85	23.93	49.91	46.84	118.43	15.0	98.73	1.23	5.11
RUNX1T1	9.85	140.04	4.74	57.08	0.0	0.38	16.75	11.91	36.01	70.01	113.56	151.22	116.78	283.05	51.35	101.54	0.0	4.58
SCN3A	3.17	3.03	4.74	6.26	0.0	0.17	1.41	0.0	3.08	25.35	16.15	14.67	34.02	15.56	13.22	9.06	1.13	5.96
SHBG	0.99	31.0	7.22	18.7	0.0	0.01	12.64	6.73	18.03	29.7	15.0	18.43	16.03	50.98	9.34	28.24	10.96	3.47
SLC13A4	0.44	9.85	14.45	10.55	0.0	0.32	6.52	6.73	35.0	22.43	19.25	18.03	58.71	21.16	23.42	57.49	1.36	0.74
SLC17A7	11.21	20.26	1.83	7.46	0.0	0.36	6.31	0.0	10.55	39.79	13.22	29.06	66.18	65.72	21.01	37.32	2.53	0.68
SLC1A7	1.46	70.51	5.5	3.0	0.0	0.46	1.75	3.47	1.22	23.08	22.92	20.71	48.87	45.53	4.13	11.21	1.33	0.0
SLC25A27	5.32	476.71	255.0	161.02	0.0	1.06	470.14	244.57	473.41	303.44	343.89	1051.79	738.29	775.05	229.72	1519.15	32.59	115.97
SLC30A4	57.49	43.63	24.11	52.08	35.5	51.71	47.17	54.33	29.91	94.67	87.03	151.22	134.3	113.56	74.06	58.71	4.13	44.25
SLC41A3	723.08	1467.37	1088.92	1183.45	0.0	0.66	1015.93	733.19	1397.83	1037.29	1467.37	1551.09	1191.69	1870.53	1304.15	1909.85	571.05	738.29
SLFN11	130.6	463.65	66.65	435.55	0.0	0.71	316.37	176.29	242.88	808.0	395.18	511.0	1216.75	1183.45	819.3	808.0	15.91	368.65
SMOC2	115.16	1529.73	108.14	1135.2	0.0	0.47	104.42	43.94	63.45	981.29	1191.69	665.29	2271.4	2303.12	395.18	830.75	124.37	256.78
SNED1	57.89	1709.26	521.76	267.73	0.0	0.72	293.07	42.11	237.86	450.94	432.53	1096.5	651.58	1639.59	368.65	679.29	4.94	30.78
SNTB2	176.29	118.43	208.38	158.79	116.78	43.32	193.01	176.29	182.55	279.14	305.55	371.22	351.14	366.09	279.14	518.15	53.19	52.82
SOD3	111.99	2090.03	1781.89	2627.46	0.0	0.95	389.72	381.68	285.03	4543.8	3018.3	6207.38	5594.3	6840.04	2287.2	954.43	1529.73	190.34
SOGA1	198.47	194.36	109.66	183.82	0.0	0.59	155.5	189.02	239.52	379.04	341.51	392.44	607.87	301.33	346.29	265.87	141.02	96.68
SPATA2	204.07	144.01	189.02	165.57	144.01	255.0	172.65	167.9	209.84	283.05	251.48	387.02	389.72	323.03	366.09	262.2	126.12	142.01
SPATA25	5.96	47.84	13.32	4.17	0.0	0.53	18.56	14.24	25.54	39.79	53.57	83.45	44.57	71.5	32.13	89.51	3.06	3.08
SPECC1L	201.25	406.31	287.01	341.51	0.0	0.55	309.83	366.09	287.01	447.82	529.06	470.14	902.89	607.87	532.74	435.55	285.03	221.86
SPEF2	90.77	551.56	242.88	30.78	0.0	0.18	135.24	52.82	152.28	212.78	209.84	417.77	271.48	327.56	253.23	525.39	30.78	74.58
STAB2	2.23	10.39	4.39	7.4	0.0	0.0	0.0	3.82	0.0	8.45	8.58	10.08	79.45	61.68	4.58	78.34	1.3	0.0
STOX2	3.59	44.25	46.18	42.71	0.0	0.36	39.22	35.5	25.17	82.87	71.0	69.52	121.79	57.49	72.01	85.22	13.03	12.09
SUCNR1	8.45	0.95	4.66	90.77	0.0	0.04	31.22	14.14	50.27	105.15	51.71	92.05	223.41	143.01	77.79	135.24	1.35	0.97
SYCP2L	4.82	13.72	8.19	1.55	0.0	0.6	16.39	6.67	16.27	8.13	10.47	17.51	23.42	33.3	18.03	24.11	20.41	6.11
SYNE2	884.29	1950.0	1709.26	1605.83	248.0	318.57	1286.18	1191.69	1572.76	1991.0	1806.78	2032.85	3018.3	3018.3	2193.99	3039.3	500.46	591.22
SYNE3	10.16	21.16	28.04	19.39	0.0	0.36	16.63	24.46	13.93	29.48	51.35	36.79	127.89	63.89	32.13	18.97	1.53	2.46
SYT9	0.33	5.87	0.74	0.0	0.0	0.0	1.35	0.58	4.17	5.68	21.01	59.13	32.82	25.91	32.36	49.56	0.0	0.0
TBC1D4	279.14	1183.45	343.89	123.5	0.0	0.25	208.38	61.25	94.01	595.34	483.38	753.83	909.17	848.22	540.19	483.38	63.89	75.11
TDRD6	3.38	39.5	20.11	7.28	0.0	0.27	17.13	7.46	13.03	66.65	26.67	98.04	75.64	49.56	15.8	79.45	0.43	4.03
TMEM198	24.63	176.29	63.89	26.1	0.0	0.49	38.67	35.0	63.45	218.79	129.69	82.87	96.68	99.43	150.17	24.99	63.45	35.25
TRAPPC12	802.41	1781.89	1066.48	961.07	0.0	0.58	1508.65	1167.14	1651.0	1923.14	1407.55	2018.8	2090.03	2032.85	1709.26	2682.69	808.0	1674.06
TREML1	1.68	84.63	32.36	7.11	0.0	0.2	6.06	13.83	3.59	7.06	6.21	6.73	43.32	21.01	3.63	4.66	0.0	0.0
TRIM52	99.43	334.46	146.03	143.01	0.0	0.78	305.55	144.01	249.73	351.14	400.71	547.75	587.13	532.74	314.17	563.18	88.26	113.56
TTC14	406.31	559.28	387.02	146.03	0.0	0.91	579.04	363.56	679.29	555.41	457.25	1096.5	791.35	921.88	543.96	1051.79	129.69	287.01
TTN	0.39	3.79	2.23	1.16	0.0	0.18	4.62	1.2	3.72	3.2	7.46	6.94	14.89	7.57	2.41	6.62	0.54	0.58
TULP1	1.07	4.74	1.48	0.0	0.0	0.0	0.73	0.0	3.06	2.92	3.72	5.11	4.66	11.82	1.64	2.86	0.52	0.91
TVP23A	6.06	25.17	5.19	8.65	0.0	0.33	5.28	7.63	12.0	14.67	15.45	8.45	52.45	37.32	6.31	33.3	1.95	8.38
UBAP1L	19.82	98.73	22.1	21.01	0.0	0.68	66.65	26.1	42.41	59.13	90.14	109.66	120.94	122.64	59.13	226.54	12.93	12.0
UGT2B11	0.0	0.0	0.77	0.4	0.0	0.0	6.01	0.0	0.47	12.93	12.83	20.26	32.13	30.12	21.63	58.3	0.0	0.0
UNKL	189.02	665.29	224.97	144.01	0.0	0.73	258.57	253.23	432.53	366.09	514.56	551.56	384.34	854.13	361.04	723.08	406.31	120.94
WBP1L	490.14	1407.55	665.29	684.02	0.0	0.51	872.1	575.03	860.08	1378.57	1857.6	1594.73	872.1	1407.55	1407.55	854.13	279.14	429.54
ZBTB25	89.51	166.73	140.04	102.97	71.0	83.45	120.94	119.26	119.26	147.06	149.12	236.21	231.32	267.73	154.42	275.28	94.01	64.8
ZDHHC11B	16.75	76.17	26.28	8.45	0.0	0.72	24.81	2.81	18.56	33.78	56.28	128.79	190.34	164.42	69.52	220.32	0.64	0.68
ZMAT1	59.55	848.22	153.34	112.77	0.0	0.65	583.07	226.54	612.11	379.04	529.06	1081.39	497.0	896.64	543.96	1551.09	22.75	57.49
ZNF248	187.71	264.03	189.02	208.38	0.0	0.36	208.38	126.12	197.09	260.38	232.94	312.0	346.29	353.59	223.41	368.65	79.45	55.1
ZNF438	31.0	204.07	114.36	106.63	0.0	0.4	253.23	111.21	217.27	281.09	283.05	295.11	285.03	265.87	293.07	312.0	90.14	95.34
ZNF546	28.65	73.54	39.22	32.13	0.0	0.17	45.21	14.78	43.63	62.56	45.85	76.71	87.65	121.79	55.49	119.26	9.34	7.51
ZNF641	153.34	336.79	169.07	195.72	0.0	0.13	181.28	155.5	183.82	242.88	293.07	348.71	403.5	400.71	297.17	323.03	66.65	108.9
ZNF862	100.13	397.93	198.47	173.85	0.0	0.61	165.57	156.59	194.36	348.71	242.88	403.5	583.07	441.64	332.14	463.65	52.82	143.01
