	TCGA.GD.A3OP.11A.11R.A220.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.12696.1526.SM.5EGL6	GTEX.145MO.1526.SM.5QGQC	TCGA.AK.3447.01A.01R.1766.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
PACSIN2	764.36	1407.55	1340.84	1674.06	1806.78	1250.98	1745.2	1304.15	400.71	493.56	0.0	0.73
PAQR3	96.01	307.69	825.0	753.83	1467.37	460.44	579.04	215.77	74.06	38.95	0.0	0.51
PCDHAC2	2.34	29.91	65.72	63.0	217.27	5.68	28.04	1.53	0.67	1.95	0.0	0.0
PCYT1B	2.03	136.19	102.25	48.18	173.85	7.22	63.45	0.0	0.43	0.55	0.0	0.07
PELO	208.38	1111.82	1457.23	909.17	1277.29	392.44	521.76	201.25	244.57	256.78	0.0	0.47
PIGZ	173.85	275.28	215.77	180.02	199.85	167.9	463.65	34.51	70.01	73.03	0.0	0.43
PITPNM3	78.89	346.29	540.19	1015.93	947.83	234.57	954.43	0.8	2.14	11.91	24.11	97.36
PLCL1	47.17	275.28	1757.34	454.09	1991.0	92.05	397.93	63.0	3.5	4.35	0.0	0.06
PLN	218.79	14361.31	7180.15	10014.87	15499.21	2018.8	3212.66	27.64	31.0	33.78	0.0	0.39
PPP1R12A	460.44	11189.6	14663.09	6935.54	20030.74	2004.85	2417.67	94.67	87.65	120.1	423.61	753.83
PPP1R12B	420.68	24490.61	23656.34	12160.22	34158.52	3039.3	3372.43	100.13	42.41	49.91	0.0	0.38
PPP1R13B	587.13	384.34	775.05	366.09	429.54	490.14	480.04	47.5	176.29	201.25	0.0	0.72
PPP4R1	1331.57	785.88	1819.35	1427.22	1350.18	866.07	1008.9	149.12	249.73	214.27	860.08	154.42
PRDM8	48.18	389.72	830.75	1628.26	1498.22	514.56	336.79	0.41	3.82	3.53	392.44	473.41
PRKAR2B	107.38	258.57	2255.7	2367.9	2956.17	738.29	753.83	13.32	4.13	17.9	0.0	0.47
PRKCQ	18.97	15.68	123.5	79.45	379.04	10.55	106.63	0.39	5.77	2.53	0.0	0.18
PRR26	13.42	291.04	47.17	76.17	89.51	166.73	145.02	3.89	21.63	43.94	0.0	0.08
RAB11FIP3	379.04	1015.93	1417.35	2303.12	2018.8	1313.23	1277.29	186.4	373.81	305.55	0.0	0.89
RASL12	339.14	3540.14	13215.02	10808.41	19348.38	954.43	1697.45	9.85	13.83	24.11	0.0	0.56
RNF115	251.48	665.29	1388.16	1044.52	4038.61	575.03	802.41	112.77	157.68	134.3	0.0	0.26
RP11-766F14.2	0.34	1.04	9.78	0.04	31.45	0.0	3.5	0.0	0.0	0.0	0.0	0.0
RPRM	8.92	2090.03	43.94	34.51	110.43	175.07	669.92	0.0	0.0	0.0	0.0	0.04
SETD3	854.13	1427.22	2384.37	1359.57	3639.7	974.5	1175.27	941.27	575.03	540.19	0.0	0.71
SFMBT1	105.15	130.6	97.36	104.42	130.6	69.52	117.6	30.78	64.34	53.95	0.0	0.45
SH2D1A	21.94	7.63	72.52	5.41	267.73	1.64	21.78	3.44	14.89	6.36	0.0	0.1
SIPA1L2	432.53	669.92	1104.13	591.22	854.13	224.97	532.74	15.34	23.08	55.89	0.0	0.68
SLC27A6	5.73	25.35	1111.82	525.39	1519.15	136.19	177.53	0.0	0.0	0.6	0.0	0.0
SLMAP	995.0	35609.13	17927.91	4543.8	43236.64	2271.4	2451.44	334.46	191.67	178.77	0.0	0.32
SMTN	2720.15	641014.63	318292.9	93325.55	1034138.94	29124.6	35609.13	108.9	332.14	285.03	0.0	0.48
SP7	0.0	2.53	0.0	0.0	0.65	0.29	0.35	0.0	0.0	0.6	0.0	0.0
SYNPO2	860.08	39237.98	13033.07	12415.75	35118.87	3146.52	7382.04	4.28	37.85	33.3	0.0	0.43
TMEM163	48.18	42.71	16.39	9.2	7.75	24.11	68.55	147.06	3.17	4.82	0.0	0.0
TNN	0.68	7.34	6.16	4.54	6.26	1.39	5.28	1.53	2.58	6.73	0.0	0.0
TPM2	10733.74	1063212.58	706337.4	663619.99	2392353.91	147462.67	130165.62	164.42	1119.56	525.39	0.0	1.2
TSEN15	414.87	961.07	785.88	470.14	647.07	403.5	521.76	356.05	264.03	232.94	0.0	0.42
UBE4B	447.82	1088.92	1030.12	878.17	1191.69	500.46	738.29	32.36	287.01	307.69	0.0	0.71
UIMC1	435.55	854.13	808.0	583.07	693.58	693.58	728.11	131.51	299.25	155.5	267.73	397.93
USP4	780.44	902.89	842.36	1096.5	1044.52	941.27	1044.52	633.73	218.79	299.25	860.08	532.74
VCL	1135.2	42937.97	19618.49	21172.91	30572.63	4419.52	3540.14	318.57	208.38	151.22	1233.75	1909.85
VPS37A	454.09	775.05	813.63	753.83	941.27	536.45	599.49	447.82	202.66	256.78	0.0	0.56
WDR49	6.62	10.08	91.41	45.85	39.79	10.31	31.22	0.0	0.0	0.0	0.0	0.0
WWC3	251.48	423.61	503.95	796.86	780.44	599.49	693.58	63.0	62.12	49.56	66.18	63.89
XK	12.18	163.28	25.35	57.49	69.52	75.64	124.37	1.5	24.28	11.64	0.0	0.2
ZNF154	30.78	226.54	423.61	334.46	341.51	102.25	105.15	5.15	6.06	7.0	0.0	0.52
ZNF233	9.41	107.38	16.03	21.94	18.97	24.28	19.68	29.91	4.13	3.56	0.0	0.25
ZNF330	476.71	1437.15	854.13	1023.0	1104.13	753.83	718.08	480.04	559.28	842.36	0.0	0.72
ZNF337	258.57	521.76	514.56	728.11	450.94	698.41	647.07	34.51	105.15	87.03	0.0	0.82
ZSCAN18	836.53	2502.97	1044.52	2682.69	2935.74	3280.18	3395.89	341.51	87.65	220.32	0.0	0.92
