	TCGA.DK.AA71.01A.31R.A39I.07	TCGA.ZF.AA56.01A.31R.A39I.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.HM.A3JJ.11A.12R.A21T.07	GTEX.ZDTS.2726.SM.5L3E2	GTEX.Y3I4.1226.SM.4TT8N	GTEX.1497J.2726.SM.5SI9W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.68.A59J.01A.21R.A26W.07	TCGA.94.7557.01A.11R.2125.07	GTEX.13OVJ.2326.SM.5IJGA
HES1	13399.51	3146.52	17804.06	9540.5	759.08	698.41	2303.12	3349.13	507.46	1936.53	1745.2	1081.39	271.48
HIST2H2BE	603.67	297.17	1757.34	665.29	96.01	127.89	438.59	309.83	0.0	0.44	256.78	147.06	103.69
IGFL1	3874.05	466.88	7456151.83	492579.5	0.75	0.0	988.12	3168.41	0.0	0.0	27.05	71.5	11.55
IVL	2451.44	1259.69	7.49798696E7	4.247174256E7	3.0	2.61	6607.01	3515.68	0.0	0.38	995.0	39.5	0.0
KLF5	6250.56	5555.65	30151.71	20170.07	71.0	559.28	5954.47	5479.15	0.0	0.16	3540.14	595.34	79.45
KRT33A	277.2	4.5	329.84	368.65	0.0	0.0	8.38	5.02	0.0	0.0	0.0	0.0	0.0
KRT6A	3874.05	48307.85	2.01760973986E9	2.41604469791E9	68.55	0.0	496005.67	221968.2	0.0	1.17	81809.59	9344.14	6.21
KRT9	43.63	10.88	75.11	43.94	4.06	2.25	13.12	15.0	0.0	0.1	15.34	2.14	2.14
LLGL2	3039.3	1397.83	11035.54	5076.84	106.63	483.38	2777.33	2758.13	0.0	0.91	1143.1	961.07	314.17
LY6D	148488.36	80125.95	2.1503555688E8	6.17527469E7	78.34	14.56	52863.07	35609.13	0.0	0.0	507.46	1769.57	0.0
MAL	9409.14	65.72	2408994.05	938500.81	50.27	100.13	29736.59	27174.14	0.0	0.56	29.06	53.19	49.91
MFSD2A	1191.69	387.02	1143.1	1457.23	22.75	133.36	616.37	941.27	0.0	0.0	607.87	93.35	37.85
NRG2	85.22	8.71	371.22	483.38	8.92	7.46	70.51	72.52	0.0	0.05	5.06	4.17	45.21
PCP4L1	5041.77	293.07	3257.52	4419.52	61.25	215.77	753.83	384.34	0.0	0.23	77.25	48.18	6.06
PPFIA3	878.17	348.71	1044.52	954.43	118.43	171.45	460.44	376.41	0.0	0.34	228.13	57.08	53.57
PPFIBP2	2032.85	423.61	2384.37	2400.97	191.67	211.31	1119.56	753.83	0.0	0.62	299.25	368.65	231.32
PRSS27	1540.37	189.02	577714.63	226632.25	31.67	10.39	6381.92	4152.18	0.0	0.49	80.57	55.89	25.54
PSCA	62431.08	32767.0	450134.56	147462.67	1.06	0.0	6207.38	1350.18	0.0	0.22	133.36	65.72	6.89
PYCARD	2573.36	2319.15	9740.98	5711.87	412.0	457.25	1781.89	1378.57	0.0	0.33	1639.59	915.51	204.07
RAB11FIP4	529.06	429.54	616.37	511.0	7.69	50.63	201.25	209.84	0.0	0.3	217.27	164.42	51.35
RAB26	260.38	80.57	334.46	41.81	2.27	13.03	13.72	98.04	0.0	0.24	45.21	19.53	7.34
SDC1	46986.85	27553.49	39510.91	24832.5	28.24	473.41	10154.69	10084.54	780.44	1721.16	5791.62	4481.23	62.56
SDCBP2	4388.98	2193.99	44145.15	29124.6	239.52	262.2	4972.34	2720.15	0.0	0.67	1286.18	559.28	490.14
SERINC5	909.17	267.73	1233.75	466.88	56.28	63.0	563.18	258.57	0.0	0.19	327.56	142.01	43.63
SLC15A1	1295.13	107.38	860.08	616.37	0.88	5.11	144.01	96.01	0.0	0.18	77.25	15.45	1.99
SLC6A11	120.94	29.48	139.07	223.41	1.58	0.67	172.65	226.54	0.0	0.21	60.82	5.15	6.36
SLURP1	791.35	24.99	66912.05	116501.39	0.0	6.41	12502.12	3491.39	0.0	0.0	12.27	12.45	0.0
SREBF1	7382.04	2645.74	13215.02	3467.27	785.88	733.19	3124.78	3372.43	1551.09	2271.4	2400.97	3146.52	656.11
SUFU	450.94	197.09	713.11	303.44	194.36	85.82	159.9	258.57	0.0	0.39	136.19	198.47	83.45
TCHP	1350.18	285.03	830.75	1143.1	260.38	142.01	603.67	669.92	289.02	158.79	417.77	384.34	212.78
TLCD2	100.83	64.8	85.82	38.95	26.86	35.76	193.01	118.43	0.0	0.13	40.07	50.27	32.13
TMEM117	1242.34	193.01	1051.79	1127.35	126.12	111.21	283.05	224.97	0.0	0.56	145.02	146.03	35.0
TMEM79	1639.59	486.75	17317.18	11584.24	73.54	45.53	3419.52	2682.69	0.0	0.42	563.18	389.72	14.45
UBALD2	7433.4	2209.26	9088.59	4239.45	974.5	854.13	2895.31	2520.38	0.0	0.39	4639.29	1561.89	1697.45
UPK1A	9540.5	3124.78	16157.44	3928.15	1.35	0.0	22.1	44.89	0.0	0.21	1.25	6.89	2.05
UPK3B	26067.14	490.14	15392.14	974.5	5.73	1.16	1594.73	299.25	0.0	0.0	32.82	84.04	21.32
ZBTB7C	1175.27	387.02	14262.1	13872.08	69.52	24.46	599.49	1059.11	0.0	0.39	376.41	81.71	30.56
ZMYND8	1594.73	392.44	1572.76	928.3	199.85	113.56	642.59	723.08	214.27	228.13	353.59	579.04	163.28
ZNF185	2520.38	995.0	16843.62	16611.71	166.73	54.33	5913.33	5329.3	356.05	161.02	358.54	555.41	177.53
ZNF385A	3768.09	1551.09	13123.73	5831.91	312.0	476.71	2240.11	2758.13	503.95	836.53	1216.75	1081.39	175.07
ZSCAN1	115.97	3.89	60.39	127.0	2.61	2.01	4.03	1.5	0.0	0.0	2.92	3.56	0.96
