	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.G4.6298.01A.11R.1723.07	TCGA.NH.A50T.01A.11R.A28H.07	TCGA.G4.6311.01A.11R.1723.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.ZVP2.1626.SM.5GU5D	GTEX.YFCO.0826.SM.5LUAG	GTEX.11DXX.1326.SM.5GIDZ	GTEX.Y3IK.1426.SM.4YCES	GTEX.UJMC.1226.SM.4IHLI
EFCAB4B	2.05	108.9	2.41	112.77	0.0	0.54	169.07	80.01	94.01	246.28	103.69
ENTPD3	954.43	4.39	1.0	9.41	0.0	0.0	688.78	24.46	384.34	209.84	5.87
ENTPD5	180.02	190.34	98.73	223.41	0.0	0.49	2956.17	373.81	1498.22	1295.13	543.96
EXOC6B	684.02	76.17	84.63	114.36	108.9	251.48	273.37	138.1	199.85	353.59	92.05
FABP5	7991305.73	1685.71	8658.09	2816.11	4152.18	536.45	5183.54	3540.14	9409.14	12076.21	3419.52
FCGBP	13.83	0.95	11.73	438.59	0.0	0.16	1844.76	1088.92	12076.21	3564.78	202.66
FKBP1B	309.83	32.36	37.85	66.65	0.0	0.56	638.15	693.58	638.15	813.63	656.11
FOSL2	1896.65	551.56	532.74	1457.23	1233.75	432.53	3257.52	1844.76	2956.17	3372.43	1806.78
GALNT12	1030.12	473.41	473.41	341.51	0.0	0.19	1030.12	674.59	921.88	2061.24	607.87
GALR1	4.94	0.0	0.0	0.0	0.0	0.0	9.78	1.89	4.43	4.66	2.1
GBP3	890.44	112.77	130.6	392.44	0.0	0.46	1991.0	429.54	1259.69	3768.09	221.86
GCNT4	131.51	0.32	0.83	7.4	0.0	0.06	1066.48	698.41	536.45	872.1	77.25
GDPD2	32.59	0.0	13.93	34.51	0.0	0.0	309.83	100.83	283.05	269.6	81.71
GKN1	0.48	0.0	0.0	0.0	0.0	0.0	539026.74	83528.61	394590.4	437825.58	61571.56
GKN2	0.6	0.0	0.53	0.0	0.0	0.05	78476.96	31432.17	114897.47	185362.8	9151.82
GPD1L	234.57	212.78	473.41	307.69	0.0	0.29	1199.98	1030.12	884.29	1037.29	486.75
GPT	104.42	10.63	148.09	224.97	0.0	0.58	1081.39	567.1	1529.73	1540.37	842.36
HAPLN4	7.06	5.54	1.51	3.06	0.0	0.2	111.21	11.47	19.39	87.65	8.0
HIGD1A	8658.09	1259.69	1286.18	1313.23	0.0	0.64	4769.75	4704.07	4937.99	4123.49	2468.49
HK1	3716.2	1104.13	607.87	995.0	921.88	119.26	2032.85	1697.45	3212.66	2018.8	1259.69
HPGD	5076.84	19.82	104.42	273.37	0.0	0.61	26800.01	3146.52	10225.32	13123.73	1519.15
HPS1	348.71	884.29	921.88	769.69	0.0	0.68	2240.11	1397.83	2367.9	1769.57	1151.06
HSPB2-C11orf52	9.48	0.0	0.0	10.55	0.0	0.0	36.27	59.13	60.39	78.89	0.0
INO80C	2835.7	358.54	514.56	361.04	0.0	0.42	1191.69	866.07	1268.46	1135.2	713.11
INSC	0.13	13.52	18.84	7.88	0.0	0.05	536.45	12.55	131.51	197.09	24.99
JSRP1	17.77	13.42	10.63	16.88	0.0	0.52	974.5	139.07	303.44	43.63	95.34
KCNK10	154.42	0.0	2.05	5.73	0.0	0.0	82.29	38.12	112.77	139.07	37.59
KHNYN	381.68	764.36	514.56	718.08	0.0	0.91	2255.7	753.83	1111.82	1457.23	860.08
KLF4	5594.3	62.56	241.19	651.58	0.0	0.53	6516.03	2004.85	5479.15	5995.9	1135.2
KLHL3	17.38	63.89	4.43	61.68	17.77	60.82	165.57	38.95	82.87	129.69	76.71
KRT20	5.54	49.91	368.65	1508.65	0.0	0.15	43537.38	1359.57	42641.37	12853.63	204.07
LANCL3	242.88	4.43	16.39	9.63	0.0	0.06	33.54	4.46	25.54	40.07	22.1
LDHD	387.02	27.05	17.38	99.43	0.0	0.32	1096.5	785.88	1233.75	1870.53	825.0
LGALS9B	12853.63	4.62	37.85	29.06	0.0	0.05	3349.13	1081.39	1832.01	1857.6	543.96
LGALS9C	9025.81	1.46	84.63	117.6	0.0	0.14	5403.7	1111.82	2720.15	3847.29	1044.52
LGALSL	954.43	255.0	169.07	137.14	0.0	0.22	283.05	470.14	291.04	493.56	198.47
LNX1	1199.98	111.99	34.26	82.87	0.0	0.16	373.81	301.33	218.79	470.14	363.56
LRRC66	2.18	3.59	17.38	24.81	0.0	0.0	351.14	71.5	371.22	361.04	45.21
LRRFIP2	3018.3	486.75	591.22	500.46	0.0	0.73	988.12	848.22	872.1	674.59	738.29
LYST	305.55	107.38	56.28	158.79	0.0	0.68	373.81	341.51	373.81	603.67	223.41
MAB21L1	5.63	0.83	0.0	1.95	0.0	0.0	8.32	3.26	8.38	7.22	3.23
MGLL	5147.73	1059.11	353.59	1159.07	1143.1	1781.89	7695.57	1447.15	2739.08	2555.58	684.02
MIXL1	0.0	0.77	0.0	2.07	0.0	0.0	136.19	33.3	85.82	15.91	0.0
MSRA	156.59	157.68	156.59	177.53	0.0	0.55	389.72	387.02	363.56	785.88	323.03
MT-CO1	496005.67	207103.59	383800.28	360589.03	72213.45	277.2	2111737.85	1355129.16	1645391.11	1336472.68	1432396.03
MTMR10	198.47	149.12	166.73	167.9	0.0	0.58	974.5	624.99	669.92	934.76	361.04
MTMR8	55.89	18.56	13.12	31.22	0.0	0.15	68.07	33.3	51.35	128.79	8.0
MYO1A	6.21	454.09	392.44	145.02	0.0	0.0	1605.83	866.07	1674.06	2997.45	409.15
MYRFL	10.63	1.97	1.87	1.23	0.0	0.06	232.94	221.86	44.25	139.07	10.47
NEURL	0.0	2.53	10.24	17.9	0.0	0.31	353.59	91.41	503.95	193.01	43.32
NPAS1	109.66	17.13	2.84	9.85	0.0	0.13	186.4	95.34	191.67	153.34	128.79
OAT	1794.29	967.76	540.19	1159.07	0.0	1.06	1870.53	2303.12	1662.49	5672.41	1151.06
OBFC1	1844.76	518.15	316.37	318.57	0.0	0.61	896.64	693.58	915.51	733.19	703.28
OPTN	1340.84	974.5	429.54	1143.1	0.0	0.45	1651.0	1225.22	1794.29	1769.57	723.08
OSGIN1	281.09	76.71	36.79	104.42	0.0	0.69	1519.15	480.04	1977.24	412.0	429.54
OTUD1	114.36	87.65	77.25	167.9	59.97	107.38	909.17	397.93	536.45	417.77	223.41
PELI2	4.24	58.71	12.0	37.05	0.0	0.61	493.56	159.9	201.25	265.87	153.34
PHYKPL	275.28	507.46	890.44	612.11	0.0	1.03	1427.22	915.51	1467.37	1896.65	974.5
PLXNA2	277.2	218.79	135.24	162.14	0.0	0.79	1199.98	220.32	507.46	587.13	301.33
PMP2	3.0	0.32	0.0	0.8	0.0	0.0	5.19	5.45	5.73	9.56	4.66
POLD4	4937.99	3146.52	529.06	1870.53	0.0	0.91	8022.41	3081.75	6079.61	8538.88	3168.41
PPARGC1B	105.89	42.71	63.89	64.8	7.82	37.85	162.14	164.42	271.48	249.73	177.53
PRSS12	1216.75	11.55	22.59	36.27	0.0	0.13	872.1	119.26	444.72	624.99	75.64
PSAPL1	0.0	0.0	0.0	0.0	0.0	0.0	2855.44	327.56	1427.22	293.07	128.79
PTGER4	14.03	41.81	59.55	119.26	0.0	0.39	368.65	241.19	161.02	708.18	525.39
PTGR1	9344.14	743.43	718.08	387.02	0.0	1.03	14867.79	7749.1	12244.81	6745.86	4010.71
RAB30	60.82	72.01	31.0	108.9	0.0	0.39	511.0	146.03	307.69	202.66	123.5
RAB37	21.47	20.26	4.43	26.1	0.0	0.34	830.75	208.38	738.29	389.72	70.51
RAB4B	1447.15	796.86	441.64	780.44	0.0	0.68	2090.03	1096.5	1936.53	2075.59	1001.93
RAB6B	2.92	67.59	27.64	64.8	0.0	0.67	642.59	77.79	339.14	221.86	76.71
RALGPS1	231.32	206.94	214.27	117.6	0.0	0.57	884.29	450.94	595.34	738.29	429.54
RASSF5	6887.62	43.94	18.56	95.34	0.0	0.48	559.28	764.36	836.53	559.28	703.28
RDH12	4095.0	6.89	4.9	8.78	0.0	0.0	1477.58	454.09	1143.1	551.56	253.23
REP15	43.94	4.24	3.17	46.84	0.0	0.06	1277.29	595.34	1030.12	1508.65	397.93
RETSAT	2004.85	248.0	529.06	775.05	0.0	0.31	3614.55	2287.2	2855.44	2645.74	1757.34
RILP	110.43	81.14	241.19	120.1	0.0	0.35	1104.13	674.59	884.29	1119.56	638.15
RNASE1	1467.37	6121.9	1331.57	1617.0	0.0	0.92	88905.42	31215.04	59063.35	98646.85	21026.65
RNF152	7.22	8.78	5.11	12.64	0.0	0.54	285.03	466.88	246.28	414.87	173.85
RPTN	18819.27	0.0	0.34	0.0	0.0	0.0	18.29	3.96	9.85	9.63	0.0
RTCB	1233.75	748.61	1081.39	1437.15	2090.03	397.93	1721.16	1359.57	1628.26	1617.0	1529.73
S100A7	1.38765328462E9	6.41	74.06	5.73	0.0	0.54	0.0	15.11	90.77	0.0	79.45
SC5D	3982.99	297.17	260.38	497.0	0.0	0.37	389.72	1111.82	1508.65	1991.0	1044.52
SCIN	82.87	4.82	8.85	34.51	0.0	0.3	1519.15	551.56	1111.82	1417.35	208.38
SCNN1B	23986.58	38.12	0.92	104.42	0.0	0.43	4328.55	1135.2	3901.01	1605.83	1119.56
SCNN1G	24153.43	2.56	0.0	1.71	0.0	0.2	486.75	265.87	551.56	256.78	125.24
SCP2	4268.94	854.13	1111.82	1991.0	0.0	0.57	5183.54	6337.83	4869.99	12244.81	2627.46
SH3BGRL2	1721.16	395.18	206.94	384.34	314.17	460.44	1857.6	1561.89	1832.01	2720.15	1066.48
SIDT1	6.52	38.12	2.2	15.22	0.0	0.39	183.82	90.77	209.84	400.71	138.1
SLC12A6	7966.99	49.21	64.8	96.68	0.0	0.61	595.34	185.11	325.29	301.33	271.48
SLC5A5	26.1	0.28	0.27	0.27	0.0	0.06	4010.71	836.53	2335.28	1674.06	353.59
SMIM14	1662.49	92.05	85.82	318.57	1250.98	521.76	1127.35	2209.26	1769.57	2133.97	674.59
SMIM5	3349.13	48.52	12.74	152.28	0.0	0.39	819.3	353.59	500.46	748.61	198.47
SMPDL3A	708.18	10.71	15.45	147.06	0.0	0.61	1487.87	928.3	1322.37	1208.34	579.04
SNX24	764.36	81.71	105.15	115.16	368.65	253.23	595.34	567.1	543.96	1008.9	559.28
SPINK13	57.08	5.73	0.0	0.0	0.0	0.07	108.9	17.77	91.41	110.43	12.36
SPINK2	253.23	1.71	3.17	0.6	0.0	0.0	642.59	66.18	23.42	57.08	44.89
SPPL2A	753.83	264.03	218.79	536.45	0.0	0.57	1896.65	1359.57	1628.26	1733.13	1135.2
SPTSSB	7695.57	2.41	0.97	1.0	0.0	0.23	1519.15	679.29	2915.45	1757.34	334.46
ST6GALNAC1	1651.0	8.19	44.57	275.28	0.0	0.24	1685.71	2209.26	2163.77	3419.52	1832.01
STK17A	1159.07	154.42	145.02	258.57	808.0	120.1	733.19	432.53	521.76	397.93	287.01
STON2	1883.54	60.39	34.75	47.5	0.0	0.67	547.75	67.12	242.88	447.82	62.56
SULT1B1	1.93	1.01	21.16	67.59	0.0	0.21	974.5	483.38	830.75	1369.04	283.05
SULT1E1	647.07	0.84	1.31	2.07	0.0	0.48	1819.35	314.17	679.29	159.9	44.25
SYNJ2BP	191.67	182.55	127.0	123.5	0.0	0.27	575.03	403.5	587.13	785.88	466.88
SYTL4	68.07	180.02	136.19	336.79	0.0	0.74	1044.52	279.14	483.38	447.82	241.19
SYTL5	49.91	16.15	0.85	6.46	0.0	0.01	525.39	114.36	299.25	327.56	62.56
TAX1BP3	5555.65	1697.45	2875.3	1923.14	0.0	0.87	6983.79	5872.48	6935.54	6250.56	4038.61
TBC1D10A	3742.05	275.28	201.25	351.14	0.0	0.69	878.17	708.18	796.86	493.56	587.13
TBC1D22A	974.5	514.56	307.69	417.77	0.0	0.68	878.17	536.45	743.43	1008.9	684.02
TCP11L2	629.35	21.32	16.88	51.35	0.0	0.23	493.56	224.97	135.24	463.65	180.02
TEP1	90.77	514.56	236.21	368.65	0.0	0.96	1457.23	529.06	836.53	1397.83	457.25
TJP2	1427.22	878.17	674.59	1001.93	0.0	0.56	2627.46	1896.65	2224.63	2319.15	1417.35
TLE4	265.87	90.14	47.17	126.12	0.0	0.68	698.41	486.75	813.63	476.71	173.85
TLX1NB	0.0	0.0	0.0	0.0	0.0	0.0	7.34	0.65	3.2	5.54	0.0
TMEM220	15.0	28.24	7.34	57.49	0.0	0.37	842.36	764.36	95.34	981.29	208.38
TSPO	53601.03	2997.45	4450.27	4181.07	0.0	0.79	10659.59	8022.41	10585.95	16496.96	6983.79
TTC22	5041.77	22.43	17.13	208.38	143.01	587.13	1277.29	713.11	1277.29	1233.75	466.88
TTLL12	7537.18	353.59	1001.93	854.13	1832.01	182.55	1487.87	1427.22	2163.77	2090.03	1350.18
TUBA4A	42641.37	2148.82	1721.16	3614.55	0.0	0.87	3742.05	3018.3	8840.04	2240.11	2351.53
UGT1A4	34.75	0.0	1.16	2.01	0.0	0.0	32.59	18.84	49.21	19.53	8.58
UTS2B	1.33	0.37	2.16	1.6	0.0	0.0	22.26	7.11	5.32	7.82	5.15
VSIG2	90.77	24.46	0.0	140.04	0.0	0.31	12589.08	7911.95	9876.98	12676.65	9409.14
WASF2	624.99	633.73	688.78	995.0	371.22	423.61	1583.71	1286.18	1286.18	1111.82	1331.57
WSCD2	0.0	7.22	0.0	1.62	0.0	0.16	336.79	20.41	87.03	85.22	11.64
XK	178.77	107.38	102.97	78.34	0.0	0.2	679.29	152.28	267.73	500.46	214.27
ZDHHC3	1639.59	1806.78	1225.22	995.0	0.0	0.54	2835.7	1639.59	2997.45	2609.3	1651.0
ZFYVE1	403.5	148.09	91.41	159.9	0.0	0.44	387.02	197.09	209.84	325.29	212.78
ZNF57	325.29	88.26	190.34	195.72	0.0	0.17	314.17	329.84	293.07	212.78	305.55
