	TCGA.C5.A2LV.01A.11R.A18M.07	GTEX.P4QT.0626.SM.3NMCP	TCGA.F7.A61V.01A.11R.A28V.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.CV.7250.01A.11R.2016.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.VQ.A8PD.01A.11R.A414.31	TCGA.MX.A666.01A.11R.A31P.31	TCGA.MX.A5UG.01A.21R.A31P.31
C2orf88	13.83	124.37	5.92	13.42	92.05	9.06	0.0	0.28	215.77	85.82	127.89
C3orf55	0.0	36.79	13.03	8.65	271.48	28.04	0.0	0.57	44.57	43.63	54.72
CADPS2	55.49	119.26	91.41	38.95	291.04	29.27	0.0	0.65	361.04	248.0	521.76
CASKIN2	96.68	381.68	127.89	153.34	287.01	167.9	0.0	0.24	435.55	476.71	525.39
CDC42BPB	441.64	1594.73	642.59	1216.75	1457.23	848.22	0.0	0.89	2104.58	1540.37	2018.8
CFI	38.4	314.17	113.56	58.71	497.0	125.24	0.0	0.45	802.41	262.2	764.36
CHAMP1	138.1	170.25	361.04	195.72	361.04	152.28	0.0	0.02	518.15	981.29	507.46
CNNM2	50.27	76.17	74.06	96.68	111.21	29.48	0.0	0.04	187.71	202.66	194.36
CNPPD1	928.3	1605.83	629.35	1096.5	1447.15	466.88	0.0	0.25	1037.29	1167.14	1023.0
COL4A4	6.46	10.47	5.68	1.57	19.82	0.52	0.0	0.18	51.35	45.53	96.01
COX15	320.8	414.87	414.87	389.72	490.14	209.84	476.71	327.56	878.17	860.08	753.83
CTSS	743.43	1111.82	325.29	183.82	2400.97	121.79	0.0	0.28	4736.79	1561.89	3614.55
DHX30	470.14	1015.93	514.56	647.07	1008.9	447.82	848.22	314.17	1066.48	1331.57	1104.13
DIS3	279.14	409.15	336.79	327.56	450.94	195.72	264.03	110.43	507.46	651.58	450.94
ERBB2IP	299.25	473.41	183.82	327.56	665.29	289.02	0.0	0.64	1096.5	603.67	928.3
FAM179A	16.75	93.35	9.78	13.12	30.12	2.34	0.0	0.21	35.76	29.91	18.84
FAM208B	150.17	447.82	177.53	470.14	521.76	224.97	409.15	684.02	995.0	1051.79	866.07
FAM71D	3.76	0.46	0.47	4.17	8.85	2.07	0.0	0.0	11.21	13.22	3.03
FNDC3A	105.89	255.0	100.83	177.53	229.72	117.6	0.0	0.68	921.88	567.1	872.1
FYCO1	57.89	327.56	158.79	208.38	327.56	120.1	201.25	48.52	532.74	323.03	915.51
GALNT8	1.6	0.54	5.02	2.1	199.85	10.79	0.0	0.25	3.47	58.71	45.85
GBF1	215.77	660.68	395.18	551.56	583.07	255.0	0.0	0.92	1059.11	995.0	995.0
GCKR	0.99	211.31	0.82	16.51	51.35	1.27	0.0	0.39	253.23	72.52	31.22
GIT2	293.07	341.51	178.77	224.97	361.04	202.66	0.0	0.59	878.17	583.07	1037.29
GPAM	44.89	57.49	58.3	53.95	64.34	32.59	0.0	0.0	163.28	366.09	136.19
GPD1L	61.68	860.08	67.59	129.69	301.33	24.81	0.0	0.29	525.39	229.72	429.54
HEATR5B	52.08	295.11	133.36	151.22	237.86	86.43	0.0	0.27	426.57	470.14	341.51
HNF4G	0.0	69.52	0.67	0.0	22.92	9.34	0.0	0.01	620.67	285.03	642.59
IBTK	211.31	470.14	273.37	381.68	493.56	194.36	0.0	0.62	934.76	738.29	651.58
ICK	18.7	130.6	217.27	101.54	301.33	62.12	0.0	0.34	346.29	305.55	325.29
IDE	77.25	403.5	285.03	323.03	395.18	137.14	0.0	0.42	656.11	587.13	493.56
IL7	20.26	33.78	17.38	1.99	135.24	5.54	0.0	0.13	161.02	28.24	116.78
IL9R	3.03	3.99	3.44	4.74	11.04	3.06	0.0	0.01	28.65	21.01	30.78
KIAA0100	327.56	1225.22	830.75	796.86	1268.46	656.11	0.0	0.89	1806.78	2682.69	1721.16
LGALS4	2.36	641014.63	7.94	204.07	842.36	17.77	0.0	0.21	9606.86	7966.99	13681.08
MAP2K6	15.11	66.65	20.41	14.03	341.51	10.71	0.0	0.21	140.04	123.5	281.09
MARCH8	89.51	295.11	162.14	176.29	348.71	96.68	0.0	0.39	447.82	486.75	616.37
MARS2	49.21	167.9	72.01	152.28	256.78	30.34	0.0	0.0	146.03	291.04	150.17
MBD5	142.01	297.17	167.9	163.28	346.29	106.63	0.0	0.38	332.14	258.57	392.44
MIEF1	218.79	320.8	301.33	307.69	368.65	186.4	0.0	0.35	417.77	607.87	397.93
MYO5C	30.12	444.72	43.94	136.19	157.68	12.09	114.36	277.2	647.07	387.02	351.14
NAT1	41.81	165.57	110.43	52.45	214.27	67.12	0.0	0.0	236.21	130.6	234.57
NEU3	33.78	54.33	21.32	33.54	61.25	17.77	0.0	0.39	111.21	175.07	158.79
NFYC	708.18	728.11	988.12	928.3	1001.93	713.11	0.0	0.4	1143.1	1225.22	1104.13
NHEJ1	239.52	163.28	125.24	189.02	253.23	100.83	0.0	0.17	277.2	406.31	403.5
NPEPPS	486.75	4328.55	836.53	1216.75	2520.38	1088.92	0.0	0.73	1447.15	1583.71	1407.55
ONECUT3	0.0	1.773381898E7	0.0	0.36	1.55	2.07	0.0	0.0	134.3	5.06	3.35
P2RX3	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	2.48	14.14	4.1
PARP15	9.41	69.03	7.63	4.24	101.54	2.41	0.0	0.78	486.75	206.94	540.19
PCGF5	209.84	438.59	490.14	507.46	728.11	239.52	0.0	0.66	1167.14	753.83	796.86
PDCD6IP	1073.91	3955.48	1295.13	2193.99	3018.3	1832.01	0.0	1.07	4298.64	2777.33	3103.19
PDP2	14.89	73.54	34.51	63.0	77.25	33.54	0.0	0.0	115.97	163.28	101.54
PIWIL4	39.79	281.09	12.45	11.82	70.01	10.88	0.0	0.56	181.28	88.26	165.57
PLCB2	128.79	318.57	63.89	63.45	303.44	46.18	0.0	0.75	633.73	384.34	651.58
PLEKHA7	35.0	1369.04	166.73	371.22	633.73	67.12	0.0	0.55	669.92	616.37	540.19
PLLP	67.12	1295.13	186.4	177.53	660.68	45.53	0.0	0.4	665.29	785.88	503.95
PLS1	38.12	406.31	70.51	41.22	836.53	18.7	0.0	0.0	1066.48	241.19	785.88
PNRC2	928.3	1088.92	890.44	884.29	1417.35	540.19	0.0	0.21	1651.0	2573.36	1662.49
PPP1R14D	1.48	11.47	9.06	60.39	55.89	0.95	0.0	0.23	264.03	123.5	215.77
PROX1	0.62	8.06	5.02	4.43	32.13	0.8	0.0	0.3	20.26	34.51	88.88
PRR14L	96.01	251.48	185.11	171.45	297.17	149.12	182.55	148.09	435.55	309.83	417.77
PTPN18	291.04	1104.13	244.57	417.77	1208.34	316.37	0.0	0.44	1769.57	2255.7	1674.06
PTPRG	14.56	115.97	23.93	147.06	224.97	42.41	0.0	0.48	514.56	480.04	660.68
RAB37	11.38	172.65	16.03	9.7	32.36	3.99	0.0	0.34	118.43	186.4	209.84
RBM15B	220.32	547.75	309.83	400.71	563.18	283.05	0.0	0.38	457.25	563.18	624.99
REPIN1	212.78	1340.84	769.69	733.19	1477.58	253.23	0.0	0.97	2591.27	3716.2	3039.3
RP11-505K9.4	2.78	12.27	0.0	2.25	3.89	0.0	0.0	0.0	9.27	4.1	16.63
RUNDC1	118.43	208.38	145.02	167.9	341.51	139.07	147.06	186.4	312.0	387.02	309.83
RXFP4	0.0	2.68	0.0	0.69	4.46	0.0	0.0	0.0	1.55	11.38	4.58
SEMA3G	4.5	127.0	15.11	41.81	72.01	6.31	0.0	0.1	130.6	155.5	249.73
SESN1	131.51	497.0	264.03	143.01	295.11	77.79	0.0	0.25	909.17	775.05	665.29
SMARCC1	305.55	525.39	323.03	665.29	769.69	244.57	679.29	111.99	995.0	1407.55	1143.1
SMARCC2	273.37	1151.06	414.87	547.75	866.07	384.34	688.78	521.76	1331.57	1583.71	1417.35
SMPDL3A	85.82	420.68	104.42	132.44	389.72	110.43	0.0	0.61	299.25	265.87	579.04
SNRK	71.5	540.19	98.04	171.45	376.41	100.13	0.0	0.15	555.41	297.17	759.08
SPRY1	82.87	679.29	197.09	371.22	1001.93	141.02	0.0	0.52	1936.53	703.28	3443.31
STAT5A	202.66	301.33	144.01	102.25	529.06	52.45	299.25	121.79	830.75	460.44	884.29
SYT4	0.0	8.32	0.0	0.0	1.62	0.0	0.0	0.0	2.86	1.31	1.81
TEC	11.3	129.69	15.68	49.56	111.99	18.97	0.0	0.4	43.94	47.84	39.5
TMEM106A	18.84	26.28	18.43	18.7	97.36	49.21	0.0	0.38	204.07	255.0	199.85
TMEM220	13.32	104.42	36.53	58.3	134.3	33.3	0.0	0.37	90.14	132.44	133.36
TMEM62	99.43	432.53	283.05	190.34	429.54	125.24	0.0	0.72	547.75	518.15	417.77
TMEM98	70.51	1277.29	144.01	234.57	1457.23	173.85	0.0	0.74	995.0	2004.85	1651.0
TMIGD2	2.68	15.8	5.63	4.21	14.24	4.17	0.0	0.19	17.9	10.16	11.21
TRAF4	1015.93	1697.45	995.0	854.13	1963.57	902.89	0.0	0.31	1313.23	2502.97	1111.82
TTLL4	327.56	532.74	214.27	379.04	708.18	291.04	0.0	0.69	748.61	1709.26	591.22
URB1	63.0	116.78	69.03	190.34	190.34	120.1	0.0	0.37	228.13	358.54	241.19
URB2	37.59	142.01	100.83	131.51	248.0	50.63	0.0	0.0	209.84	323.03	162.14
USH1C	0.0	9088.59	0.0	0.0	49.56	5.02	0.0	0.12	1081.39	1183.45	1183.45
WDR11	299.25	629.35	392.44	480.04	532.74	246.28	0.0	0.67	878.17	921.88	830.75
WDR48	224.97	366.09	145.02	279.14	389.72	148.09	0.0	0.35	518.15	669.92	571.05
XPC	205.5	555.41	175.07	211.31	571.05	141.02	0.0	0.65	591.22	629.35	684.02
ZMYM4	140.04	281.09	226.54	277.2	307.69	173.85	0.0	0.56	525.39	684.02	486.75
ZNF124	15.56	95.34	55.1	38.4	91.41	11.64	0.0	0.32	169.07	232.94	195.72
ZNF321P	3.03	0.0	4.98	4.66	15.45	1.71	0.0	0.12	36.01	80.01	12.0
ZNF35	70.51	152.28	75.64	101.54	152.28	78.34	0.0	0.06	142.01	152.28	147.06
ZNF468	7.63	185.11	89.51	93.35	260.38	60.39	0.0	0.38	223.41	444.72	255.0
ZNF587B	46.5	164.42	88.26	37.05	109.66	37.85	0.0	0.09	348.71	389.72	237.86
ZNF69	8.45	327.56	8.71	8.85	83.45	5.32	0.0	0.27	176.29	151.22	214.27
ZSCAN16	54.72	130.6	63.0	58.71	103.69	16.27	0.0	0.37	102.97	157.68	122.64
