	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CR.6467.01A.11R.1873.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.62.A471.01A.12R.A24H.07	TCGA.56.A5DS.01A.11R.A27Q.07	TCGA.90.A4EE.01A.11R.A24Z.07	GTEX.13JVG.2926.SM.5J2N9	GTEX.13CF2.2426.SM.5LZYL
IGFLR1	78.34	387.02	612.11	183.82	0.0	0.54	665.29	387.02	1322.37	236.21	180.02
IKBIP	100.13	356.05	476.71	156.59	0.0	0.36	414.87	182.55	255.0	99.43	165.57
IL18BP	38.67	287.01	470.14	138.1	0.0	0.54	480.04	348.71	1225.22	119.26	75.11
INPP5E	85.22	236.21	363.56	95.34	0.0	0.66	157.68	150.17	253.23	138.1	141.02
IRF3	432.53	2255.7	3039.3	450.94	1685.71	507.46	1844.76	2319.15	2976.74	1561.89	896.64
ITFG2	234.57	848.22	836.53	392.44	0.0	0.21	679.29	665.29	1250.98	325.29	269.6
ITGAE	785.88	974.5	1378.57	543.96	0.0	0.52	2193.99	620.67	988.12	493.56	928.3
KHDC1	36.27	131.51	126.12	45.53	0.0	0.26	48.18	153.34	125.24	9.41	33.3
KIF23	13.83	660.68	819.3	17.77	0.0	0.49	493.56	368.65	332.14	63.45	100.83
L3MBTL1	43.63	368.65	289.02	28.65	0.0	0.92	209.84	165.57	253.23	103.69	25.17
MAP3K10	206.94	397.93	426.57	279.14	0.0	0.8	718.08	371.22	607.87	256.78	237.86
METTL25	102.25	143.01	105.15	88.88	0.0	0.0	140.04	108.14	117.6	45.85	68.55
MRPL13	866.07	1963.57	1936.53	808.0	0.0	0.37	1467.37	1151.06	1628.26	698.41	1583.71
MRPL18	1572.76	2720.15	2119.22	1447.15	2075.59	1304.15	2664.15	1709.26	2555.58	872.1	2367.9
MYO9B	156.59	1583.71	1508.65	371.22	0.0	0.61	1143.1	1498.22	2875.3	796.86	583.07
NDC1	108.9	514.56	444.72	111.99	0.0	0.23	307.69	275.28	205.5	143.01	167.9
NEURL4	217.27	595.34	587.13	273.37	0.0	0.87	775.05	327.56	642.59	293.07	269.6
NUP107	291.04	1073.91	819.3	208.38	0.0	0.65	743.43	493.56	941.27	180.02	248.0
ORC1	4.35	651.58	318.57	6.62	0.0	0.32	269.6	112.77	128.79	19.68	28.86
PARP15	71.0	70.01	71.0	6.89	0.0	0.78	90.14	147.06	165.57	10.88	17.51
PCED1A	77.79	656.11	1167.14	208.38	0.0	1.0	842.36	595.34	1066.48	256.78	171.45
PDRG1	348.71	848.22	796.86	351.14	0.0	0.58	684.02	612.11	536.45	234.57	441.64
PIGL	109.66	587.13	403.5	77.25	0.0	0.53	532.74	265.87	607.87	271.48	130.6
PMCH	0.0	25.72	13.83	0.0	0.0	0.0	9.13	11.04	14.56	0.0	0.0
POMZP3	429.54	323.03	395.18	205.5	0.0	0.49	708.18	389.72	454.09	98.04	316.37
PRC1	59.55	3212.66	2682.69	116.78	0.0	0.68	1508.65	1167.14	1674.06	305.55	460.44
PSMD3	2627.46	3589.58	3768.09	2367.9	2956.17	318.57	4038.61	3372.43	3639.7	1883.54	3515.68
PTGES3	4038.61	11267.44	6887.62	3443.31	0.0	0.71	6516.03	5255.91	7180.15	2609.3	4419.52
PTPN6	61.68	1030.12	2018.8	316.37	0.0	0.19	1819.35	1857.6	2209.26	647.07	291.04
RAD51C	387.02	599.49	1081.39	376.41	555.41	587.13	902.89	718.08	988.12	246.28	713.11
RAD54L	28.86	947.83	525.39	7.51	0.0	0.34	616.37	320.8	232.94	78.89	90.14
RCC1	138.1	2384.37	1832.01	189.02	0.0	0.05	1594.73	1015.93	748.61	295.11	318.57
RNF145	351.14	2335.28	3467.27	587.13	995.0	2271.4	2758.13	1233.75	1304.15	1015.93	665.29
RP11-192H23.4	2.58	49.91	98.73	8.99	0.0	0.89	114.36	34.75	105.89	18.7	13.93
RP11-500M8.7	651.58	361.04	665.29	0.0	0.0	0.47	587.13	237.86	507.46	86.43	1617.0
RSRC2	1277.29	2796.65	2178.83	1304.15	0.0	0.77	1697.45	1896.65	1529.73	921.88	1111.82
SIX5	89.51	1104.13	368.65	208.38	0.0	0.64	457.25	323.03	438.59	316.37	164.42
SLC10A5	4.82	10.96	9.78	4.13	0.0	0.04	12.36	7.75	4.74	3.66	7.51
SLC18B1	71.0	208.38	412.0	224.97	0.0	0.28	743.43	836.53	420.68	301.33	134.3
SLC7A9	2.32	44.57	22.1	0.0	0.0	0.36	38.4	8.71	8.58	0.0	0.25
SPATA9	4.78	15.56	10.88	8.78	0.0	0.22	16.39	9.27	7.63	3.26	1.69
SPEF1	0.0	26.86	13.72	2.34	0.0	0.0	29.7	53.57	13.32	8.13	1.83
SUPT4H1	1508.65	2303.12	2555.58	1674.06	0.0	0.88	2384.37	2367.9	2720.15	854.13	1159.07
SYCP3	0.67	65.26	15.56	0.97	0.0	0.27	15.68	4.46	15.34	3.0	3.5
SYNGR4	0.0	7.11	16.03	0.0	0.0	0.12	25.54	10.71	4.7	8.06	4.21
TARDBP	1909.85	4239.45	2895.31	1388.16	0.0	0.93	2720.15	2875.3	2520.38	2351.53	1991.0
TASP1	63.89	297.17	253.23	84.04	0.0	0.37	89.51	155.5	223.41	120.94	81.71
THAP1	314.17	343.89	162.14	199.85	0.0	0.0	157.68	150.17	109.66	51.71	124.37
TICRR	2.43	2178.83	164.42	1.75	0.0	0.66	102.25	140.04	96.68	38.95	38.12
TM2D2	540.19	738.29	1051.79	674.59	0.0	0.69	1059.11	1073.91	878.17	395.18	325.29
TMEM116	236.21	145.02	403.5	183.82	0.0	0.36	616.37	208.38	148.09	145.02	85.82
TMEM69	698.41	1417.35	1143.1	435.55	0.0	0.12	884.29	656.11	599.49	305.55	547.75
TMEM86B	35.5	71.0	228.13	48.87	0.0	0.64	246.28	159.9	170.25	77.79	69.03
TMPRSS3	1.11	5.63	1340.84	83.45	0.0	0.2	1199.98	63.0	34.75	11.3	2.29
TRAF5	28.86	339.14	186.4	82.87	0.0	0.77	211.31	346.29	507.46	155.5	56.28
TROAP	7.75	2319.15	1628.26	18.43	0.0	0.41	1369.04	738.29	1437.15	105.89	135.24
UBE2C	17.51	6037.61	5147.73	29.7	0.0	0.22	2163.77	1674.06	2796.65	334.46	480.04
UBE2T	327.56	1175.27	1250.98	149.12	0.0	0.13	1561.89	633.73	1551.09	142.01	902.89
UPF3B	126.12	780.44	406.31	129.69	0.0	0.71	403.5	329.84	329.84	167.9	177.53
WDR88	3.76	8.0	5.77	2.97	0.0	0.06	4.06	6.41	5.73	1.45	0.64
XRCC2	5.36	223.41	145.02	2.86	92.05	129.69	126.12	58.71	197.09	8.06	9.06
ZCCHC8	275.28	1015.93	555.41	229.72	0.0	0.55	642.59	497.0	493.56	417.77	423.61
ZNF146	775.05	1088.92	1745.2	738.29	0.0	0.79	1437.15	1295.13	1088.92	476.71	748.61
ZNF544	77.79	438.59	693.58	226.54	0.0	0.42	483.38	289.02	525.39	167.9	239.52
ZNF565	67.59	80.57	85.22	69.03	0.0	0.33	137.14	75.64	79.45	34.02	122.64
ZNF605	100.13	130.6	220.32	59.55	0.0	0.61	234.57	92.05	193.01	57.89	44.25
ZNF80	0.0	9.78	6.62	1.3	0.0	0.27	7.22	10.88	61.25	5.87	2.34
ZNF84	209.84	334.46	500.46	191.67	0.0	0.64	423.61	260.38	403.5	122.64	108.9
ZNF891	33.78	72.52	52.82	13.83	0.0	0.21	98.04	19.82	44.25	26.28	13.12
