	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CM.4751.01A.02R.1839.07	TCGA.A6.2684.11A.01R.A32Z.07	GTEX.S7SF.1926.SM.4AT5B	GTEX.S3XE.1126.SM.4AD4N	GTEX.P4PP.1426.SM.3NM9L	GTEX.YEC3.2426.SM.5IFJR	GTEX.U3ZM.1126.SM.4DXUB	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.DD.A4NG.01A.11R.A27V.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.3400.11A.01R.A32Z.07
CLCA1	0.0	0.61	723.08	2434.5	46339.95	11909.94	74243.68	55107.99	62431.08	0.0	0.0	0.0	0.0	0.0	1378.57
EPCAM	40062.48	68793.23	4268.94	8078.22	51417.5	34876.28	71219.26	30999.42	45701.96	1143.1	7.88	7.94	11424.74	248.0	10808.41
EXPH5	90.14	138.1	102.97	63.89	178.77	57.49	167.9	96.01	164.42	1.83	15.91	1.85	30.56	63.45	69.03
F2RL1	500.46	595.34	2664.15	603.67	3146.52	2255.7	5292.48	1733.13	3081.75	476.71	3.59	51.71	0.0	0.35	1407.55
FAM211A	52.82	63.0	154.42	559.28	1015.93	612.11	1183.45	571.05	775.05	25.91	7.75	2.81	0.0	0.16	438.59
FBXO32	532.74	299.25	1268.46	1066.48	1721.16	4481.23	1617.0	1794.29	1745.2	178.77	253.23	748.61	0.0	0.27	1477.58
FBXO34	395.18	460.44	633.73	647.07	915.51	780.44	1119.56	559.28	819.3	224.97	113.56	169.07	0.0	0.49	587.13
FFAR4	12.27	16.88	73.03	42.41	332.14	211.31	660.68	323.03	403.5	22.43	1.5	1.45	0.0	0.0	218.79
GALNT4	532.74	2739.08	135.24	148.09	493.56	329.84	638.15	356.05	371.22	64.8	27.05	51.71	0.0	0.25	217.27
GCG	0.0	1.43	13.62	131.51	1242.34	237.86	1369.04	1628.26	1407.55	0.0	0.0	0.0	0.0	0.09	291.04
GLRA2	6.84	39.5	5.87	6.73	71.5	34.26	1175.27	17.25	23.08	7.17	0.0	0.0	0.0	0.0	11.21
GP9	0.0	3.76	3.38	6.89	8.85	3.47	8.45	12.45	20.41	0.0	2.39	0.0	0.0	0.0	5.36
GPA33	4.39	3.06	2400.97	2047.0	20881.4	11584.24	21919.61	8305.36	12329.98	7.69	0.0	0.53	0.0	0.0	2133.97
GPR15	0.0	17.25	57.89	87.03	384.34	323.03	136.19	329.84	127.89	10.31	0.0	2.73	0.0	0.0	46.18
GSPT2	155.5	183.82	63.45	138.1	176.29	241.19	139.07	228.13	131.51	131.51	4.78	11.38	0.0	0.13	94.01
GUCA2A	0.0	0.0	297.17	5555.65	98646.85	69753.56	145432.49	10440.2	35118.87	0.0	3.47	0.0	0.0	0.0	4903.87
GUCY2C	0.4	0.17	141.02	260.38	1950.0	974.5	2502.97	1135.2	1977.24	2.23	0.0	0.0	0.0	0.05	241.19
HAND1	0.0	0.0	0.0	0.12	145.02	384.34	178.77	346.29	186.4	0.45	0.0	0.0	0.0	0.0	3.92
HEPH	221.86	212.78	1572.76	2018.8	2739.08	3716.2	3955.48	1745.2	2417.67	55.89	2.81	16.75	70.51	114.36	1909.85
HK2	103.69	148.09	420.68	438.59	2701.35	1498.22	2400.97	1037.29	1674.06	318.57	2.03	23.76	0.0	0.36	1119.56
HOXA13	748.61	928.3	262.2	450.94	679.29	1051.79	967.76	483.38	909.17	1.81	0.0	187.71	0.0	0.0	514.56
HSPA2	348.71	318.57	204.07	358.54	500.46	2193.99	1159.07	1233.75	728.11	108.14	13.42	295.11	0.0	0.62	796.86
IHH	463.65	3820.7	146.03	848.22	3081.75	988.12	2075.59	2163.77	3039.3	5.87	36.53	156.59	0.0	0.0	285.03
LGALS4	26.1	51.71	35856.82	119776.72	226632.25	102836.01	193234.41	137587.47	174152.51	7.75	3018.3	5831.91	0.0	0.21	46662.28
LYPD8	0.0	0.0	323.03	4575.41	66449.85	13776.25	60304.42	7130.55	25887.07	3.59	0.0	0.0	0.0	0.0	1143.1
MAST2	457.25	423.61	796.86	1498.22	1487.87	1059.11	1685.71	802.41	1745.2	309.83	273.37	140.04	0.0	0.82	836.53
MDM1	301.33	264.03	182.55	71.5	187.71	651.58	303.44	389.72	256.78	105.89	66.65	80.57	0.0	0.21	81.14
MEP1A	0.0	0.0	76.17	1304.15	10084.54	5872.48	17681.08	1991.0	7230.1	3.14	0.0	7.82	0.0	0.01	466.88
MUC2	1.31	68.55	1208.34	575.03	16496.96	23169.48	66912.05	15824.9	18689.27	0.0	0.0	0.0	0.0	0.13	3235.01
MUC5B	5.923719433E7	3.066309426E7	476.71	228.13	6294.04	2682.69	4512.4	4903.87	7280.4	3.66	0.0	1.3	0.0	0.0	2777.33
NANS	2119.22	2682.69	1896.65	3639.7	6607.01	4512.4	7485.11	5479.15	8134.41	1583.71	1199.98	1088.92	0.0	0.49	6294.04
NOX1	7.28	2.29	232.94	397.93	3540.14	1066.48	2935.74	2384.37	2758.13	1.81	0.43	0.54	0.0	0.18	848.22
NPY2R	6.89	38.67	1.06	0.61	8.32	25.72	47.17	3.63	9.93	0.44	0.0	0.0	0.0	0.0	5.15
NXPE1	0.11	0.62	314.17	703.28	6887.62	2935.74	7966.99	4543.8	8658.09	0.89	0.0	0.0	0.0	0.0	688.78
NXPE2	3.03	0.24	51.35	95.34	624.99	150.17	316.37	237.86	346.29	0.0	0.0	0.45	0.0	0.08	57.08
NXPE4	0.38	2.97	181.28	1059.11	14262.1	5076.84	18689.27	7911.95	16843.62	48.52	0.0	0.0	0.0	0.0	1081.39
OTOP2	0.0	0.0	3.23	100.83	2591.27	1427.22	3928.15	693.58	1111.82	0.45	0.0	0.0	0.0	0.0	269.6
PADI2	1457.23	536.45	368.65	1923.14	7130.55	3168.41	8305.36	3928.15	7081.29	120.94	7.0	3.66	38.95	96.68	1359.57
PKIB	406.31	497.0	154.42	2090.03	7230.1	3716.2	7695.57	2758.13	4010.71	61.25	8.51	26.47	0.0	0.1	896.64
PTGDR	16.03	8.0	11.38	102.97	579.04	60.39	435.55	307.69	483.38	9.63	1.3	6.62	0.0	0.22	244.57
RPL10L	0.0	3.23	18.16	44.57	109.66	57.08	151.22	112.77	202.66	0.0	0.0	0.0	0.0	0.0	13.12
SH2D7	1.23	0.14	2.41	39.5	156.59	61.25	76.17	121.79	156.59	0.0	0.0	0.0	0.0	0.0	3.79
SLC16A5	406.31	1143.1	450.94	518.15	802.41	438.59	638.15	426.57	693.58	72.52	17.9	18.56	0.0	0.55	373.81
SLC26A2	3820.7	246.28	88.88	4358.66	20030.74	7180.15	20170.07	5594.3	10959.3	94.67	30.56	28.45	0.0	0.33	1437.15
SLC26A3	8.65	4.46	229.72	7433.4	145432.49	110983.6	254974.66	17558.94	63742.91	0.0	3.99	14.45	0.0	0.02	4903.87
SMIM17	8.78	3.79	0.0	4.98	1.22	5.54	10.0	9.7	6.73	0.92	0.0	0.0	0.0	0.21	2.05
SPAG1	633.73	1378.57	133.36	144.01	514.56	234.57	476.71	351.14	371.22	47.84	36.27	84.63	0.0	0.31	309.83
SRI	4239.45	4268.94	10512.82	26431.04	27938.14	15934.98	38430.46	13776.25	21320.18	2591.27	529.06	2209.26	6935.54	693.58	8718.32
SULT1A4	607.87	426.57	497.0	1674.06	2434.5	1096.5	2061.24	2075.59	2367.9	159.9	84.63	305.55	0.0	0.31	1143.1
TFRC	348.71	587.13	1617.0	1388.16	1857.6	1304.15	2682.69	1487.87	1551.09	77.25	775.05	1242.34	0.0	0.75	1769.57
TMEM236	1.28	3.35	6.94	133.36	785.88	540.19	872.1	223.41	551.56	2.71	0.56	2.25	0.0	0.01	135.24
TMIGD1	0.0	0.0	39.5	591.22	7433.4	5255.91	17197.56	1151.06	6381.92	1.77	0.0	1.01	0.0	0.01	540.19
TNMD	0.0	0.0	10.08	15.56	120.94	10.71	106.63	45.85	43.32	1.31	2.43	3.5	0.0	0.0	5.92
TRPM6	34.26	6.21	0.1	218.79	1191.69	591.22	1529.73	178.77	525.39	2.25	1.19	0.57	0.0	0.21	114.36
URAD	1.97	0.0	53.19	583.07	2758.13	480.04	1950.0	1159.07	3665.02	0.0	0.0	0.0	0.0	0.0	277.2
ZG16	0.41	0.1	500.46	4575.41	50709.61	33224.42	136637.07	25530.66	48643.87	0.0	12.93	44.57	0.0	0.06	4095.0
