	TCGA.AC.A3OD.01A.11R.A21T.07.1	TCGA.AO.A0J8.01A.21R.A034.07	TCGA.A8.A07P.01A.11R.A00Z.07	TCGA.A8.A0A9.01A.11R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.EA.A3QE.01A.21R.A21T.07	TCGA.C5.A7CG.01A.11R.A32P.07	TCGA.LN.A49N.01A.11R.A24K.31	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.IN.AB1X.01A.11R.A39E.31
CTAGE9	3.38	2.29	0.0	0.67	4.13	36.01	4.13	3.11	8.65	12.36	0.0	0.03	4.58
DGKA	651.58	403.5	176.29	376.41	33922.56	22850.48	4388.98	3419.52	7032.37	5366.37	0.0	0.99	1233.75
FAM131C	1.43	0.73	1.77	3.32	483.38	7.06	64.8	12.18	45.21	23.25	0.0	0.34	33.3
FAM25B	0.0	0.0	0.0	0.0	682276.92	9740.98	109.66	18.97	29.06	3060.45	0.0	0.0	9.85
FAM84A	521.76	21.16	62.56	32.36	6471.02	8191.0	743.43	113.56	884.29	1037.29	0.0	0.55	293.07
FBXO27	69.03	151.22	56.28	72.52	3124.78	5006.93	708.18	303.44	159.9	190.34	0.0	0.42	224.97
FGF11	33.54	18.7	10.88	24.46	4972.34	981.29	638.15	50.27	684.02	796.86	0.0	0.71	105.89
FRMD4B	258.57	146.03	134.3	103.69	2319.15	1378.57	301.33	185.11	866.07	351.14	0.0	0.52	275.28
FZD10	20.41	9.78	10.47	7.22	8658.09	4575.41	186.4	15.0	429.54	842.36	0.0	0.39	50.27
GALNT14	27.84	19.53	10.31	20.11	6079.61	748.61	483.38	67.12	698.41	309.83	0.0	0.72	44.89
GP6	4.54	0.73	0.0	1.06	65.26	28.45	7.11	4.66	5.19	6.41	0.0	0.19	14.03
GPR87	31.45	6.46	13.72	1.23	654483.73	1514068.5	1950.0	733.19	3060.45	2209.26	0.0	0.27	71.5
HSPB1	15824.9	9279.58	21320.18	22072.07	269512.87	229795.93	123144.13	53601.03	181548.07	236256.4	0.0	0.47	19348.38
IKZF2	55.49	98.73	28.86	13.52	1617.0	890.44	242.88	131.51	269.6	819.3	0.0	0.24	195.72
IVL	0.77	0.4	0.77	0.0	7.49798696E7	4.247174256E7	5517.27	33.06	3081.75	13215.02	0.0	0.38	251.48
KPRP	0.04	0.0	0.0	0.0	4972.34	299.25	5.41	0.0	15.68	224.97	0.0	0.0	5.77
KRT6A	4.9	1.43	8.25	0.75	2.01760973986E9	2.41604469791E9	256748.15	16960.78	189257.69	256748.15	0.0	1.17	17317.18
KRT75	0.67	4.94	1.64	0.34	127486.83	476.71	191.67	4.86	22.59	18.16	0.0	0.0	6.21
LPAR3	7.28	8.19	2.86	4.9	4268.94	2835.7	104.42	126.12	493.56	218.79	0.0	0.31	20.11
LTB4R	155.5	81.14	34.51	76.71	18819.27	41188.81	1583.71	684.02	2400.97	2400.97	100.13	131.51	271.48
LTB4R2	10.71	3.53	5.11	10.71	5183.54	5555.65	759.08	199.85	1286.18	1151.06	0.0	0.61	157.68
MALT1	275.28	170.25	157.68	159.9	1167.14	529.06	497.0	303.44	514.56	493.56	0.0	0.21	332.14
MVD	507.46	277.2	251.48	336.79	5555.65	2573.36	616.37	599.49	896.64	2520.38	0.0	0.6	392.44
PGLYRP4	1.33	0.34	0.35	0.0	127486.83	114897.47	199.85	4.31	599.49	1529.73	0.0	0.21	15.11
POMC	12.83	5.59	7.22	3.2	15.22	397.93	16.15	19.53	185.11	102.97	0.0	0.46	8.32
PVRL1	379.04	297.17	122.64	297.17	36106.23	13776.25	1883.54	1001.93	3639.7	6699.25	201.25	77.79	1051.79
RAB38	115.97	463.65	37.32	88.26	5711.87	3491.39	1242.34	293.07	6250.56	2119.22	0.0	0.52	139.07
RHCG	8.71	2.97	1.75	2.66	4.336416418E7	2.18328924E7	36864.92	2240.11	38164.99	906531.99	0.0	0.65	6121.9
RNASE7	4.9	0.62	1.62	0.0	5006.93	133825.1	559.28	6.73	373.81	551.56	0.0	0.0	75.11
S1PR5	22.92	65.26	12.09	19.82	67377.47	8963.45	426.57	293.07	1674.06	1175.27	0.0	0.32	28.65
SERPINB5	102.97	11.47	11.91	3.14	1825675.85	1589343.01	3928.15	1225.22	5517.27	7749.1	0.0	0.45	309.83
SETD6	305.55	131.51	141.02	234.57	473.41	995.0	234.57	373.81	320.8	444.72	0.0	0.75	441.64
SLC39A2	15.34	6.41	4.46	0.61	13586.57	6164.49	232.94	52.45	463.65	1340.84	0.0	0.21	35.0
SLC6A8	256.78	249.73	143.01	246.28	5555.65	363.56	1963.57	743.43	2502.97	1883.54	0.0	1.31	470.14
SOX15	14.45	5.77	4.62	7.75	99333.0	5147.73	466.88	353.59	2739.08	3742.05	0.0	0.69	195.72
SRD5A1	120.94	124.37	72.01	178.77	2434.5	4010.71	723.08	387.02	830.75	1733.13	0.0	0.53	220.32
TMEM132B	3.53	1.23	2.58	1.87	13.83	57.89	53.57	3.17	40.07	19.82	0.0	0.07	3.44
TNFSF10	6516.03	3443.31	3190.46	3303.0	74243.68	27938.14	11909.94	4639.29	10440.2	8658.09	1806.78	1674.06	3639.7
TNS4	133.36	2.58	57.08	127.0	299043.36	1055868.42	2240.11	1304.15	19082.0	5913.33	94.67	165.57	287.01
TRIM16	299.25	327.56	397.93	591.22	28923.41	28923.41	1832.01	555.41	1096.5	1757.34	0.0	0.71	748.61
TTC39B	90.14	98.73	191.67	120.1	884.29	785.88	217.27	229.72	260.38	197.09	0.0	0.41	432.53
UGT1A6	0.89	0.0	0.0	0.0	65990.84	75803.72	204.07	21.78	255.0	215.77	0.0	0.1	47.17
ULBP2	14.35	13.42	7.69	28.04	1216.75	130.6	279.14	43.63	1143.1	1233.75	0.0	0.61	106.63
ZNF812	9.13	8.78	23.93	1.55	66449.85	12764.83	341.51	18.43	63.45	5041.77	0.0	0.06	105.15
