	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.XF.A9T5.01A.11R.A42T.07	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.C5.A1BK.01B.11R.A13Y.07	TCGA.KO.8411.01A.11R.2315.07	TCGA.B2.3923.01A.02R.1325.07	TCGA.B2.3923.01A.02R.A277.07	TCGA.5P.A9KH.01A.11R.A42S.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13OW5.0726.SM.5KLZK	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.RTLS.0926.SM.2TF5X	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.SL.A6J9.01A.11R.A31O.07
EPS8	33.54	56.68	47.5	1519.15	130.6	67.59	3257.52	7180.15	7081.29	5594.3	0.0	0.78	152.28	967.76	426.57	1073.91	299.25	624.99	947.83	237.86	299.25	38.12
ESD	2004.85	1662.49	1844.76	4358.66	2148.82	1769.57	5954.47	4388.98	4869.99	4066.71	0.0	0.4	2090.03	3614.55	2520.38	2319.15	1844.76	3515.68	2573.36	1806.78	2816.11	928.3
FAM13C	12.83	9.2	8.0	312.0	23.93	8.13	1001.93	1322.37	1407.55	866.07	0.0	0.0	25.72	361.04	33.78	169.07	61.25	599.49	301.33	63.0	312.0	0.0
FBP2	0.0	0.66	0.0	9.06	0.39	0.0	122.64	33.3	34.26	30.12	0.0	0.0	0.0	6.36	7.88	5.15	1.46	10.55	16.03	4.24	9.06	0.37
GARNL3	22.26	24.11	10.63	226.54	43.02	43.32	260.38	532.74	571.05	583.07	0.0	0.26	55.1	136.19	42.11	94.67	46.84	105.15	146.03	67.12	186.4	64.8
GNAQ	42.11	198.47	152.28	915.51	237.86	336.79	1104.13	1923.14	1662.49	1066.48	169.07	902.89	417.77	1023.0	1073.91	703.28	665.29	1331.57	981.29	417.77	753.83	132.44
HBB	486.75	921.88	775.05	469249.9	1012856.65	204.07	7180.15	8963.45	20881.4	563.18	0.0	0.0	828417.36	649962.87	783730.52	391864.76	1703415.74	3313672.43	659036.03	1299926.74	1336472.68	1447.15
ITPK1	616.37	813.63	1096.5	2193.99	392.44	748.61	4123.49	4152.18	2351.53	4152.18	0.0	0.52	753.83	1561.89	674.59	1388.16	947.83	974.5	902.89	1037.29	872.1	866.07
KIAA1191	575.03	1477.58	967.76	1617.0	941.27	954.43	4328.55	5441.3	5076.84	3443.31	1151.06	158.79	1286.18	2018.8	2018.8	2075.59	1870.53	2303.12	2133.97	1794.29	1417.35	583.07
KIT	3.96	6.62	2.29	1896.65	17.64	7.17	5791.62	4268.94	3847.29	7642.41	0.0	0.45	124.37	3467.27	4802.93	426.57	161.02	688.78	231.32	85.22	65.26	5.32
LIN7A	12.36	6.67	9.06	146.03	43.02	7.69	2609.3	4802.93	5479.15	2502.97	0.0	0.39	143.01	182.55	126.12	316.37	353.59	279.14	92.05	111.21	154.42	3.44
LOXHD1	1.28	0.0	0.33	13.72	0.0	0.0	60.82	110.43	133.36	251.48	0.0	0.09	4.66	45.85	15.45	19.53	32.36	30.12	13.72	17.51	13.32	0.0
MTMR10	70.51	80.57	77.79	599.49	92.05	120.1	967.76	1437.15	961.07	1183.45	0.0	0.58	173.85	599.49	361.04	441.64	323.03	842.36	403.5	249.73	346.29	73.54
MYRIP	1.62	0.67	0.34	61.68	0.52	2.18	1175.27	1216.75	1268.46	830.75	0.0	0.0	4.35	80.01	8.51	12.0	13.62	28.04	23.08	12.0	21.63	7.4
MYZAP	170.25	8.85	11.13	1023.0	15.45	30.78	2335.28	4268.94	5041.77	3443.31	0.0	0.13	255.0	2271.4	5.77	343.89	738.29	2271.4	718.08	507.46	532.74	17.25
NGFR	6.52	5.32	6.46	256.78	88.26	37.59	1216.75	921.88	595.34	336.79	0.0	0.52	21.01	217.27	9.63	47.84	13.93	20.71	72.01	16.03	47.17	13.52
NPTN	1397.83	555.41	1088.92	2701.35	2758.13	1151.06	8191.0	9025.81	8247.98	8363.13	1572.76	190.34	2163.77	2997.45	1721.16	2255.7	2193.99	2682.69	2835.7	1991.0	2178.83	748.61
NRXN3	0.69	4.66	0.0	35.25	1.53	3.82	1167.14	660.68	323.03	1225.22	0.0	0.21	15.11	92.05	11.73	71.5	45.21	127.89	49.91	44.57	55.1	8.13
NTN1	13.22	6.26	17.25	242.88	204.07	79.45	1059.11	802.41	575.03	1304.15	0.0	0.42	156.59	87.65	38.12	80.57	110.43	103.69	307.69	69.03	82.29	52.82
PACSIN2	583.07	563.18	547.75	1008.9	567.1	583.07	1806.78	3124.78	2645.74	1870.53	0.0	0.73	775.05	1407.55	1044.52	1870.53	896.64	1508.65	1498.22	638.15	808.0	507.46
PAXIP1-AS2	22.26	145.02	19.82	193.01	25.54	33.54	241.19	417.77	299.25	332.14	0.0	0.27	78.34	111.99	80.01	159.9	81.71	265.87	177.53	195.72	279.14	20.56
PDZRN4	0.66	0.35	0.0	34.75	0.0	0.3	3.76	161.02	237.86	2.89	0.0	0.01	2.46	9.2	8.58	9.34	4.86	43.63	58.71	1.23	20.26	0.0
PGRMC2	612.11	684.02	947.83	3146.52	1369.04	836.53	3124.78	5791.62	3349.13	3515.68	0.0	0.77	988.12	2271.4	3018.3	1540.37	1322.37	1757.34	1605.83	1662.49	974.5	718.08
PLCB4	2.63	3.66	1.0	239.52	28.24	4.43	353.59	941.27	1467.37	753.83	0.0	0.47	13.03	172.65	116.78	94.67	74.06	217.27	438.59	32.13	305.55	23.93
PLCXD3	0.0	0.0	0.0	26.1	0.0	0.43	988.12	547.75	575.03	718.08	0.0	0.17	3.92	86.43	7.57	24.46	22.1	111.99	37.85	16.15	26.28	0.4
PVRL3	6.21	15.22	46.18	361.04	21.63	11.38	890.44	961.07	1208.34	954.43	0.0	0.27	59.13	587.13	175.07	189.02	59.55	305.55	339.14	35.5	190.34	166.73
RCAN2	23.59	70.01	23.76	341.51	55.89	33.3	3124.78	4512.4	1896.65	3190.46	0.0	0.54	854.13	1081.39	703.28	555.41	72.52	934.76	1191.69	392.44	651.58	35.25
RFK	218.79	198.47	165.57	368.65	100.13	318.57	1674.06	1709.26	2104.58	1233.75	0.0	0.39	507.46	1191.69	587.13	441.64	271.48	511.0	387.02	503.95	163.28	142.01
RGAG1	0.33	0.0	0.0	2.39	0.75	0.74	6.52	4.98	4.86	11.21	0.0	0.03	4.28	3.53	0.26	0.54	0.0	5.19	1.03	0.21	0.92	0.0
RICTOR	74.58	65.26	55.89	318.57	73.54	126.12	336.79	417.77	819.3	348.71	0.0	0.31	107.38	299.25	161.02	208.38	182.55	260.38	277.2	181.28	267.73	31.67
SACM1L	295.11	239.52	285.03	819.3	371.22	271.48	1923.14	3235.01	3212.66	2319.15	0.0	0.43	423.61	1135.2	463.65	575.03	543.96	961.07	638.15	441.64	543.96	204.07
SATB1	42.41	37.85	52.82	551.56	68.07	26.28	1088.92	1540.37	1259.69	1073.91	76.71	173.85	172.65	157.68	218.79	295.11	351.14	579.04	511.0	87.03	454.09	10.47
SECISBP2L	55.89	43.02	44.89	651.58	78.34	102.25	1119.56	1388.16	1427.22	1066.48	0.0	0.11	229.72	612.11	457.25	409.15	258.57	728.11	718.08	223.41	457.25	44.25
SGMS1	201.25	134.3	185.11	536.45	356.05	218.79	703.28	791.35	1111.82	733.19	0.0	0.46	185.11	796.86	665.29	423.61	248.0	780.44	575.03	373.81	483.38	153.34
SLC16A12	0.97	0.67	0.34	7.4	1.16	0.0	218.79	361.04	351.14	299.25	0.0	0.21	0.13	56.28	14.24	48.52	49.56	76.17	154.42	7.75	98.04	0.26
SPARCL1	423.61	941.27	358.54	17558.94	115.16	825.0	11827.67	45386.27	55877.28	47974.16	0.0	0.72	7589.61	34635.37	14461.21	9409.14	8191.0	9740.98	18052.61	13872.08	11189.6	329.84
SPATA13	120.1	71.0	49.21	473.41	44.25	89.51	629.35	764.36	759.08	928.3	0.0	0.58	108.14	848.22	483.38	1015.93	309.83	860.08	884.29	620.67	651.58	50.63
TBC1D19	29.48	29.7	43.32	120.1	74.58	18.84	180.02	241.19	346.29	209.84	0.0	0.13	77.79	163.28	80.01	129.69	98.73	128.79	152.28	78.34	151.22	28.24
THSD4	47.5	6.26	28.86	373.81	86.43	50.27	392.44	660.68	486.75	595.34	0.0	0.35	91.41	88.88	103.69	118.43	110.43	214.27	551.56	126.12	221.86	109.66
TUB	1.33	11.82	2.92	154.42	40.36	2.27	59.55	693.58	629.35	262.2	0.0	0.46	64.8	75.11	84.63	126.12	107.38	81.71	205.5	71.5	94.01	12.45
UBL3	94.67	147.06	105.15	878.17	248.0	206.94	3467.27	2701.35	2573.36	2335.28	146.03	82.29	323.03	1143.1	947.83	679.29	435.55	1857.6	890.44	273.37	902.89	87.03
UST	108.14	102.97	14.14	316.37	140.04	42.11	325.29	684.02	642.59	395.18	0.0	0.55	36.53	229.72	241.19	312.0	115.16	269.6	75.11	69.52	107.38	90.77
VIPR2	2.58	5.54	0.34	36.79	1.99	5.73	7.0	457.25	366.09	17.38	0.0	0.16	4.43	12.64	8.06	7.69	9.06	10.63	23.08	0.55	14.03	3.41
ZBTB47	35.76	88.26	178.77	301.33	55.49	121.79	633.73	708.18	423.61	1286.18	106.63	108.9	412.0	236.21	209.84	353.59	507.46	356.05	307.69	497.0	277.2	76.71
ZYG11B	76.17	79.45	60.39	316.37	82.29	67.59	376.41	813.63	1191.69	423.61	0.0	0.36	114.36	414.87	129.69	155.5	120.1	295.11	229.72	87.65	165.57	82.87
