	TCGA.BH.A0HF.01A.11R.A056.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.11ZUS.2526.SM.59872	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.2608.01A.02R.0851.07	TCGA.18.3412.01A.01R.0980.07	TCGA.66.2737.01A.01R.0980.07	TCGA.77.8130.01A.11R.2247.07
PPP2CA	2351.53	3443.31	2591.27	674.59	836.53	902.89	2004.85	87.65	1685.71	2351.53	1870.53	1583.71
PRCP	3349.13	1844.76	3103.19	753.83	571.05	974.5	0.0	0.62	2451.44	4038.61	2956.17	947.83
PRIMPOL	232.94	253.23	248.0	173.85	61.68	44.89	0.0	0.0	190.34	563.18	281.09	94.01
PRPS1	1216.75	277.2	466.88	507.46	974.5	934.76	0.0	0.45	748.61	4575.41	1008.9	551.56
PRPSAP1	1417.35	1709.26	915.51	1225.22	336.79	854.13	0.0	0.1	1340.84	3395.89	1340.84	878.17
PRSS27	133.36	577714.63	226632.25	12.18	30.78	11.3	0.0	0.49	71.5	620.67	41.52	332.14
PSMD10	2701.35	981.29	1551.09	269.6	260.38	236.21	1498.22	277.2	1437.15	9215.48	1923.14	878.17
RAB6A	2133.97	3081.75	2384.37	476.71	1437.15	967.76	1359.57	414.87	1757.34	5831.91	2400.97	1135.2
RAD9B	18.7	7.88	2.63	1.11	0.0	0.0	0.0	0.0	13.83	25.91	10.47	4.31
RBM41	178.77	125.24	106.63	59.97	34.26	28.45	0.0	0.36	122.64	486.75	181.28	70.01
RHBDL2	122.64	12853.63	5954.47	0.4	9.78	21.01	0.0	0.2	132.44	348.71	218.79	173.85
RNF113A	529.06	353.59	406.31	253.23	195.72	197.09	0.0	0.59	353.59	1950.0	514.56	212.78
RPL36A	92680.9	65990.84	79022.82	12764.83	13123.73	11992.79	0.0	1.73	40341.14	233003.78	56265.94	28132.47
RPL39	211455.3	137587.47	155870.75	20737.16	35118.87	23330.64	122293.5	2193.99	131071.0	663619.99	146444.06	54349.29
SAR1B	1806.78	1832.01	743.43	842.36	728.11	1151.06	1135.2	120.94	1088.92	1407.55	1313.23	525.39
SCEL	151.22	242898.5	71219.26	1.89	1.11	0.57	0.0	0.41	190.34	1119.56	50.63	503.95
SKP1	19482.97	8963.45	11345.82	3372.43	4210.15	4972.34	0.0	1.33	12764.83	14663.09	15285.81	7589.61
SLC25A43	473.41	1674.06	934.76	94.01	152.28	55.89	0.0	0.46	381.68	1896.65	486.75	183.82
SLC25A5	25708.25	17927.91	18560.17	5872.48	6426.31	4937.99	0.0	0.62	12676.65	128373.58	19482.97	5913.33
SLC25A53	119.26	53.95	30.78	52.82	78.89	32.59	0.0	0.2	73.54	429.54	93.35	16.63
SLC38A9	267.73	228.13	155.5	120.94	78.34	81.71	0.0	0.35	226.54	395.18	206.94	127.89
SLC9A4	67.59	25.35	63.45	0.0	0.0	0.84	0.0	0.0	2.68	181.28	28.24	2.01
SNX31	59.55	37.05	27.64	3.5	0.0	2.29	0.0	0.16	11.82	220.32	25.72	6.31
SRPX2	928.3	802.41	183.82	12.27	50.27	50.63	0.0	1.11	733.19	4010.71	583.07	480.04
SV2B	42.11	2.29	9.2	24.63	3.06	4.7	0.0	0.12	18.16	129.69	7.46	0.87
TACSTD2	13399.51	256748.15	194578.47	21.78	117.6	97.36	0.0	0.44	7857.29	25005.23	3540.14	6471.02
TCEAL1	3280.18	202.66	915.51	112.77	281.09	289.02	0.0	0.57	525.39	2209.26	642.59	185.11
TIMM8A	293.07	194.36	173.85	264.03	151.22	92.7	0.0	0.33	172.65	1498.22	260.38	142.01
TMEM18	1457.23	753.83	769.69	503.95	521.76	447.82	0.0	0.51	743.43	2915.45	934.76	387.02
TRAPPC8	547.75	941.27	802.41	599.49	287.01	555.41	0.0	0.57	381.68	1030.12	397.93	242.88
TRMT2B	476.71	124.37	356.05	52.82	41.52	15.56	226.54	246.28	244.57	2163.77	341.51	76.17
TSPAN6	1605.83	1143.1	1023.0	723.08	1208.34	1059.11	0.0	0.37	1044.52	8479.89	759.08	373.81
UBE2A	3349.13	1896.65	1794.29	307.69	429.54	332.14	0.0	0.95	1936.53	12853.63	3212.66	1104.13
UPF3B	264.03	185.11	244.57	60.39	79.45	38.95	0.0	0.71	167.9	1015.93	234.57	164.42
USP1	507.46	356.05	309.83	119.26	93.35	92.7	0.0	0.51	307.69	571.05	363.56	248.0
USP46	206.94	703.28	348.71	27.25	18.84	7.46	0.0	0.32	299.25	616.37	197.09	129.69
WDR44	253.23	264.03	126.12	108.14	57.89	79.45	0.0	0.48	142.01	642.59	197.09	116.78
WFDC13	5.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	9.93	0.93	0.0
XKRX	61.68	356.05	145.02	1.28	0.0	0.49	0.0	0.41	29.48	381.68	5.77	13.62
ZBTB33	371.22	397.93	327.56	98.04	97.36	100.13	0.0	0.29	229.72	902.89	351.14	96.68
ZNF792	93.35	15.22	17.9	11.21	2.81	17.38	0.0	0.39	51.35	97.36	43.94	12.0
