	TCGA.KL.8324.11A.01R.2315.07	TCGA.AL.3467.01A.02R.1351.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6132.11A.01R.1965.07	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.14753.1626.SM.5NQ9L	GTEX.R53T.0326.SM.48FEC	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.14BMU.1826.SM.5RQII	GTEX.ZLWG.1026.SM.4WWC4	GTEX.U3ZN.0726.SM.4DXT5
ENOX2	104.42	387.02	120.1	134.3	75.64	136.19	74.58	63.45	66.18	66.65	0.0	0.16	218.79	164.42	379.04
FAM104B	656.11	1417.35	595.34	525.39	327.56	242.88	320.8	346.29	303.44	432.53	0.0	0.16	961.07	802.41	866.07
FAM183A	29.7	633.73	33.06	16.27	7.17	5.82	3.69	0.0	0.0	7.82	0.0	0.0	140.04	145.02	400.71
FAM187A	46.5	108.14	51.35	72.52	5.63	9.93	4.31	8.99	0.37	2.36	0.0	0.0	34.51	42.11	42.41
FBXO15	91.41	163.28	109.66	64.34	34.26	59.55	47.84	43.63	16.03	63.0	0.0	0.0	84.04	78.89	27.44
GAB2	166.73	848.22	187.71	271.48	69.03	92.05	90.77	63.89	31.67	72.01	0.0	0.6	620.67	265.87	1135.2
GABRB3	139.07	224.97	162.14	95.34	43.32	169.07	17.51	67.59	3.89	86.43	0.0	0.13	242.88	49.56	127.0
GDF9	19.25	34.26	29.27	9.93	2.36	2.34	4.82	9.06	9.56	4.24	0.0	0.09	9.27	10.08	26.47
GIN1	98.04	158.79	110.43	97.36	57.49	67.59	56.28	55.49	25.72	55.89	0.0	0.0	126.12	119.26	147.06
GPR135	24.46	131.51	37.05	21.63	15.91	6.78	6.78	8.19	7.94	9.63	0.0	0.29	60.82	66.65	22.43
HOXD11	107.38	1259.69	85.82	101.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	1183.45	82.29	295.11
HOXD3	273.37	1340.84	417.77	277.2	0.0	0.17	0.0	0.0	2.48	0.0	0.0	0.34	738.29	693.58	507.46
HOXD4	129.69	571.05	237.86	130.6	0.53	0.0	0.0	0.0	0.0	0.82	0.0	0.0	281.09	567.1	305.55
HOXD9	341.51	1378.57	423.61	476.71	0.0	1.23	0.0	1.35	0.0	0.84	0.0	0.24	1216.75	409.15	1295.13
IFT27	1015.93	1806.78	981.29	830.75	587.13	473.41	511.0	361.04	351.14	450.94	0.0	0.21	1111.82	1769.57	1572.76
IL17RD	128.79	808.0	154.42	255.0	1.83	1.81	2.84	0.2	0.18	20.71	0.0	0.1	518.15	450.94	1037.29
IMPACT	463.65	651.58	514.56	387.02	289.02	271.48	273.37	466.88	239.52	356.05	271.48	120.1	432.53	457.25	764.36
ISX	4.03	0.32	6.11	2.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.36	0.0
ITM2B	38164.99	48643.87	39237.98	38697.77	16045.82	14361.31	18560.17	18052.61	13215.02	13492.72	0.0	0.92	19754.96	17927.91	37121.34
KCNA4	2.94	24.63	9.34	3.76	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.89	3.89	21.78
KCTD15	234.57	974.5	397.93	239.52	63.45	149.12	76.17	80.57	3.56	260.38	47.17	104.42	1628.26	1059.11	551.56
KLHL10	2.97	12.83	7.51	1.38	3.0	0.79	2.97	7.17	2.34	1.58	0.0	0.01	9.63	6.31	7.51
KLHL13	665.29	2133.97	591.22	624.99	176.29	166.73	251.48	36.53	21.32	229.72	0.0	0.3	1685.71	961.07	3280.18
KRT12	0.33	3.38	0.74	0.68	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69	0.55	0.0
LAYN	126.12	599.49	65.72	152.28	9.27	21.63	14.14	19.68	11.64	6.21	0.0	0.6	265.87	182.55	769.69
LDOC1L	358.54	1540.37	406.31	426.57	69.03	105.15	83.45	54.72	5.92	131.51	202.66	122.64	825.0	733.19	884.29
LIPT2	74.58	130.6	102.97	86.43	104.42	26.67	70.51	63.45	22.26	84.04	0.0	0.0	94.67	136.19	74.58
LRRC23	503.95	1023.0	409.15	312.0	131.51	215.77	68.07	75.11	181.28	38.4	0.0	0.0	514.56	295.11	1277.29
LRTOMT	432.53	1208.34	356.05	376.41	264.03	170.25	291.04	209.84	175.07	195.72	49.21	318.57	579.04	417.77	651.58
MAML3	66.65	486.75	100.83	108.9	72.52	36.79	46.5	78.34	69.03	58.3	0.0	0.35	476.71	218.79	791.35
MAPK10	579.04	1388.16	579.04	497.0	17.64	63.0	22.26	31.67	27.25	9.2	0.0	0.37	1963.57	1540.37	967.76
MBD5	373.81	532.74	334.46	318.57	140.04	120.1	212.78	186.4	202.66	199.85	0.0	0.38	420.68	293.07	269.6
METTL21B	299.25	305.55	194.36	163.28	97.36	98.04	82.29	111.99	42.11	98.73	0.0	0.36	255.0	93.35	283.05
MLLT1	511.0	1628.26	796.86	656.11	182.55	242.88	187.71	197.09	115.16	148.09	0.0	0.57	1605.83	954.43	928.3
MORN2	1477.58	2004.85	1044.52	1051.79	518.15	251.48	275.28	373.81	267.73	341.51	0.0	0.0	1135.2	967.76	1991.0
NPHP1	239.52	603.67	185.11	176.29	38.12	44.57	9.41	39.22	12.64	36.53	0.0	0.03	291.04	281.09	616.37
NPHP3	153.34	371.22	218.79	154.42	73.03	96.68	59.97	100.13	27.05	55.1	0.0	0.64	234.57	221.86	277.2
NREP	896.64	2777.33	733.19	909.17	603.67	291.04	819.3	1295.13	81.14	363.56	0.0	0.04	3467.27	1427.22	4903.87
NUP214	769.69	1159.07	1073.91	928.3	603.67	748.61	638.15	769.69	607.87	435.55	0.0	0.29	836.53	698.41	1059.11
ODF2	412.0	1059.11	368.65	466.88	208.38	314.17	295.11	220.32	166.73	199.85	0.0	0.78	769.69	633.73	647.07
PDPR	287.01	507.46	291.04	194.36	78.89	152.28	49.21	55.1	28.04	63.0	0.0	0.37	423.61	220.32	299.25
PIFO	267.73	1991.0	217.27	262.2	0.0	1.99	15.91	3.63	2.05	0.0	0.0	0.0	1950.0	2075.59	500.46
PRRT1	204.07	444.72	186.4	150.17	90.14	141.02	111.21	76.17	63.45	33.3	0.0	0.53	444.72	205.5	403.5
PTBP2	221.86	896.64	256.78	191.67	46.18	54.33	69.52	154.42	36.27	29.48	133.36	532.74	571.05	460.44	320.8
PTGER2	72.52	1088.92	49.21	106.63	31.0	9.06	30.56	30.78	20.11	6.52	0.0	0.44	303.44	105.89	791.35
RAB41	5.23	19.11	5.92	1.03	4.43	2.1	2.89	1.77	0.0	1.39	0.0	0.0	14.78	8.92	5.54
RABL5	1498.22	2537.92	1127.35	1259.69	397.93	283.05	303.44	327.56	152.28	379.04	0.0	0.06	1498.22	1044.52	3325.99
RANBP10	173.85	414.87	253.23	258.57	178.77	358.54	228.13	217.27	122.64	234.57	0.0	0.47	277.2	195.72	441.64
RP11-77K12.7	2.63	14.56	9.7	3.08	1.77	0.0	0.06	4.78	0.0	0.0	0.0	0.0	9.13	11.3	18.84
RP4-559A3.7	13.72	38.67	11.82	7.82	8.85	0.0	3.11	10.55	0.0	5.63	0.0	0.05	28.65	28.45	36.53
RPGR	118.43	638.15	170.25	110.43	16.75	59.55	23.42	74.58	55.49	15.68	0.0	0.34	397.93	376.41	152.28
SALL2	130.6	1397.83	226.54	209.84	33.54	39.79	44.89	111.99	0.14	23.76	0.0	0.31	1073.91	825.0	2271.4
SGSM2	559.28	1111.82	1167.14	1088.92	244.57	258.57	164.42	435.55	87.65	198.47	0.0	1.04	813.63	759.08	947.83
SH3BP5	1378.57	5255.91	1167.14	974.5	450.94	241.19	466.88	559.28	173.85	215.77	0.0	0.71	1639.59	4388.98	5872.48
SMARCA2	1617.0	3103.19	1844.76	1572.76	1697.45	1233.75	1781.89	1096.5	928.3	1119.56	595.34	231.32	1794.29	1923.14	2956.17
SNX29	389.72	583.07	547.75	638.15	86.43	70.51	74.06	54.33	43.02	58.3	0.0	0.4	136.19	165.57	426.57
SNX30	249.73	289.02	236.21	244.57	111.21	98.04	78.34	95.34	37.85	102.25	0.0	0.06	100.83	73.54	271.48
SPA17	387.02	1540.37	289.02	426.57	50.63	42.71	76.71	51.71	21.47	32.36	0.0	0.0	529.06	674.59	656.11
SRBD1	140.04	265.87	142.01	180.02	120.94	81.71	139.07	115.16	67.12	86.43	0.0	0.0	149.12	226.54	269.6
SSC5D	139.07	1991.0	67.12	121.79	24.46	124.37	62.56	19.82	18.29	29.06	0.0	0.27	1447.15	1183.45	1350.18
SYT3	22.26	37.85	14.56	24.99	0.0	0.0	1.77	0.95	0.0	1.27	0.0	0.0	36.53	2.94	13.93
TAF9B	470.14	796.86	363.56	395.18	339.14	218.79	218.79	178.77	110.43	264.03	0.0	0.42	500.46	1059.11	1225.22
TBC1D19	239.52	339.14	180.02	175.07	45.85	61.25	30.78	16.88	17.77	35.5	0.0	0.13	218.79	153.34	312.0
TEKT3	8.0	54.72	14.67	17.64	3.76	5.41	5.41	12.09	8.65	2.63	0.0	0.01	48.87	22.26	107.38
TF	15.34	44.57	14.03	10.47	1.271475112E7	1864037.21	4165330.83	8273118.55	1355129.16	1345768.59	0.0	0.62	7.88	41.22	41.22
TLE4	285.03	1745.2	256.78	314.17	147.06	88.26	112.77	182.55	137.14	57.89	0.0	0.68	819.3	543.96	1268.46
TMEM201	189.02	381.68	358.54	273.37	27.44	36.79	30.12	22.59	6.41	24.28	0.0	0.36	307.69	223.41	223.41
TSSC4	764.36	2645.74	1059.11	1044.52	493.56	633.73	480.04	521.76	536.45	480.04	0.0	0.66	1844.76	1697.45	1721.16
TTC30A	111.21	293.07	128.79	105.89	48.87	57.08	38.95	51.71	17.13	29.06	0.0	0.0	244.57	83.45	226.54
TTC30B	84.63	384.34	107.38	108.14	73.03	27.44	47.84	59.55	12.0	30.78	0.0	0.0	231.32	98.04	171.45
TTC40	73.54	400.71	45.85	105.15	2.29	21.32	8.78	8.78	11.21	3.82	0.0	0.0	161.02	10.16	204.07
UBAP2	251.48	389.72	299.25	334.46	104.42	124.37	114.36	142.01	39.5	85.22	0.0	0.84	256.78	218.79	258.57
UNC119B	551.56	1340.84	733.19	733.19	35.25	120.1	64.34	28.45	12.0	109.66	0.0	0.44	780.44	825.0	616.37
WDR31	84.63	123.5	103.69	68.55	72.52	53.19	60.39	46.18	17.77	78.34	0.0	0.0	56.28	73.03	118.43
WNK2	36.79	1037.29	54.33	63.0	6.89	48.18	55.89	17.13	1.48	2.86	0.0	0.53	346.29	599.49	389.72
ZBED3	234.57	624.99	309.83	267.73	177.53	135.24	232.94	239.52	612.11	143.01	0.0	0.14	723.08	967.76	303.44
ZDHHC14	363.56	921.88	486.75	356.05	214.27	146.03	318.57	141.02	205.5	146.03	0.0	0.39	995.0	518.15	1457.23
ZFP2	46.5	109.66	65.26	46.18	9.41	11.55	8.06	5.19	3.89	8.25	0.0	0.12	67.59	84.63	105.15
ZFP3	62.56	131.51	132.44	98.04	7.06	12.27	9.41	30.56	0.68	3.41	0.0	0.01	139.07	107.38	98.73
ZFYVE16	283.05	476.71	289.02	267.73	232.94	275.28	163.28	226.54	79.45	120.1	185.11	147.06	503.95	348.71	356.05
ZKSCAN5	101.54	215.77	122.64	119.26	51.35	58.3	52.82	53.19	15.22	55.89	0.0	0.14	147.06	123.5	173.85
ZNF132	75.11	258.57	115.97	89.51	16.75	20.71	18.03	8.13	7.11	17.38	0.0	0.13	211.31	108.9	118.43
ZNF280C	16.15	64.34	20.86	29.48	8.13	7.63	6.11	15.91	2.12	5.59	0.0	0.41	39.79	35.25	47.17
ZNF443	49.21	193.01	62.12	78.34	29.06	29.27	22.75	15.45	21.63	28.04	0.0	0.09	72.52	27.84	281.09
ZNF491	21.47	50.98	21.01	27.44	12.83	8.19	10.71	10.39	7.28	7.51	0.0	0.15	52.08	26.67	64.8
ZNF512	373.81	1242.34	483.38	503.95	133.36	147.06	127.0	154.42	47.5	127.89	0.0	0.72	830.75	703.28	1096.5
ZNF556	7.75	34.51	7.34	6.78	0.0	0.0	1.89	0.0	5.82	0.0	0.0	0.0	25.35	33.3	7.0
ZNF625-ZNF20	41.81	98.04	59.97	49.56	6.78	12.09	7.69	27.44	8.45	15.45	0.0	0.06	102.97	8.06	143.01
ZNF709	35.0	103.69	55.1	49.21	10.79	9.7	6.26	7.69	2.89	6.67	0.0	0.17	143.01	57.49	84.63
ZNF782	41.52	95.34	51.35	41.81	16.03	19.25	27.05	27.84	6.67	22.75	0.0	0.18	38.12	55.49	54.72
ZNF799	58.71	158.79	68.55	67.12	50.63	41.22	35.76	45.85	31.67	45.21	0.0	0.28	142.01	63.45	180.02
ZNF816	134.3	303.44	138.1	195.72	19.68	37.59	9.56	35.25	0.06	31.9	0.0	0.21	170.25	53.95	287.01
ZNF92	51.35	198.47	77.25	86.43	35.0	48.18	23.08	31.45	6.73	30.78	0.0	0.16	115.97	111.21	127.0
