	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.13RTK.0426.SM.5RQHT	GTEX.WH7G.1026.SM.4LVML	GTEX.ZQUD.0326.SM.4YCEN	GTEX.131XF.0926.SM.5BC69	GTEX.ZXES.1226.SM.5NQ8G	GTEX.U4B1.0926.SM.4DXUV	GTEX.ZVT2.1226.SM.5GU5H	GTEX.111CU.0626.SM.5EGHL	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.VQ.A94P.01A.13R.A414.31	TCGA.HU.8243.01A.11R.2343.13	TCGA.BR.8369.01A.11R.2343.13	TCGA.RD.A8N2.01A.12R.A36D.31	TCGA.BR.A453.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8366.01A.11R.2343.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.RD.A8N4.01A.21R.A36D.31	TCGA.BR.8363.01A.11R.2343.13	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.BR.8296.01A.11R.2343.13	TCGA.BR.A4J9.01A.12R.A251.31	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.HJ.7597.01A.21R.2203.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.HU.A4GY.11A.11R.A36D.31	TCGA.HU.A4HB.11A.11R.A251.31	TCGA.HU.A4GN.11A.12R.A251.31	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.HU.A4G3.11A.11R.A24K.31
AL137798.1	0.0	0.0	0.0	0.0	0.19	0.97	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	4.03	12.18	0.0	0.0	0.68	0.0	0.0	14.14	14.03	7.46	3.79	1.23	4.13	9.13	5.63	0.0	3.14	3.29	7.94	6.21	10.08	0.0	0.0	0.0	0.0
AL353608.1	0.0	0.0	1.83	1.23	0.99	3.59	3.11	0.0	3.35	3.35	0.0	3.0	4.94	3.76	12.0	21.01	5.45	20.71	20.26	7.11	3.23	27.25	14.67	13.42	14.67	8.19	16.63	9.2	21.78	11.21	3.38	9.27	15.34	7.28	12.45	6.78	0.56	4.9	0.0
AL390778.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.78	2.36	0.0	2.48	2.39	0.0	0.0	3.86	1.13	0.0	0.83	0.0	1.38	0.0	2.05	0.0	0.87	0.84	3.82	1.14	2.03	0.0	0.0	0.0	0.0
AL590483.1	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.19	8.78	0.0	13.22	2.81	0.0	0.0	5.5	3.76	3.14	1.69	0.46	2.27	3.89	12.45	0.0	2.29	3.44	5.11	0.0	4.98	0.0	0.0	0.0	0.0
ANKUB1	0.0	0.0	1.45	0.77	0.23	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.93	5.96	0.49	21.47	16.27	0.0	0.51	11.3	32.82	7.34	11.91	0.99	10.31	4.94	15.8	0.0	5.15	5.92	8.78	4.58	5.06	0.0	1.83	2.81	0.95
AP000867.1	0.0	0.0	0.0	0.0	0.0	0.0	0.38	0.0	0.0	0.0	0.4	0.0	0.39	0.0	2.43	2.76	0.49	8.58	0.78	0.0	0.51	2.01	3.66	0.73	3.0	0.0	1.31	0.44	2.41	0.0	3.44	1.89	2.92	2.12	4.1	0.91	0.0	0.0	0.46
AP000974.1	0.44	5.68	6.01	2.86	2.81	6.36	2.56	3.76	4.94	2.76	1.41	3.23	0.0	5.06	17.25	25.17	3.69	50.63	27.44	4.62	7.17	22.59	15.11	11.04	19.68	7.57	9.2	7.0	43.94	8.71	9.06	12.74	16.15	12.27	18.03	5.77	3.66	8.19	3.76
BARHL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.79	2.92	0.0	2.43	3.32	0.0	0.49	1.69	2.97	1.07	1.31	0.0	1.68	2.03	3.59	1.03	0.37	1.33	1.58	1.38	3.32	0.0	0.0	0.48	0.47
BX255923.1	0.0	0.0	0.0	0.61	0.06	2.76	0.0	0.0	3.32	0.0	0.0	3.59	0.0	0.0	17.9	22.75	4.17	24.63	19.97	4.62	4.86	43.32	13.93	12.74	11.55	9.13	8.0	4.7	28.86	20.11	8.58	8.99	12.45	12.0	13.42	2.43	3.41	4.94	3.5
C12orf77	0.0	0.0	0.0	0.35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.55	12.74	1.11	15.8	38.12	0.42	0.0	162.14	3.08	14.03	2.05	0.0	7.69	1.0	16.51	1.62	5.45	14.89	10.0	3.06	13.12	0.73	0.0	0.0	0.0
C17orf105	0.0	1.55	0.55	0.0	0.0	0.8	0.35	0.0	0.0	0.39	0.38	0.0	0.36	0.36	1.77	4.31	0.0	3.41	2.05	1.11	0.0	7.34	3.66	1.16	1.77	0.0	1.46	2.2	8.32	3.29	1.13	1.79	3.76	1.51	5.59	0.54	0.0	0.53	0.53
C1orf143	0.0	0.0	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.99	3.2	0.0	6.06	2.32	1.97	0.0	5.36	3.26	2.66	0.79	0.0	4.13	3.03	9.2	0.0	2.58	1.31	4.94	0.72	5.82	0.0	0.0	0.0	0.73
C22orf24	0.87	3.08	7.94	3.66	6.62	4.7	2.94	4.94	4.46	0.99	0.0	2.43	2.58	1.35	17.77	16.63	2.46	19.39	4.35	10.63	21.47	14.14	12.09	13.93	12.83	7.0	8.99	15.45	28.65	4.35	39.79	9.13	11.3	5.73	19.11	7.51	3.56	2.18	1.68
C3orf65	0.0	0.0	7.46	0.13	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.03	16.03	2.51	26.86	23.59	0.99	0.92	34.75	20.56	6.31	13.12	1.33	2.76	3.63	19.68	2.76	6.16	10.24	13.93	5.36	2.05	1.53	0.34	0.0	0.0
C5orf60	0.0	0.0	1.08	0.68	0.26	0.09	1.53	0.0	0.0	4.28	0.62	0.0	0.0	0.0	17.77	7.22	0.0	33.3	8.19	2.27	0.57	18.7	7.34	7.22	5.02	1.58	5.5	22.26	15.8	1.16	7.06	10.63	22.75	3.08	13.83	0.0	0.0	0.0	4.58
C8orf17	0.0	0.0	0.0	0.31	0.13	0.0	0.65	0.0	0.71	0.0	0.0	0.0	0.0	0.0	1.39	3.44	0.41	7.28	4.7	0.46	0.0	2.43	4.46	0.92	3.63	0.0	0.6	1.39	7.34	0.45	1.46	3.41	2.58	1.83	3.26	0.77	1.79	0.75	0.37
CABP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.88	6.84	0.0	3.86	4.62	0.0	0.0	5.36	5.68	4.54	1.55	0.0	2.07	1.91	13.72	0.0	3.76	4.7	12.74	6.89	5.92	0.0	0.0	0.0	0.0
CALD1	61571.56	148488.36	136637.07	120609.84	355624.68	140478.49	41188.81	38966.94	53601.03	54727.32	53973.86	56265.94	58250.19	47974.16	1073.91	3060.45	66449.85	3690.52	18304.63	125731.67	77934.88	7081.29	4181.07	5219.6	2627.46	70238.75	2591.27	32540.65	3564.78	70238.75	5995.9	1183.45	1806.78	58250.19	55107.99	81809.59	70238.75	66912.05	72715.74
CALR3	0.0	0.0	2.58	0.66	0.0	0.89	0.0	0.0	0.0	0.0	0.0	0.0	1.1	1.1	8.19	10.47	0.0	21.32	3.03	0.0	0.0	7.82	3.99	4.82	3.26	0.0	4.94	1.25	15.22	0.0	4.39	3.92	6.46	0.0	15.22	0.0	0.0	1.43	0.95
CCDC105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.03	3.14	0.0	5.77	2.16	0.87	0.0	6.01	1.93	0.89	1.62	0.0	0.58	2.92	3.99	0.0	1.14	1.89	7.57	1.53	3.96	0.0	0.0	0.0	0.79
CCDC155	0.0	0.0	1.39	0.0	1.85	0.0	0.0	0.0	0.0	0.0	2.71	2.43	0.0	0.84	21.94	56.28	0.0	35.0	20.86	0.95	0.0	12.18	28.65	0.0	21.32	0.0	13.12	23.42	37.85	0.0	10.31	13.22	28.86	6.21	6.84	0.0	0.0	0.0	0.0
CH17-132F21.1	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.62	28.65	0.0	27.44	6.94	0.0	0.0	30.78	29.06	5.59	7.28	0.0	12.27	13.72	49.21	0.0	10.08	13.72	0.0	8.38	25.91	0.0	0.0	0.0	0.0
CHRNA9	3.0	0.39	0.84	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5	5.02	0.52	2.1	3.99	0.0	0.0	1.31	8.32	0.75	6.11	0.0	3.56	2.41	3.53	0.0	2.36	1.66	3.66	0.0	9.06	0.0	0.0	0.0	0.0
CLLU1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.54	4.86	1.13	10.24	2.92	1.25	0.4	11.91	6.62	5.54	2.78	0.4	3.53	5.28	10.47	0.0	4.54	1.35	3.14	3.03	5.02	0.0	0.34	0.36	0.35
CRX	0.0	0.0	0.0	0.0	0.0	0.0	0.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.47	27.84	0.0	44.89	18.84	0.47	1.58	39.79	11.55	12.0	7.34	0.0	12.09	3.2	46.84	0.0	16.27	9.41	35.25	14.03	27.05	2.1	0.0	0.35	0.35
CRYGA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.43	3.0	0.0	5.54	0.0	0.0	0.0	3.79	1.43	1.77	1.11	0.0	1.69	2.36	6.01	0.0	2.81	0.0	5.73	2.68	6.67	0.0	0.0	0.0	0.0
CSTL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.41	54.72	15.11	0.0	21.94	7.69	0.0	0.0	13.83	20.41	5.63	1.69	0.0	1.41	7.17	12.74	0.0	3.03	7.28	10.0	1.75	4.24	0.0	0.0	0.0	0.0
CT45A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.85	813.63	0.0	65.26	0.0	0.0	0.0	0.0	8.92	0.71	1.22	0.0	6.78	19.82	11.64	0.0	5.06	3.96	6.01	0.72	1.91	0.0	0.0	0.0	3.59
CTD-3138B18.4	0.0	0.0	0.36	0.29	0.58	1.41	0.0	0.0	1.19	0.0	0.0	0.0	0.0	0.0	9.41	11.73	0.82	10.55	12.64	0.91	0.41	22.1	3.66	4.62	8.51	0.83	5.45	5.32	14.67	2.18	6.57	7.11	13.42	3.0	7.51	0.0	0.36	0.38	2.29
DDX4	0.0	0.0	0.0	0.0	0.0	0.89	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.71	4.1	17.13	1.71	8.78	1.45	0.0	0.0	19.97	1.68	5.87	14.89	1.22	3.86	3.76	22.43	2.41	1.71	4.13	3.99	0.66	18.84	0.0	0.0	1.19	0.67
DMP1	0.0	0.0	3.32	0.25	0.67	0.0	1.87	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.67	3.82	0.55	6.94	3.38	0.0	0.0	17.9	5.92	2.01	3.23	0.55	2.23	4.28	4.74	0.0	4.98	4.03	4.66	3.66	7.82	0.43	0.0	0.0	0.0
DMRT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.47	9.34	0.0	7.46	3.72	0.51	0.0	6.57	5.06	3.2	2.51	0.0	3.59	0.77	10.24	0.0	3.14	4.5	5.73	1.17	3.99	0.0	0.0	0.41	0.0
DNAH3	1.31	0.0	5.73	0.0	6.11	2.1	0.0	0.0	0.83	0.83	2.41	2.16	0.78	0.39	58.71	54.33	2.32	45.21	36.27	4.78	4.43	40.64	61.68	17.9	23.93	3.72	8.13	13.83	32.59	6.52	30.34	37.85	20.86	7.11	17.25	1.87	1.16	0.87	4.39
DPPA3	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.36	16.63	0.0	3.53	4.74	0.8	0.37	3.92	1.55	1.36	3.11	0.0	0.79	0.0	4.62	0.0	0.54	2.89	3.86	0.0	0.64	0.0	0.0	0.0	0.0
DPPA4	0.0	1.87	1.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.13	29.91	0.0	34.02	10.55	2.1	0.4	31.45	9.7	8.92	7.28	0.0	14.14	8.38	38.67	0.43	13.32	10.39	18.84	9.7	22.26	0.0	0.0	0.0	0.74
EFCAB3	0.0	0.0	0.0	0.78	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.96	0.0	1.73	2.63	2.36	0.0	1.1	0.8	0.56	0.0	7.06	2.05	1.1	0.71	0.0	0.72	4.43	3.66	0.0	2.43	0.38	1.0	0.0	1.33	0.0	0.0	0.0	0.0
ERVV-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.96	7.06	0.88	13.12	2.84	0.53	0.0	7.69	4.94	2.39	2.97	0.0	3.53	2.41	14.14	0.0	12.83	4.86	8.0	1.43	6.31	0.0	0.0	0.0	0.0
ETV3L	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	4.58	0.39	7.69	3.0	0.42	0.39	3.66	2.43	1.45	2.36	0.0	1.39	2.61	6.57	0.0	1.41	2.14	3.03	2.2	4.54	0.39	0.0	0.38	0.38
EXD1	0.0	0.0	0.0	0.0	0.0	3.69	4.46	0.0	0.0	0.0	0.0	0.0	0.0	0.97	19.53	18.03	1.85	24.63	7.75	0.57	0.0	14.89	5.15	6.31	2.61	3.2	7.22	9.06	26.47	0.56	1.73	4.43	9.06	3.5	11.47	1.85	0.0	0.49	0.0
FAM221B	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.57	2.61	0.0	0.51	0.0	0.0	23.93	17.64	0.0	16.88	6.78	0.93	0.0	11.38	14.24	3.38	6.36	1.57	6.57	7.34	17.64	1.69	3.32	9.78	10.55	4.54	27.05	0.91	0.0	0.0	0.89
FGF23	0.0	0.0	0.0	0.0	0.27	0.0	0.0	0.0	0.0	0.0	0.85	4.5	0.82	0.0	8.06	28.04	0.0	6.67	2.12	0.0	0.0	6.31	3.35	3.23	6.89	0.0	2.86	1.35	10.08	0.0	15.22	0.57	5.28	1.08	3.99	0.0	0.0	0.0	0.37
FLJ20306	0.0	0.0	1.31	0.23	0.0	3.63	0.0	0.0	1.5	0.0	1.46	1.35	0.0	1.43	28.04	24.63	0.69	48.52	20.56	1.23	5.73	47.84	10.0	15.34	28.04	6.46	14.14	7.82	26.67	9.7	10.79	10.08	17.51	8.45	13.03	2.39	3.5	2.39	2.36
GJA10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.69	4.94	0.0	12.93	1.35	0.0	0.0	10.08	4.28	0.35	3.69	0.0	3.03	3.63	7.88	0.0	1.77	5.36	5.41	0.0	6.89	0.0	0.0	0.0	0.0
GJA9	1.31	1.83	1.95	1.81	5.63	7.46	3.63	0.0	0.0	3.89	1.38	3.92	2.78	0.87	8.92	10.39	3.96	15.56	22.43	4.94	1.77	12.93	15.68	9.63	12.83	6.78	3.89	17.25	23.76	8.92	4.28	12.27	7.11	17.51	13.12	3.2	17.64	2.71	5.92
GJD2	0.0	0.0	0.36	14.14	0.1	0.0	0.0	0.0	0.55	0.55	0.0	0.0	0.0	0.53	4.62	4.98	0.47	14.24	3.72	0.52	0.92	6.57	5.59	1.97	2.41	0.0	3.63	1.17	13.52	0.0	3.69	3.82	7.57	3.72	8.0	1.35	0.0	1.77	0.0
GLRA1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.53	4.17	0.0	5.32	2.12	0.0	1.77	4.21	3.38	1.33	1.55	0.0	0.97	0.0	6.46	0.0	5.73	1.85	1.79	2.14	6.01	0.89	0.0	0.89	3.38
GOLGA6L6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.61	0.51	0.0	4.39	0.87	0.0	0.72	2.18	5.28	0.25	1.23	0.0	0.0	2.12	3.63	0.0	1.55	1.48	0.48	1.43	2.25	1.79	0.0	3.08	1.08
GPR151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0	0.0	5.87	1.69	0.0	4.5	2.84	0.0	0.0	3.47	3.82	1.22	1.41	0.0	1.17	2.71	5.5	0.0	0.6	2.73	3.38	1.2	2.51	0.0	0.0	0.41	0.0
GPR32	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81	7.28	10.63	0.0	10.88	4.35	0.0	0.0	12.18	4.39	1.46	3.82	0.41	5.54	1.04	15.34	0.0	5.41	4.74	10.96	8.65	9.13	0.0	0.38	0.0	0.0
GRK7	0.0	0.0	3.17	0.56	0.0	0.0	0.3	0.0	0.34	0.34	0.0	0.28	0.31	0.8	7.0	8.45	0.0	9.27	4.7	1.64	0.54	7.82	4.54	3.29	2.76	0.54	3.17	3.82	15.45	1.1	4.24	3.44	8.99	2.89	3.11	1.03	0.0	0.0	1.5
HTR1A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.46	1.17	0.42	1.51	0.0	0.0	0.0	1.81	4.06	0.33	2.2	0.0	0.61	4.24	3.86	0.0	2.84	3.96	1.11	0.0	0.39	1.6	0.0	0.0	0.0
KCTD19	0.87	0.96	2.2	0.82	0.89	2.18	0.37	0.37	0.39	0.84	0.39	1.53	0.0	0.38	14.35	21.47	2.27	28.86	11.55	0.0	2.32	8.65	26.86	8.58	8.45	6.52	6.57	25.54	33.54	0.0	4.94	4.31	14.45	6.84	6.36	0.0	0.0	0.0	2.2
KIR3DX1	0.0	0.0	0.33	0.11	0.13	0.59	0.55	0.0	0.59	0.0	0.0	0.0	2.18	1.62	7.75	5.92	0.66	11.38	2.97	0.32	0.29	7.82	7.28	4.39	7.06	2.56	16.51	1.58	12.74	0.32	5.06	2.84	7.57	6.11	5.32	0.29	0.0	0.0	0.28
KRTAP10-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	6.57	0.0	14.14	6.11	0.0	0.4	6.16	4.78	5.45	2.41	0.0	3.26	0.0	9.93	0.0	4.58	3.44	8.25	4.39	4.7	0.4	0.0	0.0	0.4
KRTAP11-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	6.36	9.56	0.0	12.36	5.23	0.0	0.0	1.13	12.83	4.82	0.88	0.0	4.13	2.73	5.06	0.0	4.7	2.2	3.44	10.79	29.7	0.0	0.0	0.0	0.0
KRTAP13-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.06	3.03	0.0	4.28	2.56	0.0	0.0	8.99	3.86	0.64	1.69	0.0	2.56	5.5	3.06	0.0	1.5	3.26	2.16	0.0	5.41	0.0	0.0	0.0	0.0
KRTAP24-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.71	3.11	0.0	5.15	1.68	0.0	0.0	0.78	4.74	3.26	0.0	0.0	2.05	1.79	9.63	0.0	1.81	1.19	0.59	0.84	2.56	0.0	0.0	0.0	0.0
KRTAP4-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.03	2.63	0.0	5.32	2.34	0.0	1.69	3.32	4.58	3.06	1.2	0.0	1.23	1.48	7.51	0.0	0.65	1.2	0.88	0.0	6.36	0.0	0.0	0.0	0.0
KRTAP5-3	0.0	0.0	0.85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.78	0.0	10.24	2.84	0.0	0.0	5.32	2.84	0.71	3.89	0.0	0.68	3.38	18.43	0.0	0.69	6.94	6.21	0.89	3.86	0.0	0.0	0.0	0.0
KRTAP5-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.77	11.55	0.0	18.29	6.62	0.0	0.0	8.85	6.94	8.71	9.34	0.0	5.45	2.66	21.78	2.39	6.78	8.45	13.42	7.22	12.27	0.0	0.0	0.0	0.0
LRRC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	3.63	3.44	0.0	3.38	2.2	0.47	0.0	6.36	3.76	1.22	1.68	0.0	0.89	6.11	6.84	0.0	0.92	5.28	3.53	1.17	2.41	0.0	0.0	0.0	0.0
LYPD4	0.0	0.0	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.19	19.11	1.89	15.45	6.78	0.58	0.0	21.94	5.19	5.36	5.63	0.0	4.24	0.89	21.01	0.0	3.38	7.69	13.22	4.39	14.78	1.89	0.0	0.0	0.52
MIP	0.0	0.41	0.32	1.08	0.35	2.27	0.0	0.0	0.45	0.45	0.0	0.0	0.0	1.66	5.92	19.11	0.39	26.67	5.19	0.0	0.0	30.12	4.94	5.41	4.17	1.69	7.0	1.48	21.32	2.78	4.39	7.17	10.55	4.58	10.31	0.83	6.52	0.0	0.0
NANOS2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.97	0.0	0.0	0.0	7.0	5.73	0.0	10.31	3.72	0.0	0.0	7.46	3.08	0.66	5.41	0.0	2.29	0.75	17.77	0.0	3.14	3.76	7.51	2.29	5.59	0.0	0.0	0.42	0.0
