	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.11P7K.1326.SM.5BC5G	GTEX.X4LF.0626.SM.4QASB	GTEX.OIZH.0626.SM.3NB1L	GTEX.11P81.0826.SM.5P9GR	TCGA.CR.6492.01A.12R.2081.07	TCGA.CC.A3M9.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.77.8144.01A.11R.2247.07
SLK	3303.0	2417.67	1051.79	1883.54	1540.37	743.43	156.59	301.33	447.82
SMIM5	3349.13	988.12	525.39	813.63	463.65	114.36	11.13	0.0	76.71
SORT1	620.67	1857.6	947.83	1151.06	854.13	463.65	229.72	0.0	97.36
SOWAHA	38.4	71.0	10.08	21.16	12.18	3.11	2.81	0.0	0.96
SPINK5	1997825.68	41763.8	17681.08	45072.75	25887.07	3665.02	6.36	0.0	473.41
TACC2	4481.23	1819.35	1015.93	1745.2	1540.37	1030.12	87.65	0.0	420.68
TANC1	426.57	836.53	575.03	660.68	642.59	248.0	105.15	0.0	281.09
TAX1BP1	2816.11	4152.18	1745.2	3639.7	2335.28	1551.09	884.29	2075.59	1199.98
TFCP2L1	748.61	872.1	529.06	551.56	379.04	281.09	7.06	0.0	56.68
TJP1	1977.24	2682.69	1437.15	1923.14	1857.6	928.3	358.54	307.69	1167.14
TMED3	9151.82	4543.8	3168.41	3982.99	3467.27	3018.3	1277.29	0.0	2485.67
TMEM246	2148.82	507.46	336.79	656.11	503.95	134.3	103.69	0.0	197.09
TMEM63C	961.07	616.37	264.03	514.56	171.45	92.05	2.43	0.0	51.35
TMOD3	4298.64	2956.17	1119.56	2434.5	1757.34	1015.93	435.55	381.68	915.51
TMPRSS11E	4851500.88	13968.57	2240.11	5751.61	3060.45	1639.59	0.0	0.0	178.77
TOM1	4736.79	2555.58	2119.22	2758.13	1977.24	1551.09	1529.73	1651.0	633.73
TPD52L1	29327.18	8191.0	5517.27	7537.18	6250.56	3928.15	119.26	0.0	1477.58
TRIM33	426.57	473.41	293.07	341.51	412.0	229.72	91.41	0.0	186.4
TSPAN14	4010.71	3491.39	2193.99	2997.45	2451.44	1757.34	954.43	961.07	1088.92
UBE2R2	1427.22	1151.06	684.02	1030.12	563.18	848.22	674.59	599.49	414.87
USP46	703.28	603.67	293.07	473.41	417.77	232.94	124.37	0.0	149.12
VSIG10	791.35	1233.75	392.44	493.56	392.44	101.54	106.63	299.25	100.13
WDR26	2555.58	3639.7	1487.87	2104.58	1551.09	988.12	669.92	808.0	902.89
WNT4	1617.0	1008.9	620.67	656.11	660.68	432.53	2.73	0.0	102.97
WWC1	3190.46	1651.0	429.54	1143.1	961.07	665.29	397.93	329.84	420.68
ZNF273	638.15	336.79	162.14	249.73	228.13	68.07	51.71	0.0	48.18
ZNF431	2148.82	1709.26	629.35	1819.35	511.0	182.55	124.37	0.0	223.41
ZNF552	249.73	309.83	153.34	194.36	162.14	111.99	73.03	0.0	85.82
ZNF57	325.29	447.82	183.82	346.29	262.2	84.04	47.17	0.0	121.79
