	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.131YS.0626.SM.5EGKL	GTEX.ZAJG.0626.SM.5HL8X	GTEX.11EMC.2026.SM.5A5JV	GTEX.U3ZN.0226.SM.3DB8D	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
HEMK1	226.54	457.25	314.17	271.48	423.61	435.55	521.76	397.93	543.96	265.87	0.0	0.25
IDH3B	693.58	2997.45	1923.14	1359.57	2133.97	1806.78	3491.39	2627.46	2956.17	819.3	0.0	1.08
IQCC	35.25	82.29	35.0	81.14	72.52	83.45	113.56	87.65	96.68	9.56	0.0	0.19
KCTD19	0.0	6.46	0.0	0.71	4.03	1.45	1.41	2.97	8.99	0.16	0.0	0.01
KRT12	0.66	2.29	0.35	0.64	0.0	0.68	0.0	0.71	0.68	0.0	0.0	0.0
LARS2	144.01	277.2	221.86	141.02	262.2	241.19	297.17	211.31	281.09	305.55	0.0	0.13
LEMD2	647.07	1183.45	703.28	941.27	961.07	769.69	1143.1	1167.14	1242.34	295.11	0.0	0.89
LENG1	117.6	334.46	58.71	197.09	163.28	211.31	470.14	158.79	299.25	109.66	0.0	0.04
LRCH4	171.45	796.86	271.48	587.13	703.28	629.35	1167.14	961.07	1030.12	189.02	0.0	1.22
LRRC8A	392.44	854.13	351.14	463.65	616.37	647.07	403.5	368.65	470.14	265.87	0.0	0.74
MCOLN1	153.34	540.19	318.57	406.31	414.87	366.09	559.28	397.93	387.02	281.09	0.0	0.39
MED16	339.14	624.99	366.09	444.72	587.13	591.22	728.11	591.22	733.19	348.71	0.0	0.64
MRPL22	612.11	1529.73	759.08	825.0	780.44	872.1	1417.35	995.0	842.36	1561.89	0.0	0.79
MRPL46	480.04	669.92	403.5	457.25	567.1	503.95	629.35	563.18	559.28	2271.4	0.0	0.0
NCAM2	18.7	277.2	75.11	32.59	132.44	166.73	497.0	153.34	406.31	10.31	0.0	0.41
NDUFA9	775.05	2915.45	1313.23	961.07	1242.34	1331.57	1757.34	1883.54	1008.9	2032.85	0.0	0.64
NOC4L	165.57	674.59	218.79	384.34	301.33	285.03	656.11	540.19	441.64	190.34	0.0	0.58
NOXA1	15.11	214.27	10.96	92.7	106.63	165.57	199.85	110.43	137.14	33.78	0.0	0.58
NR1H2	660.68	1208.34	738.29	830.75	1167.14	1015.93	1183.45	1216.75	915.51	438.59	0.0	0.83
NTMT1	890.44	1208.34	387.02	854.13	703.28	713.11	872.1	1477.58	684.02	444.72	0.0	0.54
NUP214	450.94	1183.45	432.53	642.59	698.41	674.59	1059.11	921.88	878.17	435.55	0.0	0.29
OAZ3	171.45	607.87	271.48	116.78	93.35	127.0	119.26	656.11	234.57	21.63	0.0	0.21
OSBPL6	9.93	140.04	44.57	12.27	58.3	42.11	102.97	59.97	170.25	94.67	55.89	87.03
P4HTM	379.04	688.78	69.52	480.04	381.68	587.13	1304.15	842.36	1119.56	93.35	0.0	0.72
PATZ1	307.69	769.69	414.87	579.04	559.28	753.83	1208.34	1030.12	1561.89	320.8	0.0	0.28
PIDD	25.54	224.97	52.82	115.16	194.36	146.03	518.15	253.23	269.6	71.5	0.0	1.01
PIM3	214.27	1437.15	214.27	511.0	1073.91	878.17	638.15	1437.15	1030.12	514.56	0.0	0.64
PLD4	3.38	110.43	20.41	34.26	74.58	68.07	299.25	166.73	96.68	14.78	0.0	0.0
POLM	198.47	412.0	202.66	172.65	381.68	244.57	567.1	339.14	417.77	102.97	0.0	0.93
PPOX	177.53	764.36	293.07	264.03	493.56	406.31	902.89	698.41	769.69	102.97	0.0	0.39
PPWD1	293.07	656.11	291.04	325.29	476.71	343.89	514.56	493.56	587.13	260.38	0.0	0.6
PRR24	135.24	470.14	158.79	361.04	373.81	295.11	514.56	507.46	412.0	91.41	0.0	0.57
PRRC2A	1950.0	2434.5	1407.55	1662.49	2163.77	2119.22	3467.27	3614.55	3847.29	642.59	2485.67	629.35
PSD	33.3	48.18	15.68	29.06	63.0	46.84	64.8	84.04	85.82	22.43	0.0	0.39
PTPN23	138.1	511.0	301.33	397.93	543.96	457.25	629.35	423.61	612.11	258.57	460.44	91.41
RBM19	246.28	457.25	229.72	258.57	426.57	320.8	575.03	470.14	529.06	133.36	0.0	1.07
RILPL2	260.38	624.99	110.43	403.5	638.15	518.15	571.05	854.13	381.68	147.06	0.0	0.59
RIPPLY1	0.0	2.01	0.71	0.0	1.79	1.03	3.44	1.36	1.6	43.63	0.0	0.03
RP11-144F15.1	0.0	3.17	0.0	0.0	3.41	0.0	1.69	1.69	1.38	0.0	0.0	0.0
RP11-192H23.4	10.0	63.0	6.73	15.68	20.71	10.31	35.0	34.26	72.01	4.98	0.0	0.89
RPP30	830.75	848.22	358.54	476.71	708.18	753.83	1111.82	759.08	1081.39	470.14	1331.57	152.28
SBK2	0.69	1.36	0.0	0.0	0.0	1.03	0.0	1.53	1.48	0.0	0.0	0.0
SCXA	6.11	44.89	2.94	21.63	13.62	5.77	23.42	15.91	37.05	0.0	0.0	0.79
SERPINB6	1167.14	2384.37	665.29	1268.46	1733.13	1508.65	2417.67	1467.37	1721.16	934.76	0.0	0.99
SIX5	97.36	312.0	78.89	133.36	220.32	234.57	392.44	305.55	198.47	82.29	0.0	0.64
SLC30A5	624.99	1540.37	878.17	563.18	703.28	813.63	684.02	866.07	775.05	688.78	0.0	0.57
SNAPC4	53.95	138.1	27.64	93.35	117.6	103.69	194.36	133.36	148.09	40.93	0.0	0.64
SNRPF	909.17	1088.92	511.0	665.29	507.46	713.11	1208.34	1037.29	1023.0	595.34	0.0	0.54
SPAG16	105.15	728.11	65.72	42.11	423.61	497.0	688.78	629.35	521.76	813.63	0.0	0.26
SPHK2	70.51	170.25	100.83	116.78	171.45	169.07	202.66	146.03	217.27	151.22	0.0	0.16
STARD3NL	384.34	679.29	269.6	329.84	503.95	633.73	529.06	559.28	511.0	406.31	0.0	0.71
SYMPK	759.08	1628.26	854.13	693.58	1044.52	988.12	1208.34	1477.58	1628.26	432.53	0.0	0.99
TBC1D3C	16.15	79.45	3.99	14.67	52.82	49.91	50.63	18.43	63.89	2.39	0.0	0.91
TCHP	122.64	376.41	170.25	199.85	299.25	249.73	368.65	314.17	356.05	147.06	289.02	158.79
TCTN2	153.34	400.71	92.05	217.27	279.14	289.02	698.41	299.25	441.64	15.45	105.89	246.28
TFAP2B	5.92	1883.54	651.58	420.68	878.17	718.08	1151.06	1628.26	1001.93	0.0	0.0	0.0
TFCP2	82.29	587.13	220.32	540.19	511.0	551.56	629.35	559.28	860.08	201.25	231.32	417.77
TMEM115	217.27	775.05	473.41	603.67	674.59	759.08	651.58	708.18	642.59	208.38	0.0	0.52
TMEM25	248.0	723.08	206.94	684.02	616.37	1066.48	1369.04	738.29	2209.26	97.36	0.0	0.46
TMEM42	239.52	435.55	229.72	150.17	358.54	314.17	591.22	379.04	389.72	244.57	0.0	0.17
TRAPPC2P1	173.85	583.07	269.6	231.32	336.79	470.14	400.71	346.29	420.68	172.65	0.0	0.42
TRPS1	44.25	2319.15	195.72	256.78	1407.55	1286.18	1883.54	1572.76	2240.11	12.45	0.0	0.58
TSC22D4	341.51	988.12	379.04	571.05	796.86	759.08	1417.35	921.88	872.1	187.71	0.0	0.84
TTF1	237.86	426.57	162.14	271.48	323.03	316.37	441.64	285.03	356.05	90.77	0.0	0.55
UBXN11	118.43	423.61	79.45	353.59	361.04	325.29	713.11	525.39	723.08	77.25	0.0	0.67
UBXN6	1051.79	2075.59	974.5	1487.87	1844.76	1870.53	2163.77	1977.24	1721.16	1340.84	0.0	0.93
UPF1	656.11	1259.69	698.41	825.0	1073.91	961.07	1037.29	1199.98	1191.69	305.55	0.0	0.97
USP20	175.07	518.15	156.59	291.04	480.04	406.31	642.59	583.07	514.56	167.9	0.0	0.65
VPS16	289.02	1066.48	629.35	684.02	669.92	665.29	854.13	915.51	1030.12	260.38	0.0	0.93
WDR18	381.68	624.99	208.38	406.31	463.65	444.72	612.11	638.15	466.88	251.48	0.0	0.24
ZNF140	429.54	934.76	417.77	256.78	511.0	493.56	743.43	642.59	591.22	285.03	0.0	0.22
ZNF155	63.0	172.65	79.45	37.32	139.07	127.0	177.53	113.56	232.94	45.21	0.0	0.36
ZNF211	182.55	281.09	120.1	112.77	211.31	190.34	277.2	214.27	389.72	31.22	0.0	0.48
ZNF223	54.72	142.01	76.71	16.51	119.26	105.15	141.02	141.02	211.31	40.64	0.0	0.13
ZNF224	96.68	536.45	239.52	111.99	373.81	248.0	392.44	444.72	473.41	76.17	0.0	0.83
ZNF225	30.56	101.54	55.1	22.59	80.01	63.89	98.04	83.45	70.51	16.03	0.0	0.05
ZNF253	109.66	358.54	223.41	139.07	167.9	185.11	343.89	285.03	186.4	87.65	0.0	0.24
ZNF254	191.67	353.59	77.79	226.54	176.29	281.09	285.03	262.2	209.84	102.97	0.0	0.61
ZNF26	158.79	237.86	129.69	66.18	150.17	132.44	232.94	236.21	211.31	55.1	0.0	0.4
ZNF35	73.54	140.04	42.11	76.71	102.25	155.5	78.89	116.78	138.1	48.87	0.0	0.06
ZNF415	25.17	346.29	37.85	191.67	201.25	194.36	351.14	149.12	358.54	29.27	0.0	0.45
ZNF416	66.65	121.79	67.12	36.53	88.88	67.12	146.03	90.14	129.69	28.65	0.0	0.0
ZNF419	72.01	260.38	112.77	72.01	144.01	143.01	234.57	237.86	226.54	38.67	97.36	80.01
ZNF576	265.87	583.07	204.07	299.25	295.11	293.07	435.55	400.71	299.25	320.8	0.0	0.0
ZNF580	441.64	708.18	400.71	228.13	607.87	470.14	836.53	629.35	624.99	43.32	239.52	486.75
ZNF628	28.45	65.26	24.46	24.99	65.26	63.45	94.67	50.63	59.55	11.38	0.0	0.44
ZNF708	66.65	202.66	120.94	58.3	159.9	127.89	142.01	183.82	171.45	65.72	0.0	0.41
ZNF71	49.56	122.64	42.71	53.57	100.13	81.71	116.78	85.22	63.45	10.0	0.0	0.39
ZNF782	36.53	133.36	43.63	30.34	86.43	80.01	80.57	82.87	90.14	38.4	0.0	0.18
ZNF79	60.39	156.59	57.89	64.8	110.43	96.01	156.59	142.01	130.6	59.97	0.0	0.0
ZNF792	41.52	96.68	46.18	66.65	69.52	63.89	45.21	40.93	76.71	13.42	0.0	0.39
ZNF837	19.68	48.18	5.36	3.26	41.81	44.57	43.02	30.34	29.48	12.93	0.0	0.07
ZNF839	128.79	409.15	152.28	67.12	289.02	249.73	503.95	293.07	514.56	96.01	0.0	0.36
ZNF865	112.77	186.4	75.11	51.71	108.9	87.03	212.78	156.59	126.12	25.54	0.0	0.68
ZSCAN18	1199.98	1857.6	373.81	575.03	1277.29	1167.14	2645.74	1844.76	2133.97	59.55	0.0	0.92
ZSCAN9	150.17	361.04	111.21	307.69	279.14	309.83	356.05	329.84	507.46	68.55	0.0	0.57
