	TCGA.E2.A1LB.01A.11R.A144.07	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.BH.A0BA.01A.11R.A056.07	TCGA.A2.A0EY.01A.11R.A034.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.11P81.1926.SM.5BC53	GTEX.ZAJG.0626.SM.5HL8X	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13NZ8.0126.SM.5IJCT	TCGA.38.4625.01A.01R.1206.07
CNTN4	63.0	85.82	18.97	59.13	12.74	11.55	206.94	138.1	93.35	212.78	82.87	684.02	323.03	0.0
CPNE2	224.97	466.88	473.41	318.57	255.0	366.09	555.41	583.07	301.33	860.08	262.2	2090.03	813.63	0.0
CYTH3	195.72	346.29	273.37	373.81	223.41	255.0	373.81	454.09	251.48	660.68	258.57	1662.49	500.46	0.0
DDR2	102.25	185.11	262.2	253.23	154.42	162.14	387.02	1250.98	409.15	2193.99	514.56	3955.48	1508.65	62.56
DRD1	0.0	0.0	0.95	1.91	0.31	0.3	4.13	2.78	1.0	10.31	2.1	39.79	7.75	0.0
EBF2	61.25	27.84	4.5	61.68	16.88	24.81	60.39	116.78	34.51	157.68	53.19	536.45	137.14	0.0
ELTD1	244.57	400.71	80.57	559.28	223.41	305.55	595.34	780.44	275.28	1268.46	547.75	1529.73	1044.52	0.0
FAM19A1	0.0	0.61	0.62	0.64	0.31	0.29	1.71	2.41	0.65	5.73	0.0	1.83	3.26	0.0
FBLN2	1250.98	819.3	674.59	1216.75	480.04	591.22	1697.45	2645.74	785.88	3443.31	480.04	12589.08	2701.35	229.72
FGF9	1.95	1.89	0.65	3.23	1.64	0.0	11.13	9.06	5.41	20.71	7.82	38.67	25.35	1.6
FHL5	20.71	20.71	5.59	90.77	22.92	24.63	130.6	127.0	63.0	134.3	53.19	1498.22	269.6	0.0
GIMAP5	111.99	295.11	62.12	575.03	329.84	139.07	860.08	796.86	343.89	860.08	476.71	2287.2	1487.87	0.0
GIMAP6	112.77	223.41	47.84	346.29	242.88	123.5	376.41	555.41	135.24	884.29	260.38	1561.89	775.05	0.0
GOLGA8T	0.0	3.38	0.0	2.46	2.48	0.0	2.2	6.67	3.56	8.38	3.59	6.67	9.2	0.0
GPR146	44.89	60.39	122.64	265.87	57.49	56.68	329.84	674.59	125.24	872.1	229.72	1183.45	595.34	0.0
GPR21	1.45	1.75	1.08	3.59	2.53	2.78	6.52	3.86	1.13	4.74	0.99	18.16	10.24	0.0
HRC	17.13	23.42	2.25	29.06	24.11	11.3	38.12	49.91	23.59	34.26	19.11	163.28	82.87	0.0
HSD17B13	1.95	2.2	1.6	15.34	2.63	1.89	13.03	125.24	8.58	156.59	17.77	457.25	187.71	0.0
IGSF10	2.48	38.4	31.67	77.25	14.56	13.72	260.38	269.6	108.14	780.44	220.32	497.0	665.29	0.0
JAZF1	113.56	142.01	118.43	185.11	87.65	122.64	262.2	231.32	146.03	417.77	136.19	713.11	403.5	0.0
KCNAB1	23.42	14.14	4.66	51.71	17.38	19.25	105.89	85.22	59.55	167.9	18.29	1151.06	183.82	0.0
KIF1C	1175.27	1259.69	961.07	928.3	780.44	638.15	1340.84	2090.03	1407.55	2224.63	928.3	2104.58	2178.83	713.11
KIR3DL1	0.0	0.95	0.32	0.97	0.0	0.0	1.39	2.1	0.33	2.78	0.0	5.59	2.1	0.0
KL	2.97	6.01	2.32	28.04	12.64	6.01	74.06	82.29	18.97	197.09	5.45	358.54	99.43	0.0
LCN10	0.91	2.71	0.0	18.29	1.3	0.52	48.87	49.21	22.75	20.11	25.17	31.22	144.01	0.0
LHX6	14.24	37.59	41.81	109.66	33.78	27.05	199.85	162.14	71.5	323.03	59.13	525.39	234.57	0.0
LRRIQ4	0.0	1.58	0.0	1.0	1.0	0.0	1.73	1.39	0.68	0.85	0.0	2.12	3.92	0.0
LSMEM1	6.84	34.02	6.11	23.42	29.06	28.04	54.72	48.18	15.8	63.0	21.94	39.22	123.5	0.0
MMRN2	180.02	281.09	79.45	543.96	258.57	244.57	954.43	1030.12	341.51	1369.04	366.09	3280.18	1397.83	0.0
MRC1L1	3.72	60.82	47.17	56.68	37.85	17.9	67.59	130.6	22.59	142.01	15.8	144.01	136.19	0.0
MRVI1	82.29	156.59	76.17	154.42	94.67	91.41	248.0	234.57	155.5	258.57	171.45	1781.89	406.31	0.0
MYOM1	6.16	20.71	7.06	41.81	12.93	13.32	49.56	195.72	38.12	249.73	32.36	1242.34	273.37	0.0
NOVA2	27.44	49.91	7.11	65.72	27.44	31.9	54.72	77.79	33.3	107.38	19.39	164.42	98.73	0.0
NPR1	42.41	82.87	11.73	228.13	55.89	100.83	277.2	890.44	105.15	796.86	256.78	1331.57	896.64	0.0
NRIP2	19.97	39.5	7.46	69.52	32.13	24.81	104.42	75.64	58.71	158.79	50.27	329.84	154.42	0.0
OGN	85.82	244.57	44.89	373.81	264.03	122.64	1388.16	733.19	688.78	1651.0	251.48	7966.99	2796.65	0.0
OLFML1	108.9	142.01	111.21	172.65	134.3	147.06	237.86	379.04	158.79	587.13	149.12	1167.14	447.82	0.0
PCDH9	3.63	1.75	1.5	9.13	0.89	1.75	9.78	44.89	9.13	122.64	16.39	197.09	71.0	0.0
PCSK5	31.22	52.45	52.08	108.14	25.35	34.26	141.02	158.79	87.03	218.79	54.72	1111.82	217.27	0.0
PDE1A	40.93	77.25	14.45	88.88	38.12	27.05	89.51	94.01	50.98	186.4	31.9	379.04	170.25	0.0
PKDCC	93.35	115.97	101.54	190.34	99.43	232.94	353.59	796.86	105.15	941.27	395.18	1883.54	890.44	149.12
PLTP	642.59	624.99	866.07	1127.35	1111.82	441.64	2434.5	2032.85	1175.27	2209.26	1175.27	1794.29	3491.39	4010.71
PPARG	89.51	775.05	153.34	323.03	77.25	86.43	358.54	1199.98	275.28	1745.2	536.45	2835.7	1277.29	0.0
PREX2	12.09	22.43	8.06	80.57	26.1	20.86	94.01	146.03	45.53	170.25	64.8	656.11	186.4	0.0
PSG1	0.0	0.0	0.0	0.0	0.0	0.0	0.37	1.14	0.0	1.71	0.0	0.72	1.55	0.0
RAMP2	769.69	1119.56	132.44	1757.34	759.08	723.08	1378.57	1857.6	688.78	1167.14	759.08	7911.95	2739.08	0.0
RASGRP2	41.22	97.36	6.62	138.1	84.63	41.81	147.06	195.72	58.71	114.36	37.85	444.72	343.89	0.0
RFTN2	24.63	49.91	14.89	53.19	33.78	36.01	46.84	77.79	31.67	120.1	24.63	175.07	130.6	0.0
RGS6	0.41	0.73	0.0	15.34	1.45	6.21	46.84	57.49	25.91	146.03	32.59	599.49	132.44	0.0
RNF152	84.04	127.89	50.98	139.07	176.29	108.14	242.88	190.34	142.01	209.84	145.02	346.29	426.57	0.0
SDPR	19.68	19.11	3.5	620.67	38.4	38.95	1331.57	1233.75	733.19	1457.23	412.0	12853.63	2855.44	0.0
SEMA3G	126.12	123.5	17.77	384.34	87.65	232.94	728.11	1519.15	327.56	2591.27	226.54	2935.74	1697.45	0.0
SHE	40.07	56.68	48.52	140.04	77.79	41.52	258.57	283.05	86.43	256.78	83.45	1059.11	379.04	0.0
SLC2A4	2.03	2.94	6.31	98.73	8.71	6.11	40.36	153.34	19.39	273.37	68.07	363.56	195.72	0.0
SOX5	4.1	5.28	5.41	17.13	14.67	8.13	30.56	68.55	20.71	84.04	18.03	177.53	78.34	0.0
TDRD10	14.67	13.52	6.21	23.08	19.97	8.78	75.11	81.71	28.86	42.11	56.68	155.5	195.72	0.0
TIMP4	2.14	4.39	2.46	144.01	5.28	35.76	65.26	1286.18	46.84	1806.78	226.54	1757.34	1447.15	0.0
TLL1	29.48	16.03	16.15	42.11	30.34	7.88	80.57	68.55	15.91	72.01	41.81	232.94	122.64	0.0
TMCC2	5.92	16.39	9.2	16.63	8.99	9.63	27.64	27.05	18.56	26.67	13.93	21.01	44.25	0.0
TMEM88	35.0	59.13	4.98	209.84	99.43	38.95	332.14	327.56	126.12	624.99	94.67	1331.57	514.56	0.0
TNXB	84.04	69.52	11.82	426.57	224.97	94.67	4607.24	2739.08	1662.49	4210.15	796.86	11664.82	7280.4	0.0
TSPAN7	71.0	193.01	26.86	476.71	226.54	82.29	1151.06	981.29	392.44	1104.13	583.07	5913.33	2032.85	0.0
VIP	0.0	4.9	0.43	7.88	1.51	3.17	16.75	11.91	1.55	13.22	3.99	32.36	25.72	0.0
ZNF423	58.71	86.43	39.79	80.57	49.56	40.93	145.02	183.82	72.01	253.23	52.45	1030.12	186.4	0.0
